"","Sp.id","phos","temp","id","r.exp"
"172","Asterionella formosa",50,15,1,0.57359845526194
"173","Asterionella formosa",50,20,1,0.727112178609605
"174","Asterionella formosa",50,20,1,0.66192546083578
"175","Asterionella formosa",50,20,1,0.827830800338784
"176","Asterionella formosa",50,20,1,0.738216921983076
"177","Asterionella formosa",50,24,1,0.564773805374548
"178","Asterionella formosa",50,24,1,0.629311694708761
"179","Asterionella formosa",50,24,1,0.563468124811475
"180","Asterionella formosa",50,24,1,0.534809866731982
"181","Asterionella formosa",50,28,1,-0.0766625382594043
"182","Asterionella formosa",50,28,1,-0.102594528759335
"183","Asterionella formosa",50,28,1,0.201579357482272
"184","Asterionella formosa",50,28,1,-0.0803781221266034
"185","Asterionella formosa",50,32,1,NA
"186","Asterionella formosa",50,32,1,-0.0646991770578083
"187","Asterionella formosa",50,32,1,-0.290824347230226
"188","Asterionella formosa",50,32,1,-0.0977276180540372
"189","Asterionella formosa",50,35,1,-0.198213575265581
"190","Asterionella formosa",50,35,1,-0.210217951628485
"191","Asterionella formosa",50,35,1,0.139298105276263
"192","Asterionella formosa",50,35,1,0.0540776706697831
"193","Chlorella sp.",0.01,15,2,-0.150061946000076
"194","Chlorella sp.",0.01,15,2,-0.0985667045607702
"195","Chlorella sp.",0.01,15,2,-0.0844581936128301
"196","Chlorella sp.",0.01,15,2,-0.263185855119542
"197","Chlorella sp.",0.01,20,2,0.141861791215044
"198","Chlorella sp.",0.01,20,2,0.155883864822459
"199","Chlorella sp.",0.01,20,2,0.109485289257784
"200","Chlorella sp.",0.01,20,2,0.0794794735101122
"201","Chlorella sp.",0.01,24,2,-0.0436912550951948
"202","Chlorella sp.",0.01,24,2,-0.0245285117021169
"203","Chlorella sp.",0.01,24,2,0.185143354137642
"204","Chlorella sp.",0.01,24,2,-0.0475002660066894
"205","Chlorella sp.",0.01,28,2,-0.0948457193104241
"206","Chlorella sp.",0.01,28,2,0.270544010850152
"207","Chlorella sp.",0.01,28,2,-0.0727172448838286
"208","Chlorella sp.",0.01,28,2,-0.0903457103684094
"209","Chlorella sp.",0.01,32,2,-0.162208485554596
"210","Chlorella sp.",0.01,32,2,-0.246512997963768
