"","Sp.id","nit","temp","id","r.exp"
"170","Kirchneriella_subcapitata",20,15,"2.2",-0.082001131204799
"171","Kirchneriella_subcapitata",20,20,"1.1",0.222092151010526
"172","Kirchneriella_subcapitata",20,20,"1.2",0.218885420317647
"173","Kirchneriella_subcapitata",20,20,"2.4",0.405981906755072
"174","Kirchneriella_subcapitata",20,20,"2.3",0.197396375274037
"175","Kirchneriella_subcapitata",20,25,"1.1",0.382138446658897
"176","Kirchneriella_subcapitata",20,25,"1.2",0.198090095463901
"177","Kirchneriella_subcapitata",20,30,"2.1",0.469010404490713
"178","Kirchneriella_subcapitata",20,30,"2.2",0.166966334262531
"179","Kirchneriella_subcapitata",20,35,"2.1",0.0699708283668127
"180","Kirchneriella_subcapitata",20,35,"2.2",0.121345870920562
"181","Kirchneriella_subcapitata",40,15,"2.1",-0.150429077500725
"182","Kirchneriella_subcapitata",40,15,"2.2",-0.130112960812224
"183","Kirchneriella_subcapitata",40,20,"1.1",0.423508830288174
"184","Kirchneriella_subcapitata",40,20,"1.2",0.404444721528771
"185","Kirchneriella_subcapitata",40,20,"2.4",0.683729514551024
"186","Kirchneriella_subcapitata",40,20,"2.3",0.47432684116201
"187","Kirchneriella_subcapitata",40,25,"1.1",0.384842362684408
"188","Kirchneriella_subcapitata",40,25,"1.2",0.425070139157916
"189","Kirchneriella_subcapitata",40,30,"2.1",0.310229039632479
"190","Kirchneriella_subcapitata",40,30,"2.2",-0.089020404104189
"191","Kirchneriella_subcapitata",40,35,"2.1",0.263058763239439
"192","Kirchneriella_subcapitata",40,35,"2.2",NA
"193","Kirchneriella_subcapitata",60,15,"2.1",-0.215549658968489
"194","Kirchneriella_subcapitata",60,15,"2.2",0.00448690227731895
"195","Kirchneriella_subcapitata",60,20,"1.1",0.278420748903538
"196","Kirchneriella_subcapitata",60,20,"1.2",0.365408043182007
"197","Kirchneriella_subcapitata",60,20,"2.4",0.457355527585414
"198","Kirchneriella_subcapitata",60,20,"2.3",0.277498118838397
"199","Kirchneriella_subcapitata",60,25,"1.1",0.271244959811534
"200","Kirchneriella_subcapitata",60,25,"1.2",0.277630422707457
"201","Kirchneriella_subcapitata",60,30,"2.1",0.534121549689454
"202","Kirchneriella_subcapitata",60,30,"2.2",0.376807337166056
"203","Kirchneriella_subcapitata",60,35,"2.1",0.306466518911714
"204","Kirchneriella_subcapitata",60,35,"2.2",0.167814751120375
"205","Kirchneriella_subcapitata",200,15,"2.1",0.194369751908746
"206","Kirchneriella_subcapitata",200,15,"2.2",0.263964222575383
"207","Kirchneriella_subcapitata",200,20,"1.1",0.138558533441256
"208","Kirchneriella_subcapitata",200,20,"1.2",0.134393894315308
"209","Kirchneriella_subcapitata",200,20,"2.4",0.693477909905151
"210","Kirchneriella_subcapitata",200,20,"2.3",0.642300299548152
"211","Kirchneriella_subcapitata",200,25,"1.1",0.323840572287314
"212","Kirchneriella_subcapitata",200,25,"1.2",0.184615304242715
"213","Kirchneriella_subcapitata",200,30,"2.1",-0.470545941857227
"214","Kirchneriella_subcapitata",200,30,"2.2",-0.338181949445084
"215","Kirchneriella_subcapitata",200,35,"2.1",NA
"216","Kirchneriella_subcapitata",200,35,"2.2",0.365850381476689
"217","Kirchneriella_subcapitata",500,15,"2.1",-0.032991479191505
"218","Kirchneriella_subcapitata",500,15,"2.2",-0.137666676763054
"219","Kirchneriella_subcapitata",500,20,"1.1",0.283173303918002
"220","Kirchneriella_subcapitata",500,20,"1.2",0.475162833475299
"221","Kirchneriella_subcapitata",500,20,"2.4",0.509582129941783
"222","Kirchneriella_subcapitata",500,20,"2.3",0.614541193079766
"223","Kirchneriella_subcapitata",500,25,"1.1",0.453898355363275
"224","Kirchneriella_subcapitata",500,25,"1.2",0.410238018364709
"225","Kirchneriella_subcapitata",500,30,"2.1",0.536108226181711
"226","Kirchneriella_subcapitata",500,30,"2.2",0.488725581521804
"227","Kirchneriella_subcapitata",500,35,"2.1",0.0742427287817511
"228","Kirchneriella_subcapitata",500,35,"2.2",-0.161979033281086
"229","Kirchneriella_subcapitata",1000,15,"2.1",0.153794557369573
"230","Kirchneriella_subcapitata",1000,15,"2.2",0.170600959153667
"231","Kirchneriella_subcapitata",1000,20,"1.1",0.253712781609113
"232","Kirchneriella_subcapitata",1000,20,"1.2",0.293949971041961
"233","Kirchneriella_subcapitata",1000,20,"2.4",0.624734080292971
"234","Kirchneriella_subcapitata",1000,20,"2.3",0.563796342736503
"235","Kirchneriella_subcapitata",1000,25,"1.1",0.5599656637177
"236","Kirchneriella_subcapitata",1000,25,"1.2",0.766070574582413
"237","Kirchneriella_subcapitata",1000,30,"2.1",0.11622809023285
"238","Kirchneriella_subcapitata",1000,30,"2.2",-0.109876072277015
"239","Kirchneriella_subcapitata",1000,35,"2.1",0.156545499789062
"240","Kirchneriella_subcapitata",1000,35,"2.2",0.0897950928891916
"241","Microcystis_aeruginosa",1,15,"2.1",0.3882512519299
"242","Microcystis_aeruginosa",1,15,"2.2",0.157389976924029
"243","Microcystis_aeruginosa",1,20,"1.1",-0.0741239597229525
"244","Microcystis_aeruginosa",1,20,"1.2",0.0539123714195236
"245","Microcystis_aeruginosa",1,20,"2.4",NA
"246","Microcystis_aeruginosa",1,20,"2.3",0.371015849271994
"247","Microcystis_aeruginosa",1,25,"1.1",-0.0501459336620293
"248","Microcystis_aeruginosa",1,25,"1.2",-0.0108665651815418
"249","Microcystis_aeruginosa",1,30,"2.1",0.0512879784688221
"250","Microcystis_aeruginosa",1,30,"2.2",-0.190318533687837
"251","Microcystis_aeruginosa",1,35,"2.1",NA
"252","Microcystis_aeruginosa",1,35,"2.2",NA
"253","Microcystis_aeruginosa",2,15,"2.1",0.407771498627451
"254","Microcystis_aeruginosa",2,15,"2.2",0.391146258070447
"255","Microcystis_aeruginosa",2,20,"1.1",-0.0753681896696035
"256","Microcystis_aeruginosa",2,20,"1.2",-0.0763902505735202
"257","Microcystis_aeruginosa",2,20,"2.4",0.0151162849301096
"258","Microcystis_aeruginosa",2,20,"2.3",NA
"259","Microcystis_aeruginosa",2,25,"1.1",-0.103357893203937
"260","Microcystis_aeruginosa",2,25,"1.2",0.0379853992223057
"261","Microcystis_aeruginosa",2,30,"2.1",0.23187270917356
"262","Microcystis_aeruginosa",2,30,"2.2",-0.0332647423271123
"263","Microcystis_aeruginosa",2,35,"2.1",-0.0647674799173493
"264","Microcystis_aeruginosa",2,35,"2.2",0.380601055304885
"265","Microcystis_aeruginosa",4,15,"2.1",NA
"266","Microcystis_aeruginosa",4,15,"2.2",0.305846815065785
"267","Microcystis_aeruginosa",4,20,"1.1",0.177775575563113
"268","Microcystis_aeruginosa",4,20,"1.2",0.166234319214362
"269","Microcystis_aeruginosa",4,20,"2.4",0.00439711991318988
"270","Microcystis_aeruginosa",4,20,"2.3",-0.115656215036557
"271","Microcystis_aeruginosa",4,25,"1.1",-0.0732885976951948
"272","Microcystis_aeruginosa",4,25,"1.2",-0.0596546618609297
"273","Microcystis_aeruginosa",4,30,"2.1",-0.117900018241056
"274","Microcystis_aeruginosa",4,30,"2.2",-0.0645140369762603
"275","Microcystis_aeruginosa",4,35,"2.1",-0.0488478687909449
"276","Microcystis_aeruginosa",4,35,"2.2",-0.215247640430216
"277","Microcystis_aeruginosa",10,15,"2.1",NA
"278","Microcystis_aeruginosa",10,15,"2.2",-0.0974929887220758
"279","Microcystis_aeruginosa",10,20,"1.1",0.083851268298153
"280","Microcystis_aeruginosa",10,20,"1.2",-0.165465263649419
"281","Microcystis_aeruginosa",10,20,"2.4",0.163662411070055
"282","Microcystis_aeruginosa",10,20,"2.3",-0.194157986035045
"283","Microcystis_aeruginosa",10,25,"1.1",0.241368491904502
"284","Microcystis_aeruginosa",10,25,"1.2",-0.0479380014023702
"285","Microcystis_aeruginosa",10,30,"2.1",NA
"286","Microcystis_aeruginosa",10,30,"2.2",NA
"287","Microcystis_aeruginosa",10,35,"2.1",-0.0817476567029646
"288","Microcystis_aeruginosa",10,35,"2.2",NA
"289","Microcystis_aeruginosa",20,15,"2.1",-0.310658339976568
"290","Microcystis_aeruginosa",20,15,"2.2",0.121211242642656
"291","Microcystis_aeruginosa",20,20,"1.1",0.101671906608086
"292","Microcystis_aeruginosa",20,20,"1.2",0.107524279493051
"293","Microcystis_aeruginosa",20,20,"2.4",0.0976446266436937
"294","Microcystis_aeruginosa",20,20,"2.3",-0.153457930169967
"295","Microcystis_aeruginosa",20,25,"1.1",-0.116577828758804
"296","Microcystis_aeruginosa",20,25,"1.2",0.0718020570645115
"297","Microcystis_aeruginosa",20,30,"2.1",NA
"298","Microcystis_aeruginosa",20,30,"2.2",-0.230527992923797
"299","Microcystis_aeruginosa",20,35,"2.1",0.0499800743962947
"300","Microcystis_aeruginosa",20,35,"2.2",0.322207805245185
"301","Microcystis_aeruginosa",40,15,"2.1",0.307128527428835
"302","Microcystis_aeruginosa",40,15,"2.2",-0.055484016768993
"303","Microcystis_aeruginosa",40,20,"1.1",-0.0871769270036974
"304","Microcystis_aeruginosa",40,20,"1.2",0.0486482779384398
"305","Microcystis_aeruginosa",40,20,"2.4",-0.0428894644059613
"306","Microcystis_aeruginosa",40,20,"2.3",0.107473049585748
"307","Microcystis_aeruginosa",40,25,"1.1",0.213897600396486
"308","Microcystis_aeruginosa",40,25,"1.2",NA
"309","Microcystis_aeruginosa",40,30,"2.1",0.135436683649548
"310","Microcystis_aeruginosa",40,30,"2.2",-0.0172161213013572
"311","Microcystis_aeruginosa",40,35,"2.1",0.145316706693815
"312","Microcystis_aeruginosa",40,35,"2.2",-0.130012497824253
"313","Microcystis_aeruginosa",60,15,"2.1",0.00239475492800308
"314","Microcystis_aeruginosa",60,15,"2.2",-0.00344879986494627
"315","Microcystis_aeruginosa",60,20,"1.1",-0.109019128288681
"316","Microcystis_aeruginosa",60,20,"1.2",0.0279374656293813
"317","Microcystis_aeruginosa",60,20,"2.4",0.212860400398857
"318","Microcystis_aeruginosa",60,20,"2.3",NA
"319","Microcystis_aeruginosa",60,25,"1.1",-0.0125181413706392
"320","Microcystis_aeruginosa",60,25,"1.2",-0.0504125239286013
"321","Microcystis_aeruginosa",60,30,"2.1",0.0378729766018281
"322","Microcystis_aeruginosa",60,30,"2.2",0.114721512549318
"323","Microcystis_aeruginosa",60,35,"2.1",NA
"324","Microcystis_aeruginosa",60,35,"2.2",0.115617786998483
"325","Microcystis_aeruginosa",200,15,"2.1",0.0316879523694385
"326","Microcystis_aeruginosa",200,15,"2.2",-0.0499899355334429
"327","Microcystis_aeruginosa",200,20,"1.1",0.0349895576276028
"328","Microcystis_aeruginosa",200,20,"1.2",0.0779364346723114
"329","Microcystis_aeruginosa",200,20,"2.4",-0.0380269090996544
"330","Microcystis_aeruginosa",200,20,"2.3",-0.00439826859376058
"331","Microcystis_aeruginosa",200,25,"1.1",-0.0908159154649996
"332","Microcystis_aeruginosa",200,25,"1.2",-0.0442488400712595
"333","Microcystis_aeruginosa",200,30,"2.1",-0.113762030546449
"334","Microcystis_aeruginosa",200,30,"2.2",-0.106040185279262
"335","Microcystis_aeruginosa",200,35,"2.1",0.0587921626121081
"336","Microcystis_aeruginosa",200,35,"2.2",-0.0446438155174143
"337","Microcystis_aeruginosa",500,15,"2.1",0.117089124556204
"338","Microcystis_aeruginosa",500,15,"2.2",-0.0282815425957268
"339","Microcystis_aeruginosa",500,20,"1.1",-1.30703839097284e-09
"340","Microcystis_aeruginosa",500,20,"1.2",0.0105264815237749
"341","Microcystis_aeruginosa",500,20,"2.4",0.314194352574219
"342","Microcystis_aeruginosa",500,20,"2.3",0.21338213640251
"343","Microcystis_aeruginosa",500,25,"1.1",0.102361071061619
"344","Microcystis_aeruginosa",500,25,"1.2",-0.0168444872058213
"345","Microcystis_aeruginosa",500,30,"2.1",-0.0628592790390176
"346","Microcystis_aeruginosa",500,30,"2.2",0.305846895282135
"347","Microcystis_aeruginosa",500,35,"2.1",-0.226193359849994
"348","Microcystis_aeruginosa",500,35,"2.2",-0.197669423913483
"349","Microcystis_aeruginosa",1000,15,"2.1",-0.239198244289081
"350","Microcystis_aeruginosa",1000,15,"2.2",-0.0895379511752991
"351","Microcystis_aeruginosa",1000,20,"1.1",0.161429438337463
"352","Microcystis_aeruginosa",1000,20,"1.2",0.10773620781115
"353","Microcystis_aeruginosa",1000,20,"2.4",0.256197384294602
"354","Microcystis_aeruginosa",1000,20,"2.3",0.36938353660671
"355","Microcystis_aeruginosa",1000,25,"1.1",0.294921004710227
"356","Microcystis_aeruginosa",1000,25,"1.2",0.309016591132288
"357","Microcystis_aeruginosa",1000,30,"2.1",0.348666892177308
"358","Microcystis_aeruginosa",1000,30,"2.2",0.281467178509472
"359","Microcystis_aeruginosa",1000,35,"2.1",0.00725374452007093
"360","Microcystis_aeruginosa",1000,35,"2.2",0.113980582077564
"361","Pediastrum_boryanum",1,15,"2.1",0.151489328080423
"362","Pediastrum_boryanum",1,15,"2.2",0.17553184214634
"363","Pediastrum_boryanum",1,20,"1.1",0.24676365544865
"364","Pediastrum_boryanum",1,20,"1.2",0.336973191977865
"365","Pediastrum_boryanum",1,20,"2.3",0.367922564997547
"366","Pediastrum_boryanum",1,20,"2.4",0.52206832625074
"367","Pediastrum_boryanum",1,25,"1.1",0.620966613660849
"368","Pediastrum_boryanum",1,25,"1.2",0.867603300933385
"369","Pediastrum_boryanum",1,30,"2.1",0.0423246888818028
"370","Pediastrum_boryanum",1,30,"2.2",0.316488690700006
"371","Pediastrum_boryanum",1,35,"2.1",0.0175934669753663
"372","Pediastrum_boryanum",1,35,"2.2",0.392065749454828
"373","Pediastrum_boryanum",2,15,"2.1",0.164208297430667
"374","Pediastrum_boryanum",2,15,"2.2",0.373641538062138
"375","Pediastrum_boryanum",2,20,"1.1",0.32178049605793
"376","Pediastrum_boryanum",2,20,"1.2",0.185892364071306
"377","Pediastrum_boryanum",2,20,"2.3",0.307455933677781
"378","Pediastrum_boryanum",2,20,"2.4",0.450137750583711
"379","Pediastrum_boryanum",2,25,"1.1",0.34020843828267
"380","Pediastrum_boryanum",2,25,"1.2",0.00710883552509735
"381","Pediastrum_boryanum",2,30,"2.1",0.0244309593125474
"382","Pediastrum_boryanum",2,30,"2.2",0.337474850219972
"383","Pediastrum_boryanum",2,35,"2.1",0.115354575652207
"384","Pediastrum_boryanum",2,35,"2.2",0.353281600623042
"385","Pediastrum_boryanum",4,15,"2.1",0.0607194504882172
"386","Pediastrum_boryanum",4,15,"2.2",0.258394152021256
"387","Pediastrum_boryanum",4,20,"1.1",0.24062259168558
"388","Pediastrum_boryanum",4,20,"1.2",0.355043350909339
"389","Pediastrum_boryanum",4,20,"2.3",0.488299083743937
"390","Pediastrum_boryanum",4,20,"2.4",0.524957289762175
"391","Pediastrum_boryanum",4,25,"1.1",0.234846710265336
"392","Pediastrum_boryanum",4,25,"1.2",0.233996873651642
"393","Pediastrum_boryanum",4,30,"2.1",-0.0535408826890848
"394","Pediastrum_boryanum",4,30,"2.2",0.291897123428031
"395","Pediastrum_boryanum",4,35,"2.1",-0.0490223068929014
"396","Pediastrum_boryanum",4,35,"2.2",0.393563840598097
"397","Pediastrum_boryanum",10,15,"2.1",0.0991042005234219
"398","Pediastrum_boryanum",10,15,"2.2",0.194123643322439
"399","Pediastrum_boryanum",10,20,"1.1",0.189715861261235
"400","Pediastrum_boryanum",10,20,"1.2",0.353502007551181
"401","Pediastrum_boryanum",10,20,"2.3",0.48316660762835
"402","Pediastrum_boryanum",10,20,"2.4",0.427641025483493
"403","Pediastrum_boryanum",10,25,"1.1",0.257891234039384
"404","Pediastrum_boryanum",10,25,"1.2",0.485956535093491
"405","Pediastrum_boryanum",10,30,"2.1",0.315868775248203
"406","Pediastrum_boryanum",10,30,"2.2",0.218371747744852
"407","Pediastrum_boryanum",10,35,"2.1",NA
"408","Pediastrum_boryanum",10,35,"2.2",NA
"409","Pediastrum_boryanum",20,15,"2.1",0.107783444414508
"410","Pediastrum_boryanum",20,15,"2.2",0.0236850281467977
"411","Pediastrum_boryanum",20,20,"1.1",0.210098358542409
"412","Pediastrum_boryanum",20,20,"1.2",0.291966442371812
"413","Pediastrum_boryanum",20,20,"2.3",0.049048639925263
"414","Pediastrum_boryanum",20,20,"2.4",0.278221139581624
"415","Pediastrum_boryanum",20,25,"1.1",0.0550331097117877
"416","Pediastrum_boryanum",20,25,"1.2",-0.142391161379304
"417","Pediastrum_boryanum",20,30,"2.1",0.210190252787831
"418","Pediastrum_boryanum",20,30,"2.2",0.281149154227937
"419","Pediastrum_boryanum",20,35,"2.1",-0.0918585361456773
"420","Pediastrum_boryanum",20,35,"2.2",NA
"421","Pediastrum_boryanum",40,15,"2.1",-0.0548726308723815
"422","Pediastrum_boryanum",40,15,"2.2",0.217046226136521
"423","Pediastrum_boryanum",40,20,"1.1",0.241110260583665
"424","Pediastrum_boryanum",40,20,"1.2",0.517755897994581
"425","Pediastrum_boryanum",40,20,"2.3",0.341674344182112
"426","Pediastrum_boryanum",40,20,"2.4",0.623385950134027
"427","Pediastrum_boryanum",40,25,"1.1",0.161237887274363
"428","Pediastrum_boryanum",40,25,"1.2",0.571294851318064
"429","Pediastrum_boryanum",40,30,"2.1",0.46951392517909
"430","Pediastrum_boryanum",40,30,"2.2",0.414695360383679
"431","Pediastrum_boryanum",40,35,"2.1",-0.164264304743295
"432","Pediastrum_boryanum",40,35,"2.2",-0.136713017106096
"433","Pediastrum_boryanum",60,15,"2.1",0.0379214449758871
"434","Pediastrum_boryanum",60,15,"2.2",NA
"435","Pediastrum_boryanum",60,20,"1.1",0.440437746252673
"436","Pediastrum_boryanum",60,20,"1.2",0.321112977433768
"437","Pediastrum_boryanum",60,20,"2.3",0.328260651981589
