"","Sp.id","Sp.name","Study","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na","T.opt.TPC","T.max.raw"
"47",34,"Microcystis ichthyoblabe",20,37.6858263127734,35.4094842893725,17.8101387674297,63.0524279596525,0,1.44514175104711,1.41959384254007,1.15529040891561,1.78329836952548,0,2.68839630174285,1.73846232035549,3.86753783646108,0,NA,35
"48",37,"Nannochloropsis oceanica",21,23.2885598896815,22.9578201399879,18.9097112619243,28.4184924957767,0,2.03602871411892,2.02809764253906,1.91828130592972,2.15608941773554,0,1.19121290075661,1.02554790684661,1.36933604226748,0,27.2453415563832,29.1
"49",48,"Pseudochattonella farcimen",22,62.384711011887,62.4212735831793,27.4015234898994,99.9843737760585,0,0.847941338685754,0.846301794699107,0.549131803319843,1.12007869320033,0,8.22846795198266,4.76412240055366,11.1034175197417,0,13.6473644699333,16
"50",3,"Ankistrodesmus falcatus",23,52.4783066466686,49.0334973687593,22.9035775462304,93.5071362442742,0,1.63906567124746,1.60811224158151,1.28259296197138,2.12740773043072,0,3.25406901064332,1.77124107935988,4.95955480725027,0,NA,35
"51",46,"Planktothrix agardhii",23,23.7080788630526,18.1805150882956,2.73402618480386,62.6093376137897,0,0.554538368535987,0.528757665988221,0.394974150362931,0.809670518924859,0,4.24272597877633,1.4026954648307,10.2183925623887,0,NA,20
"52",11,"Closterium parvulum",24,27.9493528458434,16.8005882107659,5.40868436725564,89.2565600789412,0,0.452764022666248,0.401354871264113,0.280541971997086,0.787611624532908,0,5.53396448501719,1.81095738820262,16.4522763272696,0,24.0019929623864,25
"53",35,"Monoraphidium contortum",24,46.4627863752732,42.1310500316712,11.3821962241303,95.1356237155654,0,0.925881471693805,0.885690506336415,0.560424115622489,1.43703194880444,0,5.20415848295791,1.86278016693034,9.19746376434868,0,18.3737456339731,20
"54",42,"Oocystella mongolica",24,41.9376240850806,34.8073493598969,7.01719563758843,95.9741309304366,0,0.382459935153366,0.346457372477592,0.184717379228719,0.661786807195537,0,13.1175865141088,0.817650073248895,29.5839464630536,0,15.2980756101185,20
"55",49,"Pseudodidymocystis planctonica",24,66.544753215685,67.0320070220538,32.0010966018778,99.9587861937409,0,0.797907018923583,0.795923360851065,0.535835295848504,1.06212231181997,0,9.52292045464033,5.39152335713647,12.595183676705,0,25.5557570291007,25
"56",31,"Leptocylindricus danicus",25,27.6358313453474,20.9567741333272,8.22794872989029,77.8304716515583,0,2.42260829418369,2.28111141108568,1.73427976922876,3.58472688500959,0,0.962558369370425,0.520687142336001,2.35716034108441,0,NA,15
"57",44,"Phaeocystis pouchetii",26,74.6844213245308,79.8259159414482,34.0968074862867,99.9980435071725,0,1.82928180519649,1.86153804359234,0.889724776640529,2.47718046021448,0,4.36872833178595,1.65369909965426,6.46615493384915,0,NA,20
"58",41,"Ochromonas sp.",27,55.3212368094581,53.9312128243733,36.9424812426413,76.7794092637514,0,0.445772771746709,0.442361313950596,0.382536774291044,0.508988573331158,0,15.7862501548364,13.0129646627114,19.1000779173491,0,NA,25
"59",7,"Chaetoceros calcitrans",28,52.9121688353355,50.858697359524,17.1762610333617,99.522379503805,0,2.05332018342311,2.01322304679692,1.19590384929664,2.98938580866319,0,2.58020958538211,0.781929102313727,4.52558305529465,0,24.4750626807759,23
"60",20,"Cylindrotheca closterium",28,49.5133959903803,46.0086900478616,14.4974007128656,96.6610852955008,0,0.749090363179974,0.730847306667506,0.471572859228949,1.06839896362293,0,7.1492027617919,2.31792733071659,12.7044079493815,0,26.1337038237158,23
"61",22,"Diacronema lutheri",28,50.0381610843382,46.7090733842661,15.0757370153548,98.6758218443882,0,0.644222056787177,0.627525170761591,0.344445934045362,0.934387201883375,0,8.70294061092555,2.47309734995938,15.8781688216889,0,21.0570403999414,20
"62",61,"Tetraselmis sp.",28,46.3259118928964,41.5636056417771,11.4885937894402,94.229113951045,0,0.759803124940627,0.73538127078955,0.444735081461571,1.08669346739687,0,6.40744766233022,1.67631117422357,12.0414523720924,0,24.3477517724741,25
"63",55,"Skeletonema costatum",29,62.8473987591654,66.6456182700778,14.0499471310593,99.9862574928482,0,1.45104793272877,1.44272628955865,0.343487936371399,2.3343042616381,0,4.76050835936304,0.0691819443884612,9.54894601957156,0,NA,22
