,Species,dataset,r.max,T.br,Sp.name
160,Prochlorococcus marinus strain MIT9215 (clade 1),"Thomas et al., 2012",0.495731987,12.16608557,Prochlorococcus marinus
161,Prochlorococcus marinus strain MIT9312 (clade 1),"Thomas et al., 2012",0.614024562,10.14589124,Prochlorococcus marinus
162,Prochlorococcus marinus strain MIT9313,"Thomas et al., 2012",0.48996729,9.254114199,Prochlorococcus marinus
163,Prochlorococcus marinus strain MIT9515 (clade 2),"Thomas et al., 2012",0.458017928,13.05272821,Prochlorococcus marinus
164,Prochlorococcus marinus strain NATL2A,"Thomas et al., 2012",0.500702796,10.28363486,Prochlorococcus marinus
165,Prochlorococcus marinus strain SS120,"Thomas et al., 2012",0.607718677,9.914556846,Prochlorococcus marinus
166,Prorocentrum gracile,"Thomas et al., 2012",0.545493876,11.66839345,Prorocentrum gracile
167,Prorocentrum micans,"Thomas et al., 2012",0.534862157,14.3661972,Prorocentrum micans
168,Prorocentrum minimum,"Thomas et al., 2012",0.697564968,16.29407294,Prorocentrum minimum
169,Pseudo-nitzschia americana,"Thomas et al., 2012",2.957719666,16.04202996,Pseudo-nitzschia americana
170,Pseudo-nitzschia granii,"Thomas et al., 2012",0.906853439,15.90578012,Pseudo-nitzschia granii
171,Pseudo-nitzschia multiseries,"Thomas et al., 2012",0.452059405,18.64101106,Pseudo-nitzschia multiseries
172,Pseudo-nitzschia turgiduloides,"Thomas et al., 2012",0.472717126,9.09621293,Pseudo-nitzschia turgiduloides
173,Pyrodinium bahamense var. compressum strain PbSA01,"Thomas et al., 2012",0.260743203,15.27004406,Pyrodinium bahamense
174,Rhizosolenia setigera,"Thomas et al., 2012",1.244706154,16.32112908,Rhizosolenia setigera
175,Rhizosolenia setigera,"Thomas et al., 2012",0.504046384,14.61855931,Rhizosolenia setigera
176,Scrippsiella trochoidea strain ScrpMxB,"Thomas et al., 2012",0.45952283,20.94354423,Scrippsiella trochoidea
177,Skeletonema ardens strain FDK003,"Thomas et al., 2012",2.323880456,17.71764952,Skeletonema ardens
178,Skeletonema ardens strain FDK004,"Thomas et al., 2012",1.533172415,15.98615711,Skeletonema ardens
179,Skeletonema ardens strain FDK005,"Thomas et al., 2012",2.198168983,16.75714939,Skeletonema ardens
