,Species,dataset,r.max,T.br,Sp.name
71,Calcidiscus leptoporus strain NS10-2,"Thomas et al., 2012",0.405916343,12.477296,Calcidiscus leptoporus
72,Calciodinellum albatrosianum Geob*26/5,"Thomas et al., 2012",0.150744531,16.47166017,Calciodinellum albatrosianum
73,Chaetoceros deflandrei,"Thomas et al., 2012",0.568569146,15.47423923,Chaetoceros deflandrei
74,Chaetoceros didymus,"Thomas et al., 2012",1.444788999,17.38984975,Chaetoceros didymus
75,Chaetoceros lorenzianus clone Bermuda,"Thomas et al., 2012",1.556583178,13.71983987,Chaetoceros lorenzianus
76,Chaetoceros lorenzianus clone Bushehr,"Thomas et al., 2012",1.25916246,18.24351316,Chaetoceros lorenzianus
77,Chaetoceros lorenzianus clone Slope water,"Thomas et al., 2012",1.631975569,16.58990105,Chaetoceros lorenzianus
78,Chaetoceros pseudocurvisetus,"Thomas et al., 2012",1.465844083,14.45636141,Chaetoceros pseudocurvisetus
79,Chaetoceros sp.,"Thomas et al., 2012",0.51992277,13.97810102,NA
80,Chaetoceros sp. strain CS256,"Thomas et al., 2012",0.849617686,27.31865756,NA
81,Chattonella marina,"Thomas et al., 2012",0.413967623,17.49316196,Chattonella marina
82,Chattonella marina var. antiqua strain Ho-1,"Thomas et al., 2012",0.475828922,10.94056449,Chattonella marina
83,Chlorella sp. strain MFD-1,"Thomas et al., 2012",0.126403342,32.10006699,NA
84,Chrysochromulina polylepis strain B3,"Thomas et al., 2012",0.778187597,14.46140749,Chrysochromulina polylepis
85,Chrysochromulina polylepis strain B4,"Thomas et al., 2012",0.679038249,13.21530139,Chrysochromulina polylepis
86,Chrysochromulina polylepis strain K,"Thomas et al., 2012",0.862462737,14.72910061,Chrysochromulina polylepis
87,Cochlodinium polykrikoides strain 02B1,"Thomas et al., 2012",0.560627747,13.890164,Cochlodinium polykrikoides
88,Cochlodinium polykrikoides strain 02B2,"Thomas et al., 2012",0.560955047,11.20737241,Cochlodinium polykrikoides
89,Cochlodinium polykrikoides strain 03H1,"Thomas et al., 2012",0.561742815,15.06012977,Cochlodinium polykrikoides
90,Cochlodinium polykrikoides strain KG8-ND14,"Thomas et al., 2012",0.60246125,12.99978517,Cochlodinium polykrikoides
91,Conticribra guillardii clone 7-15,"Thomas et al., 2012",1.589637221,18.02537813,Conticribra guillardii
92,Corethron pennatum,"Thomas et al., 2012",0.221931064,7.855647661,Corethron pennatum
93,Cylindrotheca closterium strain NT-6,"Thomas et al., 2012",0.424613341,13.51353156,Cylindrotheca closterium
94,Dactyliosolen fragilissimus,"Thomas et al., 2012",0.783787043,23.58481664,Dactyliosolen fragilissimus
95,Detonula confervacea,"Thomas et al., 2012",0.660614659,17.96142407,Detonula confervacea
96,Detonula confervacea,"Thomas et al., 2012",0.908895937,14.45267374,Detonula confervacea
97,Dunaliella tertiolecta strain CCAP 19/6B,"Thomas et al., 2012",1.326420156,17.37375812,Dunaliella tertiolecta
98,Emiliania huxleyi,"Thomas et al., 2012",1.061279346,13.13208969,Emiliania huxleyi
99,Emiliania huxleyi clone M,"Thomas et al., 2012",0.520099883,11.14058027,Emiliania huxleyi
100,Emiliania huxleyi R strain TQ26,"Thomas et al., 2012",1.451529422,12.46447305,Emiliania huxleyi
101,Emiliania huxleyi strain B92/21,"Thomas et al., 2012",0.943911903,16.75185772,Emiliania huxleyi
102,Emiliania huxleyi strain G1779Ga,"Thomas et al., 2012",1.156388513,16.57452578,Emiliania huxleyi
103,"Emiliania huxleyi strain M181, Bigelow 1A1","Thomas et al., 2012",1.029129473,12.6478691,Emiliania huxleyi
104,Emiliania huxleyi strain S. Africa,"Thomas et al., 2012",0.877305274,14.0736461,Emiliania huxleyi
105,Emiliania huxleyi strain Van556,"Thomas et al., 2012",0.760199253,27.27889492,Emiliania huxleyi
106,Eucampia zodiacus,"Thomas et al., 2012",3.337784983,13.80823816,Eucampia zodiacus
107,Eutreptiella gymnastica,"Thomas et al., 2012",1.520170523,18.28150542,Eutreptiella gymnastica
108,Fibrocapsa japonica,"Thomas et al., 2012",0.483316178,20.85008467,Fibrocapsa japonica
109,Fibrocapsa japonica strain CAWR-19,"Thomas et al., 2012",0.299859193,20.18696238,Fibrocapsa japonica
110,Fibrocapsa japonica strain CCRuG-C13,"Thomas et al., 2012",0.412328654,15.79338614,Fibrocapsa japonica
111,Fibrocapsa japonica strain CS-332,"Thomas et al., 2012",0.327262071,15.02866199,Fibrocapsa japonica
112,Fragilariopsis cylindrus,"Thomas et al., 2012",0.505213588,11.4446339,Fragilariopsis cylindrus
113,Fragilariopsis kerguelensis,"Thomas et al., 2012",0.475784583,8.799572978,Fragilariopsis kerguelensis
114,"Gephyrocapsa oceanica strain AB1, CAWPOT","Thomas et al., 2012",1.048248476,15.56337644,Gephyrocapsa oceanica 
115,Gephyrocapsa oceanica var. typica strain A4725,"Thomas et al., 2012",1.236339317,14.08079753,Gephyrocapsa oceanica 
116,Gephyrocapsa oceanica var. typica strain A4727,"Thomas et al., 2012",1.316764466,13.74738332,Gephyrocapsa oceanica 
