"population","rep.ID","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"22","22.D03",4.99596633662388,-11.6229496063852,14.6718232931767,0.009,40.0505963481196,39.3874672233683,40.9595297621853,5e-04,33.275747936514,31.483545770115,36.2481129066627,3.92373492150253,2.79211068280003,4.95322541868735,21.1449404876941,16.008880574841,25.1886546056001,0.00233333333333333,38.5878707152782,37.7736194266367,39.6705099443666,5e-04,0.0571734413361366,-1.32676391433145,40.7694252926,3.93546652648117,0.0570094397648417,-1.30882238490494,40.8136297166275,3.89936267515262
"28","28.E03",7.38155592720739,-6.31606353276898,14.400342289667,0.00683333333333333,40.3721916417832,39.7165169327686,41.3322417211988,0.000333333333333333,33.115303764525,31.8182680553849,35.307072339867,4.13982408393049,3.22037253887541,5.10270058019306,21.2652338006396,17.777915829271,24.8389613643469,0.00116666666666667,38.738648871505,38.0977763869378,39.770572405226,0.000333333333333333,0.0634147118874507,-1.57777693645951,41.2600537155909,4.81637417422644,0.0624881615896728,-1.53287834383295,41.2574733031087,4.6204183738763
"4","4.F03",5.49163936479482,1.56204410580689,9.6974725621644,0.001,40.2714548515584,40.0499970972733,40.5969688441393,0,34.8496932797278,32.9152790780917,36.1050462035226,3.88944308324318,3.34205558459103,4.3132610429746,23.0949221350717,20.678748249547,24.9019199971976,0,39.1284557562531,38.7526246722982,39.5535841821065,0,0.051398849234072,-1.32595121254072,40.8104332581534,2.55356207782273,0.0517891258796437,-1.3352408924515,40.8605918849178,2.66861022813094
"9","9.G03",4.81941451207906,-16.1515491080345,15.2151229381021,0.016,40.3076882617936,39.3301901965697,41.6109240302558,5e-04,32.7279391905881,31.1596392370653,35.5113889980165,3.44494441290959,2.28485630482748,4.3261067211854,20.0380600810563,14.562977213155,24.9631778833944,0.002,38.6184354596571,37.6838194586668,40.0148690622153,5e-04,0.0572391291055331,-1.30464029255725,41.2244450891674,4.85285508939749,0.0559212868691652,-1.2565287337424,41.2318196425772,4.61079079554049
"3","3.B03",3.63061915682935,-21.3280210174414,14.4810152242872,0.016,40.250869573563,39.1997394647157,41.5984200929865,0.000833333333333333,33.0589227945676,31.0128463341649,36.3139668308424,3.86149993963223,2.52092561034383,5.01740800759866,20.4521204640878,14.2413456092229,25.1792288400101,0.00233333333333333,38.6887047358785,37.6121804374694,40.1153643021935,0.000833333333333333,0.057748078607706,-1.22017520764893,40.9916023172557,4.41626969033961,0.0568406543052358,-1.19851244477019,41.035521857276,4.20310121949884
"30","30.C03",5.11193442905501,-3.69867576003365,11.2321004750922,0.00383333333333333,40.2009202648153,39.7938008683208,40.8185003644352,0,33.6006437509576,32.0856185553902,35.3177065189656,4.0182309798527,3.40407950799614,4.7271466729583,21.4921967397046,18.6983605624244,24.2726721498021,0.000166666666666667,38.756348001684,38.1634897246062,39.4320111234952,0,0.0569071627537378,-1.33634340839201,40.8838752605178,3.69887900096135,0.0572749978914304,-1.33504444333344,40.9277159370347,3.793944641155
"20","20.D03",5.62411198509527,-16.9971202476867,16.6473463651766,0.0185,40.250417493662,39.3256217967976,41.9306784753744,0.000666666666666667,33.2800658773189,30.9900340538755,36.7122974397495,3.54998028934134,2.22212491656577,4.77692112710156,21.0083839742915,14.0542206481179,25.9497156950515,0.00366666666666667,38.7549285387477,37.6025536270327,40.2534788851711,0.000666666666666667,0.055232247300003,-1.35188114669718,41.0881000251038,4.18929747157961,0.054327443948866,-1.3181221296153,41.141062427085,4.03577126994869
"30","30.E03",0.73735565523165,-31.851287231859,14.3009894474513,0.042,40.2514156923571,39.0779424093496,42.2546623629928,0.000833333333333333,32.5692423126368,30.4307893708787,36.2424280040519,3.61864184699226,2.06200683954972,4.90664302436939,18.972206254851,11.6986248250839,25.031134893885,0.00433333333333333,38.5606923196111,37.2018585515362,40.4122537432712,0.000833333333333333,0.056357513989291,-1.01629168551271,40.9593823390896,4.81397240663138,0.054939510546741,-1.01217108856062,41.01945161332,4.51325201054223
"7","7.F03",6.1369715118974,-11.4539249835363,15.6288019763511,0.0113333333333333,40.1588123711091,39.3655951121056,41.6121381066259,0.000333333333333333,34.4133861992514,31.5359501201863,37.7435796351724,3.71759415292049,2.35218289835452,5.09552965107747,22.6781886374198,16.4085094210665,27.6392560280765,0.0015,39.0068402697169,37.7320709528573,40.0614737191978,0.000333333333333333,0.0517285985980551,-1.36805907755545,40.7931469927651,2.91757853099694,0.0520864655091487,-1.36833906975854,40.9244476650177,3.08702892194082
"14","14.B04",7.64250349172714,-7.73038426412985,15.3867492903044,0.009,40.3527219547053,39.5382975005231,41.5063335619813,0,33.4633346059227,31.7458110457933,36.0792874765688,4.54022214377435,3.14034305501268,5.77939878912271,21.8921735951459,17.7505120404748,26.3240471841763,0.001,38.8364768358458,37.9159734622439,39.9029774263806,0,0.0638459699515452,-1.61675783896329,41.1404721535722,4.43433606954161,0.0630427463621797,-1.56228005641821,41.1685828787189,4.26431740812523
