curve_id,strain_id,genus_species,culture_name,ancestor_name,experiment,temperature,nitrate_level,light_level,block,replicate,day,fluorescence,absorbance,fluorescence_trunc,absorbance_trunc,comments
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,7,16261,1.7329,NA,NA,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,8,18300,1.8805,NA,NA,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,9,19076,1.9774,NA,NA,
11,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,1,10,18729,2.052,NA,NA,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,1,261,0.8753,261,0.8753,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,2,767,0.9087,767,0.9087,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,3,1571,0.9339,1571,0.9339,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,4,2700,1.0238,NA,NA,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,5,3019,1.0827,NA,NA,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,6,3911,1.1384,NA,NA,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,7,6559,1.2365,NA,NA,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,8,10555,1.3456,NA,NA,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,9,13455,1.4903,NA,NA,
12,6,Scenedesmus_acuminatus,SAG_38.81,,nitrate,25,1000,140.6,1,2,10,14703,1.6376,NA,NA,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,1,13,0.8695,13,0.8695,
13,1,Synechococcus,CCAP_1479/10,,nitrate,25,500,140.6,1,1,2,0,0.8571,0,0.8571,
