"population","rep.ID","Parameter","mean","Rhat","n.eff"
"33","33.C03","deviance",-2.83071243478681,1.00116600672914,5200
"33","33.C03","r_max",2.06457296587808,1.00129795193017,4400
"33","33.C03","r_pred_new[508]",1.51742061067315,1.0011900692548,5100
"8","8.D03","K_s",13.0651998051698,1.00132677813919,4200
"8","8.D03","deviance",12.4100672804211,1.00087592512078,6000
"8","8.D03","r_max",1.75882146714416,1.00078905772395,6000
"8","8.D03","r_pred_new[508]",1.58618714247491,1.00058870707918,6000
"25","25.E03","K_s",15.2035908010594,1.00202854669951,2300
"25","25.E03","deviance",2.04893263577151,1.00090405462198,6000
"25","25.E03","r_max",1.62994105981228,1.00230814646575,1900
"25","25.E03","r_pred_new[508]",1.4528487718136,1.00150328902682,3500
"19","19.F03","K_s",21.998337479041,1.00154651339174,3300
"19","19.F03","deviance",-4.66459330688288,1.00121363641818,4900
"19","19.F03","r_max",1.51251341240945,1.0007878859914,6000
"19","19.F03","r_pred_new[508]",1.28698803802593,1.00057437160992,6000
"33","33.G03","K_s",45.6837122165188,1.00115331484981,5300
"33","33.G03","deviance",8.1675958685462,1.00073919164916,6000
"33","33.G03","r_max",1.85233580131578,1.00144349107004,3700
"33","33.G03","r_pred_new[508]",1.35997042942666,1.00136062924197,4100
"4","4.B03","K_s",32.6580826869722,1.00133361683689,4200
"4","4.B03","deviance",-1.88754510972709,1.0012144581815,4900
"4","4.B03","r_max",1.7585681354075,1.00188255544994,2500
"4","4.B03","r_pred_new[508]",1.3962960567609,1.00180371856944,2700
"9","9.C03","K_s",21.2040727896247,1.00076875046249,6000
"9","9.C03","deviance",-12.412557504282,1.00162582297391,3100
"9","9.C03","r_max",1.78445176330779,1.00079787570334,6000
"9","9.C03","r_pred_new[508]",1.52788493332041,1.0013151094416,4300
"22","22.D03","K_s",57.6875333506069,1.00193578458638,2400
"22","22.D03","deviance",5.72233839824509,1.00074894944895,6000
"22","22.D03","r_max",2.12856035216554,1.00192607552878,2500
"22","22.D03","r_pred_new[508]",1.46225974736898,1.00084670668721,6000
"28","28.E03","K_s",38.1636537016217,1.00215884246608,2100
"28","28.E03","deviance",1.17685387485757,1.00059527043587,6000
"28","28.E03","r_max",1.89360316742366,1.00090366978449,6000
"28","28.E03","r_pred_new[508]",1.45346705120232,1.00114463802985,5400
"4","4.F03","K_s",39.4122527676823,1.00060935139904,6000
"4","4.F03","deviance",-0.183638054055261,1.00085422449355,6000
"4","4.F03","r_max",1.87740283345648,1.00057812345051,6000
"4","4.F03","r_pred_new[508]",1.43078578662757,1.00076644638874,6000
"9","9.G03","K_s",37.1274778971236,1.00124726241649,4700
"9","9.G03","deviance",-5.78504712809017,1.00077068265736,6000
"9","9.G03","r_max",1.79113044874467,1.00136538007523,4000
"9","9.G03","r_pred_new[508]",1.38409056468549,1.00117463644716,5200
"3","3.B03","K_s",23.9872498582382,1.00064436137686,6000
"3","3.B03","deviance",-3.44160775621381,1.00108193346109,6000
"3","3.B03","r_max",1.93316074102585,1.00060541443321,6000
"3","3.B03","r_pred_new[508]",1.62387715831642,1.00057087566621,6000
"30","30.C03","K_s",27.3836218878375,1.00076629913553,6000
"30","30.C03","deviance",-5.13596959314695,1.00075291018591,6000
"30","30.C03","r_max",1.95022626953405,1.00111520256637,5700
"30","30.C03","r_pred_new[508]",1.60247013273509,1.00141964672852,3800
"20","20.D03","K_s",39.9470622553229,1.00064258246742,6000
"20","20.D03","deviance",-2.18991207949792,1.00087599616179,6000
"20","20.D03","r_max",2.03972455903541,1.00066209770187,6000
"20","20.D03","r_pred_new[508]",1.54910017456963,1.00069715430167,6000
"30","30.E03","K_s",31.7658081824837,1.00114383720918,5400
"30","30.E03","deviance",-1.84616342860872,1.00113710524026,5500
"30","30.E03","r_max",2.10316994851156,1.00115250026923,5400
"30","30.E03","r_pred_new[508]",1.67985876122397,1.00116047281663,5300
"7","7.F03","K_s",52.2649173263578,1.000767689173,6000
"7","7.F03","deviance",-0.961157507101561,1.00164399412439,3100
"7","7.F03","r_max",1.92933889882193,1.00106556533564,6000
"7","7.F03","r_pred_new[508]",1.36529664666109,1.00100515951631,6000
"14","14.B04","K_s",18.245013780717,1.00109939942367,5800
"14","14.B04","deviance",-2.78959033161488,1.00084792930268,6000
"14","14.B04","r_max",1.65423997712208,1.00068258164986,6000
"14","14.B04","r_pred_new[508]",1.44440062190578,1.00117340364574,6000
"32","32.C04","K_s",31.8395354924991,1.00095078984093,6000
"32","32.C04","deviance",-10.0207574842446,1.00090795402371,6000
"32","32.C04","r_max",1.89905873459046,1.00066876945384,6000
"32","32.C04","r_pred_new[508]",1.51693515476359,1.00081623184711,6000
"19","19.D04","K_s",33.2969943106706,1.00220970714853,2000
"19","19.D04","deviance",1.72668437901256,1.00122130788051,4800
"19","19.D04","r_max",1.79986144504195,1.0017608385752,2800
"19","19.D04","r_pred_new[508]",1.42378166418114,1.0017247548377,6000
"6","6.F04","K_s",13.8414644249882,1.00126225730574,4600
"6","6.F04","deviance",-8.47634767818479,1.00122177867072,4800
"6","6.F04","r_max",1.44934978312563,1.00066340620794,6000
"6","6.F04","r_pred_new[508]",1.30536006148417,1.00069037529742,6000
"31","31.B04","K_s",56.3636920012107,1.00123219131912,4800
"31","31.B04","deviance",6.20401578260678,1.00097802308966,6000
"31","31.B04","r_max",2.30158754779576,1.00262807368392,1600
"31","31.B04","r_pred_new[508]",1.59214438085193,1.00231188295881,1900
"35","35.C04","K_s",31.1504157512521,1.00149372803696,3500
"35","35.C04","deviance",1.04581514864834,1.00143651648002,3700
"35","35.C04","r_max",1.97086560142705,1.00129355114671,4400
"35","35.C04","r_pred_new[508]",1.58016642826619,1.00058961876584,6000
"4","4.D04","K_s",35.198020333831,1.00098646692637,6000
"4","4.D04","deviance",-0.261782066833623,1.00058204514974,6000
"4","4.D04","r_max",1.84434348904322,1.00090786257618,6000
"4","4.D04","r_pred_new[508]",1.44184016263192,1.00054911496973,6000
"2","2.E04","K_s",25.6579797119363,1.00098385503902,6000
"2","2.E04","deviance",-1.7807674785831,1.00083042239294,6000
"2","2.E04","r_max",1.73749631874323,1.00099906374135,6000
"2","2.E04","r_pred_new[508]",1.44300919333199,1.00128545187737,4500
"21","21.F04","K_s",19.7349019236477,1.00081907404566,6000
"21","21.F04","deviance",7.77549896505833,1.00061960758961,6000
"21","21.F04","r_max",1.77363424508436,1.00117139810099,5200
"21","21.F04","r_pred_new[508]",1.53092212765497,1.00112825170889,5600
"cc1690","cc1690.B04","K_s",49.8710059421172,1.00111608651775,5700
"cc1690","cc1690.B04","deviance",0.654525879257702,1.00152130668757,3400
"cc1690","cc1690.B04","r_max",2.21098704723682,1.00110067390247,5800
"cc1690","cc1690.B04","r_pred_new[508]",1.58535727944274,1.00069146937238,6000
"5","5.C04","K_s",49.8333123013967,1.00129896862433,4400
"5","5.C04","deviance",2.66934254230939,1.00063496219026,6000
"5","5.C04","r_max",2.21979333960165,1.00086175010772,6000
"5","5.C04","r_pred_new[508]",1.59197582855807,1.00058500175036,6000
"anc4","anc4.D04","K_s",36.4371528600256,1.00119316656423,5000
"anc4","anc4.D04","deviance",2.65865465273048,1.00256876291407,1800
"anc4","anc4.D04","r_max",1.91081420016597,1.00097968545102,6000
"anc4","anc4.D04","r_pred_new[508]",1.48245118820959,1.00203937910072,2300
"16","16.E04","K_s",20.2312865433862,1.00102890544576,6000
"16","16.E04","deviance",-0.734109743727881,1.00074384491882,6000
"16","16.E04","r_max",1.81216199479556,1.00096719958644,6000
"16","16.E04","r_pred_new[508]",1.56049031884138,1.00107870924426,6000
"29","29.F04","K_s",35.9512233867833,1.00077358686194,6000
"29","29.F04","deviance",-5.58525130233515,1.00127934838331,4500
"29","29.F04","r_max",1.89146191125354,1.00060362854757,6000
"29","29.F04","r_pred_new[508]",1.47246261626327,1.00094364928396,6000
"8","8.B05","K_s",4.76584403113841,1.00069330589884,6000
"8","8.B05","deviance",2.6971185189664,1.00099730541019,6000
"8","8.B05","r_max",1.60451537874203,1.0007400325418,6000
"8","8.B05","r_pred_new[508]",1.54460262991649,1.00176775760209,4900
"25","25.C05","K_s",14.4129649161756,1.00121913540422,4900
"25","25.C05","deviance",-8.35617768621674,1.00125209838301,6000
"25","25.C05","r_max",1.67612383461677,1.00143269037752,3800
"25","25.C05","r_pred_new[508]",1.50398746210876,1.00132283529655,4200
"33","33.D05","K_s",39.6622059011171,1.00062612106207,6000
"33","33.D05","deviance",-3.62187385866723,1.00079605643559,6000
"33","33.D05","r_max",1.88120228286571,1.00112970003517,5500
"33","33.D05","r_pred_new[508]",1.43176256787248,1.00193957542263,2400
"23","23.E05","K_s",14.5451768140686,1.00137514983443,4000
"23","23.E05","deviance",-10.6933414767629,1.00095114850781,6000
"23","23.E05","r_max",1.78403095056253,1.00188826044755,5600
"23","23.E05","r_pred_new[508]",1.59953819231338,1.0007771304025,6000
"anc5","anc5.F05","K_s",12.6822808653661,1.00056824085515,6000
"anc5","anc5.F05","deviance",-1.5035320605956,1.0012072234811,4900
"anc5","anc5.F05","r_max",1.56183233179188,1.000840937931,6000
"anc5","anc5.F05","r_pred_new[508]",1.41816623920509,1.00105170078586,6000
"22","22.B05","K_s",47.2312322556007,1.00119178963785,5100
"22","22.B05","deviance",4.34611606267734,1.00119017588412,5100
"22","22.B05","r_max",2.17059196798232,1.00154793313855,3300
"22","22.B05","r_pred_new[508]",1.57967362791502,1.00115716243658,5300
"28","28.C05","K_s",32.9056077420995,1.00152170023331,3400
"28","28.C05","deviance",1.41143199425616,1.00141785668623,3800
"28","28.C05","r_max",1.87278907300841,1.0014575190664,3700
"28","28.C05","r_pred_new[508]",1.48446706919586,1.00170935064354,2900
"9","9.D05","K_s",28.6361518313247,1.00141992079887,3800
"9","9.D05","deviance",-0.376130245035789,1.00068383993975,6000
"9","9.D05","r_max",1.81450281599189,1.00167873645298,3000
"9","9.D05","r_pred_new[508]",1.47814694302269,1.00133068834929,4200
"anc2","anc2.E05","K_s",44.5330116438306,1.000857155738,6000
"anc2","anc2.E05","deviance",3.74568396256995,1.00102717902977,6000
"anc2","anc2.E05","r_max",1.9300136233011,1.00132049539552,4300
"anc2","anc2.E05","r_pred_new[508]",1.42674420853633,1.00125347232907,4600
"17","17.F05","K_s",16.056682169188,1.00112136966381,5600
"17","17.F05","deviance",4.64604124683542,1.00109355438248,5900
"17","17.F05","r_max",1.7470418261881,1.00073782882937,6000
"17","17.F05","r_pred_new[508]",1.5468112998571,1.00077035045559,6000
"16","16.B05","K_s",36.8339383306925,1.00080290698602,6000
"16","16.B05","deviance",-1.36280947387968,1.00071086846083,6000
"16","16.B05","r_max",1.95013158906846,1.00100890021157,6000
"16","16.B05","r_pred_new[508]",1.50977562574528,1.00103256783557,6000
"cc1690","cc1690.C05","K_s",29.6569071252349,1.00143571721847,3700
"cc1690","cc1690.C05","deviance",-14.7979670222828,1.001380150509,4000
"cc1690","cc1690.C05","r_max",1.91933496035254,1.0017946349585,2700
"cc1690","cc1690.C05","r_pred_new[508]",1.55479487972719,1.00168334515986,3000
"10","10.D05","K_s",43.6837680840384,1.00212220367989,2200
"10","10.D05","deviance",-1.39926116201039,1.00117045283384,5200
"10","10.D05","r_max",2.12930742171508,1.00102398546382,6000
"10","10.D05","r_pred_new[508]",1.58242079342983,1.00141450718701,3800
"cc1690","cc1690.E05","K_s",35.7405955242493,1.00109857040385,5800
"cc1690","cc1690.E05","deviance",-8.26915246035091,1.00115977070153,5300
"cc1690","cc1690.E05","r_max",2.0433834827404,1.00120089127711,5000
"cc1690","cc1690.E05","r_pred_new[508]",1.59301378516775,1.00191689568919,2500
"anc3","anc3.F05","K_s",41.7826766255136,1.00082464448991,6000
"anc3","anc3.F05","deviance",1.20843742090593,1.00088653737045,6000
"anc3","anc3.F05","r_max",1.86311494242515,1.00093768059415,6000
"anc3","anc3.F05","r_pred_new[508]",1.39985709754731,1.00115995131325,5300
"23","23.B06","K_s",20.1523394828287,1.00102203482855,6000
"23","23.B06","deviance",-7.9170827306235,1.00058874997843,6000
"23","23.B06","r_max",1.8526872190362,1.00094580517931,6000
"23","23.B06","r_pred_new[508]",1.59736101199667,1.00073051904551,6000
"1","1.C06","K_s",29.2587657902761,1.00095774349285,6000
"1","1.C06","deviance",0.0968372573889385,1.00094170563164,6000
"1","1.C06","r_max",1.73127364662826,1.00081002916243,6000
"1","1.C06","r_pred_new[508]",1.40477882473542,1.00075788704401,6000
"14","14.D06","K_s",16.6816553456184,1.00084664767706,6000
"14","14.D06","deviance",0.673560190905184,1.00123299751009,4800
"14","14.D06","r_max",1.66410692650231,1.00087670597,6000
"14","14.D06","r_pred_new[508]",1.46851592169678,1.00090349055121,6000
"24","24.E06","K_s",17.4515346557532,1.00142343933693,3800
"24","24.E06","deviance",-7.71396162729457,1.00076974071754,6000
"24","24.E06","r_max",1.59821646098758,1.00201371656579,2300
"24","24.E06","r_pred_new[508]",1.40370077694443,1.00162835276401,3100
"8","8.F06","K_s",13.94885015684,1.00087594620453,6000
"8","8.F06","deviance",11.7593750213949,1.00124948713978,4700
"8","8.F06","r_max",1.75301772714173,1.00120351396339,5000
"8","8.F06","r_pred_new[508]",1.57308104154562,1.00159625858151,3200
"anc2","anc2.B06","K_s",35.2812585310958,1.0010542743735,6000
"anc2","anc2.B06","deviance",4.25428395646383,1.00084176873764,6000
"anc2","anc2.B06","r_max",1.92618269838804,1.0009971679532,6000
"anc2","anc2.B06","r_pred_new[508]",1.50481753313173,1.00101791296118,6000
"26","26.C06","K_s",43.1615411275843,1.00098026894798,6000
"26","26.C06","deviance",-0.838702580350856,1.00107007549002,6000
"26","26.C06","r_max",1.95764096365982,1.00108119453552,6000
"26","26.C06","r_pred_new[508]",1.45943101896398,1.0015032703493,3500
"31","31.D06","K_s",47.9182844886792,1.0012369949014,4700
"31","31.D06","deviance",8.96236799737531,1.0011838067103,5100
"31","31.D06","r_max",2.0868446422439,1.0009199436158,6000
"31","31.D06","r_pred_new[508]",1.5123768407725,1.00140118322917,3900
"18","18.E06","K_s",38.9019224897915,1.00108640717203,6000
"18","18.E06","deviance",-1.42310132528685,1.00114121732219,5400
"18","18.E06","r_max",2.01023077939327,1.00143050054057,3800
"18","18.E06","r_pred_new[508]",1.53695467651823,1.00175922087234,2800
"22","22.F06","K_s",44.0267207748537,1.001961893507,2400
"22","22.F06","deviance",5.36882186901372,1.00165546943017,3000
"22","22.F06","r_max",1.89663437205282,1.00135973221386,4100
"22","22.F06","r_pred_new[508]",1.40612026209926,1.00087723862246,6000
"20","20.B06","K_s",39.1614241719692,1.00093979309748,6000
"20","20.B06","deviance",0.877530274574551,1.0017008744926,2900
"20","20.B06","r_max",2.05017632011381,1.00142202660403,3800
"20","20.B06","r_pred_new[508]",1.56484572007254,1.00141256343826,3800
"anc3","anc3.C06","K_s",49.0568499229051,1.00083860254928,6000
"anc3","anc3.C06","deviance",1.97035801229299,1.00122029376416,4900
"anc3","anc3.C06","r_max",1.98786945755071,1.00100502063348,6000
"anc3","anc3.C06","r_pred_new[508]",1.43228036410914,1.00146833341141,3600
"5","5.D06","K_s",59.9803061737432,1.00140349380867,3900
"5","5.D06","deviance",6.80391858484568,1.00099466482361,6000
"5","5.D06","r_max",2.00006599874905,1.00122650264924,6000
"5","5.D06","r_pred_new[508]",1.35637436120141,1.00255384221721,6000
