"population","Parameter","mean","Rhat","n.eff"
"10","deviance",-3.90727760819419,1.00083183565013,6000
"6","a",1.05408713729827,1.00093530826208,6000
"6","b",4.63194453312461,1.00098707489332,6000
"6","c",3.65814788995792,1.00147197549023,5900
"6","deviance",-6.35199464423315,1.00088169241232,6000
"20","a",1.28592484577287,1.00106131583108,6000
"20","b",3.5716024690151,1.00135797449371,4100
"20","c",3.2201301768677,1.00089146047017,6000
"20","deviance",-6.23706886378088,1.00153879712707,3700
"30","a",1.41316503380804,1.00065848485443,6000
"30","b",3.10316224001521,1.00064970619312,6000
"30","c",2.8355337011973,1.00066282535291,6000
"30","deviance",-6.554330477875,1.00135050586106,4100
"29","a",1.08466141834779,1.00094271061728,6000
"29","b",4.26837841877622,1.00080536194979,6000
"29","c",3.79698675108089,1.0123206367264,2700
"29","deviance",6.50852273171258,1.00070363236266,6000
"23","a",1.45419346270093,1.0011973999307,5000
"23","b",2.5565250210176,1.00069196302801,6000
"23","c",3.56879285382601,1.0017068706639,4100
"23","deviance",2.16619733354662,1.00100880200285,6000
"16","a",1.26072790467586,1.00205003016107,2300
"16","b",2.28931788593488,1.00092117098699,6000
"16","c",4.74083936040728,1.00120445255458,5000
"16","deviance",7.18559090138021,1.00128418232488,4500
"35","a",1.38481004531051,1.00116224948596,5300
"35","b",3.31562116572264,1.00096526233521,6000
"35","c",3.7907713436945,1.00115146981358,6000
"35","deviance",11.6140091853949,1.00072878828298,6000
"15","a",1.12020479848369,1.00333452056479,1200
"15","b",3.40141804258625,1.00563179415908,690
"15","c",8.79208324998284,1.00546276060816,2400
"15","deviance",-10.8102495887401,1.00306687480778,1400
"cc1690","a",1.21145084962284,1.00236443559451,1900
"cc1690","b",3.97333128915874,1.00105354254946,6000
"cc1690","c",3.05549948419111,1.00118050364792,5100
"cc1690","deviance",-1.40591244958149,1.00185881482569,2600
"Anc 3","a",1.42033470892914,1.00070178509176,6000
"Anc 3","b",2.08596218513206,1.00082602452355,6000
"Anc 3","c",3.15623631539617,1.00126026508293,4600
"Anc 3","deviance",-7.38959123554108,1.00062050166441,6000
"27","a",1.27645244916283,1.00069366021453,6000
"27","b",2.7794371935072,1.00074872103797,6000
"27","c",2.96584922613894,1.00149541764332,5400
"27","deviance",-16.6823404277181,1.00071533795036,6000
"28","a",1.14280296461882,1.00083596613113,6000
"28","b",3.505570934105,1.00089662626692,6000
"28","c",3.44173574366109,1.00609147050985,3700
"28","deviance",-3.49719380075374,1.00105233703604,6000
"25","a",1.25720285172634,1.00157532224465,3300
"25","b",4.269110877201,1.00157568660714,3300
"25","c",6.4540902999214,1.00378982570507,2000
"25","deviance",4.00599399761693,1.00075833697274,6000
"Anc 4","a",1.47509443637083,1.00121661468975,4900
"Anc 4","b",1.1900052241805,1.00080608726359,6000
"Anc 4","c",3.02034456136505,1.0010266987904,6000
"Anc 4","deviance",-12.7556273909499,1.00168009562521,3000
"8","a",1.43923731583101,1.00079673087481,6000
"8","b",3.47235535977913,1.00090538134331,6000
"8","c",3.04698177332255,1.00228523065543,2000
"8","deviance",-2.81056335565366,1.00198372420449,2400
"31","a",1.42229513752795,1.00078944172556,6000
"31","b",3.40489129268404,1.00075316243805,6000
"31","c",2.8216851001022,1.00097494922462,6000
"31","deviance",-10.1243705047373,1.00104319223608,6000
"4","a",1.47567871397524,1.00129728034703,4400
"4","b",0.427482535264372,1.00211590316237,6000
"4","c",4.90657001230038,1.00084472929755,6000
"4","deviance",-17.8854974340363,1.00103353741237,6000
"Anc 2","a",1.31139209241634,1.00068498698173,6000
"Anc 2","b",2.09573769109359,1.00110949309976,5700
"Anc 2","c",3.34027162687109,1.00231352222088,6000
"Anc 2","deviance",-10.8508709226329,1.00080307055153,6000
"11","a",1.15369700698534,1.00098573576364,6000
"11","b",4.85416693567611,1.00110526146553,5800
"11","c",3.15757270002884,1.00160010782957,6000
"11","deviance",-3.62161951068204,1.00195414748393,2400
"24","a",1.71141310627995,1.00100199372558,6000
"24","b",2.24383390425692,1.00098488954702,6000
"24","c",2.58584807831571,1.00111124214489,5700
"24","deviance",-24.2957807249618,1.00123731888864,4700
"Anc 5","a",1.28355549449039,1.00058038967995,6000
"Anc 5","b",3.81568846727964,1.00074189619632,6000
"Anc 5","c",2.89202099964909,1.00058506149243,6000
"Anc 5","deviance",-6.9228517708329,1.0010368857827,6000
"5","a",1.62010498013862,1.00085110175969,6000
"5","b",1.78174808910868,1.00074551653091,6000
"5","c",3.06377138123378,1.0008634977097,6000
"5","deviance",-5.79183877922998,1.00069288549702,6000
"22","a",1.56232799413002,1.00094018944816,6000
"22","b",1.95766960247968,1.00152664246386,3400
"22","c",2.52870800774591,1.00068912542274,6000
"22","deviance",-16.4678424893918,1.00143631266332,3700
"9","a",1.56463625547981,1.00100654095532,6000
"9","b",0.846501560559121,1.00072672795061,6000
"9","c",6.284198462306,1.0014767829961,3600
"9","deviance",2.10210754327205,1.00110054147337,5800
"32","a",1.04838511663217,1.0007752023479,6000
"32","b",4.78901545104408,1.00091518368204,6000
"32","c",6.95253363250425,1.0029188610262,4000
"32","deviance",-0.146685793180014,1.00089073128196,6000
"7","a",0.894061994686185,1.00094510586052,6000
"7","b",3.88741022616775,1.00083334833473,6000
"7","c",4.03271332383635,1.0011872717857,6000
"7","deviance",-2.82232116262462,1.0010323481221,6000
"21","a",1.62565966153318,1.00157714271835,3200
"21","b",2.59374104080456,1.00126244916493,4600
"21","c",2.82380122715757,1.00136451803889,4000
"21","deviance",-12.6804633215531,1.00167672437501,3000
