"population","salt","pop.ID","µ"
"24",1,"24.1",1.60939078471217
"8",2,"8.2",1.36730643026862
"31",2,"31.2",1.11963347832349
"4",2,"4.2",1.07546979326551
"Anc 2",2,"Anc 2.2",1.19723811855615
"11",2,"11.2",1.29285661915364
"24",2,"24.2",1.30981149832925
"8",3,"8.3",0.688199542506128
"31",3,"31.3",0.657618564783831
"4",3,"4.3",1.14641533301123
"Anc 2",3,"Anc 2.3",0.792857164047345
"11",3,"11.3",0.661593818700791
"24",3,"24.3",0.535653281752255
"8",4,"8.4",0.24276488535021
"31",4,"31.4",0.0190494296373228
"4",4,"4.4",0.866709227313501
"Anc 2",4,"Anc 2.4",0.357783176445137
"11",4,"11.4",0.113386196674108
"24",4,"24.4",0.0192003522608865
"8",5,"8.5",0.359728325567882
"31",5,"31.5",-0.200153002529796
"4",5,"4.5",0.678238972706518
"Anc 2",5,"Anc 2.5",0.240561458927138
"11",5,"11.5",0.0748979569563497
"24",5,"24.5",-0.0116412058418599
"8",6,"8.6",-0.204854835821944
"31",6,"31.6",0.11991135902426
"4",6,"4.6",0.583721856355379
"Anc 2",6,"Anc 2.6",-0.0142070562020607
"11",6,"11.6",0.235390918313912
"24",6,"24.6",-0.106214003731059
"8",7,"8.7",0.254487414349027
"31",7,"31.7",0
"4",7,"4.7",0.370557942097565
"Anc 2",7,"Anc 2.7",-0.0868343229796529
"11",7,"11.7",-0.136314918003701
"24",7,"24.7",0
"8",8,"8.8",-0.106023186225521
"31",8,"31.8",-0.132426179027478
"4",8,"4.8",0.317273637223633
"Anc 2",8,"Anc 2.8",-0.190502860127625
"11",8,"11.8",0.338912417223741
"24",8,"24.8",0.0505626965612738
"8",9,"8.9",-0.0530991908712504
"31",9,"31.9",-0.0568824481113862
"4",9,"4.9",0.387520645072626
"Anc 2",9,"Anc 2.9",-0.183931194652455
"11",9,"11.9",-0.0493661805596264
"24",9,"24.9",0.0606051903413817
"Anc 5",0,"Anc 5.0",1.24617681936013
"5",0,"5.0",1.6665556118885
"22",0,"22.0",1.46056430898506
"9",0,"9.0",1.51277286169381
"32",0,"32.0",1.22928257220348
"7",0,"7.0",1.00730389737969
"21",0,"21.0",1.70606793606346
"Anc 5",1,"Anc 5.1",1.26207347645262
"5",1,"5.1",1.32430953153292
"22",1,"22.1",1.57485414713051
"9",1,"9.1",1.48143229443437
"32",1,"32.1",1.1187149880496
"7",1,"7.1",0.830419454391865
"21",1,"21.1",1.52745299175768
"Anc 5",2,"Anc 5.2",1.21503719012157
"5",2,"5.2",1.3951232474496
"22",2,"22.2",1.05971081240342
"9",2,"9.2",1.46919154018842
"32",2,"32.2",1.30377473969866
"7",2,"7.2",0.785955577824374
"21",2,"21.2",1.3046258010463
"Anc 5",3,"Anc 5.3",0.498245136363826
"5",3,"5.3",0.789363652036269
"22",3,"22.3",0.48827670445094
"9",3,"9.3",1.03750442567138
"32",3,"32.3",0.963865936671597
"7",3,"7.3",0.843166459790832
"21",3,"21.3",0.721379229495153
"Anc 5",4,"Anc 5.4",0.236182082013807
"5",4,"5.4",0.358527789292793
