"population","rep.ID","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"7","7.C07",1.07983652917332,0.990350809541248,0.372607816379001,1.93241210420653,0,1.36814709562248,1.36096112467444,1.1665346916094,1.55413411074361,0,0.692204511431688,0.344664399772993,1.23600977178241,0
"anc3","anc3.D07",1.05507666350055,0.990827016920775,0.449270270538,1.72568021888785,0,1.22982531838132,1.22509531428978,1.0887402620818,1.37408650112565,0,0.83709821594752,0.475287978152564,1.33784224374906,0
"15","15.E07",1.82597173322704,1.77444030731943,1.11295758458604,2.6658688034983,0,1.54770178670365,1.54332271334997,1.40321795936529,1.70420178414776,0,1.00985769096429,0.722351347369526,1.40822596366111,0
"cc1690","cc1690.F07",1.87417332862315,1.72629072126627,0.779385150529045,3.34557927019579,0,1.5966550446623,1.58571487387202,1.36728603523684,1.85361916331786,0,0.943865877956376,0.489374247516262,1.54240186275751,0
"anc5","anc5.B08",0.90719201298588,0.875505062335866,0.475824701537833,1.3642473697788,0,1.5823484366067,1.5775235519305,1.44925704876021,1.73143733075572,0,0.481873819396768,0.288345339147876,0.705469599473949,0
"32","32.D08",1.41612151805591,1.35637982437511,0.701954175007686,2.19101147943271,0,1.56393490328557,1.55923989937216,1.39713807147398,1.75543966466077,0,0.761178812407526,0.469886482159407,1.14585695402297,0
"33","33.E08",1.89929938789564,1.79811676900793,0.887210805781862,2.98219980460553,0,1.60255028306915,1.59421439602267,1.39822429371534,1.81895347857447,0,0.973452620063136,0.60205442594275,1.49116024582973,0
"14","14.F08",1.06886739318312,0.982676793023293,0.344466938057677,1.91272760701082,0,1.43693746059476,1.42972447497931,1.23951052372096,1.6435821059709,0,0.633019585255452,0.289959522633821,1.12966822354624,0
"17","17.B08",1.06897069220206,0.803584001043802,0.010725555861624,2.71161781818239,0,1.51001667144214,1.4867597478052,1.15531532389941,1.86439034060301,0,0.48756744098838,0.0247683233459733,1.33309330651897,0
"2","2.C08",1.1866851844384,1.08519144354229,0.360317643514835,2.09500526033872,0,1.5026022487451,1.49368348919998,1.28907582405819,1.74554005316505,0,0.655433619404429,0.282125256360287,1.12066145885903,0
"35","35.D08",0.337475202091063,0.27250179317161,0.00120101446973397,0.7627619506385,0,1.32832733135151,1.32100250319322,1.1423343274213,1.52381691868513,0,0.200954942727391,0.000628889350664446,0.501795448121065,0
"9","9.E08",2.18313082690691,1.90599209846698,0.511978822312673,4.5329465446144,0,1.58157339733666,1.56361893567812,1.25968894457112,1.96560839203305,0,1.07146489899424,0.390368523866947,2.10078801738041,0
"31","31.F08",1.86281758905419,1.72767593375765,0.679750537230901,3.23902694583062,0,1.46160344561954,1.45248037309014,1.23477721988595,1.69687069943149,0,1.08637584021558,0.54905101600381,1.80636994866496,0
"7","7.B08",1.51312567820517,1.43426653515368,0.682658646232895,2.46130764084521,0,1.46218628548132,1.4566037721066,1.28171072407763,1.64436928451815,0,0.897651717067267,0.521765040427204,1.39063663406775,0
"16","16.C08",1.7226656538021,1.64492758604118,0.867918255787194,2.70160725298514,0,1.44258369209814,1.4374752147057,1.28037904731807,1.63621149241645,0,1.05009522881287,0.644010983639241,1.5728807840084,0
"20","20.D08",3.16887606817392,2.83496355407565,0.882808281022738,6.26506269909134,0,1.52798777388888,1.51030788356511,1.19110032628491,1.88537341283645,0,1.67815945331591,0.822157255205607,3.05639598425623,0
"30","30.E08",1.7655289920174,1.58478055846933,0.604829681454171,3.3463974588841,0,1.50074639963374,1.48703672177913,1.24232189187619,1.79914112655588,0,0.9566784950192,0.49640116438918,1.76459879723101,0
"10","10.F08",1.56218923761339,1.30957964876157,0.259549523096727,3.5454684478942,0,1.48179190062275,1.46248151326381,1.14548385881107,1.84195334007229,0,0.814656813485112,0.237677710863043,1.83908577304304,0
"1","1.B09",1.35414871033141,1.23179044636736,0.469894214965903,2.46864238000155,0,1.49821968198797,1.48886286897508,1.27028837192631,1.73227785623602,0,0.746771473444056,0.361343119324496,1.31657814602794,0
"6","6.C09",0.951696412260012,0.925003244771239,0.548661520196786,1.39113292661943,0,1.52099321020429,1.52029492216906,1.38613022991562,1.63830493490996,0,0.541143155840118,0.363416369764775,0.775051018047911,0
"14","14.D09",1.06052745657852,0.934608814884395,0.27138081102257,2.07038646964851,0,1.50520965266939,1.49483765373401,1.25442076385715,1.75829289233217,0,0.56180695907725,0.201991255618612,1.0934603727208,0
"6","6.E09",1.28321523091961,1.21320929746555,0.537126028196629,2.08757509584243,0,1.55364353193261,1.54789603605466,1.35439924375244,1.74942719224211,0,0.689227721707347,0.372360701786929,1.10690725482096,0
