"population","rep.ID","Parameter","mean","Rhat","n.eff"
"4","4.D04","deviance",-5.93619299078508,1.00115320404047,5300
"4","4.D04","r_max",1.79555575765718,1.00108395530586,6000
"2","2.E04","K_s",15.7756129173747,1.00116951688185,5200
"2","2.E04","deviance",-11.0645224532463,1.00061456847087,6000
"2","2.E04","r_max",1.77163681838659,1.00086844135401,6000
"21","21.F04","K_s",2.9296112480576,1.00068800694698,6000
"21","21.F04","deviance",-11.3005642186674,1.00102820606992,6000
"21","21.F04","r_max",1.59812829609669,1.0009434485965,6000
"cc1690","cc1690.B04","K_s",13.0352199628943,1.00179989024844,2700
"cc1690","cc1690.B04","deviance",-2.14799894963015,1.00089840144304,6000
"cc1690","cc1690.B04","r_max",1.54494651598687,1.00164491933703,3100
"5","5.C04","K_s",12.7802180335282,1.00070722513838,6000
"5","5.C04","deviance",-2.76866192985863,1.00173710099742,2800
"5","5.C04","r_max",1.43092665709185,1.00130166720817,4400
"anc4","anc4.D04","K_s",7.82195846072285,1.00070040486611,6000
"anc4","anc4.D04","deviance",-11.3720722807249,1.00111496789176,5700
"anc4","anc4.D04","r_max",1.35684115217318,1.00083262356835,6000
"16","16.E04","K_s",8.53015083834843,1.00094519959311,6000
"16","16.E04","deviance",-3.66836990546235,1.00097122341856,6000
"16","16.E04","r_max",1.52971118486236,1.00152160707663,3400
"29","29.F04","K_s",2.71730059906508,1.00193381883895,6000
"29","29.F04","deviance",-8.80096977007127,1.00160694555625,3200
"29","29.F04","r_max",1.3022246155082,1.00136253391388,4100
"8","8.B05","K_s",4.10971416500799,1.00086956907402,6000
"8","8.B05","deviance",-13.3141924383956,1.00085678484941,6000
"8","8.B05","r_max",1.44209177352264,1.00084541721504,6000
"25","25.C05","K_s",7.21816639068851,1.00082146140446,6000
"25","25.C05","deviance",-8.47345706060471,1.00151916882136,3400
"25","25.C05","r_max",1.54176006826259,1.00133459073985,4200
"33","33.D05","K_s",2.63219526509449,1.00064044717094,6000
"33","33.D05","deviance",-3.02815080648651,1.00091375369293,6000
"33","33.D05","r_max",1.36360723878316,1.00075402844595,6000
"23","23.E05","K_s",5.68575973149004,1.00060217214971,6000
"23","23.E05","deviance",-5.4435141646933,1.00075447848705,6000
"23","23.E05","r_max",1.55273292971603,1.00082632953131,6000
"anc5","anc5.F05","K_s",12.1744245562068,1.00109786147446,5800
"anc5","anc5.F05","deviance",2.66260847036138,1.00087283753729,6000
"anc5","anc5.F05","r_max",1.56163592005314,1.00058881694113,6000
"22","22.B05","K_s",13.3625208585327,1.00095917307385,6000
"22","22.B05","deviance",-10.2624817573705,1.00171148684781,2900
"22","22.B05","r_max",1.74827147766461,1.00109265264317,5900
"28","28.C05","K_s",7.16432809064009,1.00087841673344,6000
"28","28.C05","deviance",2.70356183742416,1.00107345686379,6000
