"population","light","well.ID","µ"
"2",50,"E04_17",0
"21",50,"F04_17",0
"cc1690",50,"B04_18",0
"5",50,"C04_18",0
"anc4",50,"D04_18",0
"16",50,"E04_18",0
"29",50,"F04_18",0
"31",82.5,"B04_20",0
"35",82.5,"C04_20",0
"4",82.5,"D04_20",0
"2",82.5,"E04_20",0
"21",82.5,"F04_20",0
"cc1690",82.5,"B04_21",0
"5",82.5,"C04_21",0
"anc4",82.5,"D04_21",0
"16",82.5,"E04_21",0
"29",82.5,"F04_21",0
"31",125,"B04_23",0
"35",125,"C04_23",0
"4",125,"D04_23",0
"2",125,"E04_23",0
"21",125,"F04_23",0
"cc1690",125,"B04_24",0
"5",125,"C04_24",0
"anc4",125,"D04_24",0
"16",125,"E04_24",0
"29",125,"F04_24",0
"31",175,"B04_26",0
"35",175,"C04_26",0
"4",175,"D04_26",0
"2",175,"E04_26",0
"21",175,"F04_26",0
"cc1690",175,"B04_27",0
"5",175,"C04_27",0
"anc4",175,"D04_27",0
"16",175,"E04_27",0
"29",175,"F04_27",0
"31",250,"B04_29",0
"35",250,"C04_29",0
"4",250,"D04_29",0
"2",250,"E04_29",0
"21",250,"F04_29",0
"cc1690",250,"B04_30",0
"5",250,"C04_30",0
"anc4",250,"D04_30",0
"16",250,"E04_30",0
"29",250,"F04_30",0
"8",0.25,"B05_1",0
"25",0.25,"C05_1",0
"33",0.25,"D05_1",0
"23",0.25,"E05_1",0
"anc5",0.25,"F05_1",0
"8",12.5,"B05_10",0
"25",12.5,"C05_10",0
"33",12.5,"D05_10",0
"23",12.5,"E05_10",0
"anc5",12.5,"F05_10",0
"22",12.5,"B05_11",0
"28",12.5,"C05_11",0
"9",12.5,"D05_11",0
"anc2",12.5,"E05_11",0
"17",12.5,"F05_11",0
"16",12.5,"B05_12",0
"cc1690",12.5,"C05_12",0
"10",12.5,"D05_12",0
"cc1690",12.5,"E05_12",0
"anc3",12.5,"F05_12",0
"8",27.5,"B05_13",0
"25",27.5,"C05_13",0
"33",27.5,"D05_13",0
"23",27.5,"E05_13",0
"anc5",27.5,"F05_13",0
"22",27.5,"B05_14",0
"28",27.5,"C05_14",0
"9",27.5,"D05_14",0
"anc2",27.5,"E05_14",0
"17",27.5,"F05_14",0
"16",27.5,"B05_15",0
"cc1690",27.5,"C05_15",0
"10",27.5,"D05_15",0
"cc1690",27.5,"E05_15",0
"anc3",27.5,"F05_15",0
"8",50,"B05_16",0
"25",50,"C05_16",0
"33",50,"D05_16",0
"23",50,"E05_16",0
"anc5",50,"F05_16",0
"8",82.5,"B05_19",0
"25",82.5,"C05_19",0
"33",82.5,"D05_19",0
"23",82.5,"E05_19",0
"anc5",82.5,"F05_19",0
"22",0.25,"B05_2",0
"28",0.25,"C05_2",0
"9",0.25,"D05_2",0
"anc2",0.25,"E05_2",0
"17",0.25,"F05_2",0
"8",125,"B05_22",0
"25",125,"C05_22",0
"33",125,"D05_22",0
"23",125,"E05_22",0
"anc5",125,"F05_22",0
"8",175,"B05_25",0
"25",175,"C05_25",0
"33",175,"D05_25",0
"23",175,"E05_25",0
"anc5",175,"F05_25",0
"8",250,"B05_28",0
"25",250,"C05_28",0
"33",250,"D05_28",0
"23",250,"E05_28",0
"anc5",250,"F05_28",0
"16",0.25,"B05_3",0
"cc1690",0.25,"C05_3",0
"10",0.25,"D05_3",0
"cc1690",0.25,"E05_3",0
"anc3",0.25,"F05_3",0
"8",1.5,"B05_4",0
"25",1.5,"C05_4",0
"33",1.5,"D05_4",0
"23",1.5,"E05_4",0
"anc5",1.5,"F05_4",0
"22",1.5,"B05_5",0
"28",1.5,"C05_5",0
"9",1.5,"D05_5",0
"anc2",1.5,"E05_5",0
"17",1.5,"F05_5",0
"16",1.5,"B05_6",0
"cc1690",1.5,"C05_6",0
"10",1.5,"D05_6",0
"cc1690",1.5,"E05_6",0
"anc3",1.5,"F05_6",0
"8",5,"B05_7",0
"25",5,"C05_7",0
"33",5,"D05_7",0
"23",5,"E05_7",0
"anc5",5,"F05_7",0
"22",5,"B05_8",0
"28",5,"C05_8",0
"9",5,"D05_8",0
"anc2",5,"E05_8",0
"17",5,"F05_8",0
"16",5,"B05_9",0
"cc1690",5,"C05_9",0
"10",5,"D05_9",0
"cc1690",5,"E05_9",0
"anc3",5,"F05_9",0
"22",50,"B05_17",0
"28",50,"C05_17",0
"9",50,"D05_17",0
"anc2",50,"E05_17",0
"17",50,"F05_17",0
"16",50,"B05_18",0
"cc1690",50,"C05_18",0
"10",50,"D05_18",0
"cc1690",50,"E05_18",0
"anc3",50,"F05_18",0
"22",82.5,"B05_20",0
"28",82.5,"C05_20",0
"9",82.5,"D05_20",0
"anc2",82.5,"E05_20",0
"17",82.5,"F05_20",0
"16",82.5,"B05_21",0
