SpeciesName,SpeciesNb,Temperature_fact,Temperature_c,Phosphate_fact,Phosphate_c,Replicate,id_STR,LOG10N0,lag,LOG10Nmax,mu
Chlamydomonas,2,T15,15,P06,6,3,2:15:03,2.002284841,5.219998013,4.207362567,0.397290946
Chlamydomonas,2,T15,15,P08,8,1,2:15:01,2,4.408770664,4.747306347,1.316964541
Chlamydomonas,2,T15,15,P08,8,2,2:15:02,2,3.73984206,5.00054072,0.484496764
Chlamydomonas,2,T15,15,P08,8,3,2:15:03,2,6.764523219,4.611939335,1.24418344
Chlamydomonas,2,T15,15,P20,20,1,2:15:01,2,4.393639074,4.941221442,0.736026712
Chlamydomonas,2,T15,15,P20,20,2,2:15:02,2.000000008,4.212837051,4.63268942,0.551911944
Chlamydomonas,2,T15,15,P20,20,3,2:15:03,2,4.999999998,4.402212914,1.445185879
Chlamydomonas,2,T15,15,P30,30,1,2:15:01,2,3.606649697,4.882584594,0.686014846
Chlamydomonas,2,T15,15,P30,30,2,2:15:02,2,5.587760071,4.808232213,1.111397026
Chlamydomonas,2,T15,15,P30,30,3,2:15:03,2,5.329873406,4.919910035,1.121221005
Chlamydomonas,2,T20,20,P0.01,0.01,1,2:20:01,2.150514998,4.968980426,3.380211242,0.137139162
Chlamydomonas,2,T20,20,P0.01,0.01,2,2:20:02,2.276042248,9.360933378,3.160057168,0.274653072
Chlamydomonas,2,T20,20,P0.01,0.01,3,2:20:03,2.202394294,4.971245869,3.363375367,0.127123921
Chlamydomonas,2,T20,20,P00.1,0.1,1,2:20:01,2,4.287585626,3.149740628,0.972955075
Chlamydomonas,2,T20,20,P00.1,0.1,2,2:20:02,2.304504205,5,3.318785551,0.555375325
Chlamydomonas,2,T20,20,P00.1,0.1,3,2:20:03,2.26776137,4.999999997,2.972971196,0.350977335
Chlamydomonas,2,T20,20,P00.5,0.5,1,2:20:01,2,3.775453973,3.449114376,0.599473808
Chlamydomonas,2,T20,20,P00.5,0.5,2,2:20:02,2,2.551263763,3.589978032,0.742603611
Chlamydomonas,2,T20,20,P00.5,0.5,3,2:20:03,2.440047865,0.952930442,4.112432261,0.153742831
Chlamydomonas,2,T20,20,P01,1,1,2:20:01,2.000333781,4.990766862,3.97820795,2.266647698
Chlamydomonas,2,T20,20,P01,1,2,2:20:02,2.156262964,3.70467209,3.388095861,0.860733793
Chlamydomonas,2,T20,20,P01,1,3,2:20:03,2,5,3.65118576,1.545521227
Chlamydomonas,2,T20,20,P02,2,1,2:20:01,2,4.999999994,4.046374856,1.975621853
Chlamydomonas,2,T20,20,P02,2,2,2:20:02,2.003205273,3.495470514,3.936078739,0.808535165
Chlamydomonas,2,T20,20,P02,2,3,2:20:03,2,5,3.907645707,1.903331245
Chlamydomonas,2,T20,20,P04,4,1,2:20:01,2,3.487058405,3.765833489,0.916290732
Chlamydomonas,2,T20,20,P04,4,2,2:20:02,2.000000004,2.221703157,4.010066903,0.655261342
Chlamydomonas,2,T20,20,P04,4,3,2:20:03,2.000003152,4.429471082,4.009491042,1.012359169
Chlamydomonas,2,T20,20,P06,6,1,2:20:01,2.150514998,4.39445274,4.82103314,1.716993602
Chlamydomonas,2,T20,20,P06,6,2,2:20:02,2,4.045757491,4.435622957,1.151292546
Chlamydomonas,2,T20,20,P06,6,3,2:20:03,2.150514998,3.893380592,4.416051473,1.141191193
Chlamydomonas,2,T20,20,P08,8,1,2:20:01,2,4.021397832,4.720255707,1.416606672
Chlamydomonas,2,T20,20,P08,8,2,2:20:02,2,3.538657512,4.44297822,1.004095755
Chlamydomonas,2,T20,20,P08,8,3,2:20:03,3,4.999999995,4.478345921,0.781808502
Chlamydomonas,2,T20,20,P10,10,1,2:20:01,2.0000718,4.464705429,3.491470098,1.354505911
Chlamydomonas,2,T20,20,P10,10,2,2:20:02,2,4.999999999,3.480394009,1.151292546
Chlamydomonas,2,T20,20,P10,10,3,2:20:03,2.065556863,0.78465535,4.752048448,0.290113523
Chlamydomonas,2,T20,20,P20,20,1,2:20:01,2.000000001,4.345942979,5.022381046,1.42925693
Chlamydomonas,2,T20,20,P20,20,2,2:20:02,2.000000001,4.353443613,4.832649169,1.339735501
Chlamydomonas,2,T20,20,P20,20,3,2:20:03,2.101572625,5,4.677045098,1.619049282
Chlamydomonas,2,T20,20,P30,30,1,2:20:01,2,5.709374672,4.815535898,1.970145625
Chlamydomonas,2,T20,20,P30,30,2,2:20:02,2.10017938,5.728637918,4.811031793,1.908064085
Chlamydomonas,2,T20,20,P30,30,3,2:20:03,2,4.147210825,4.710052866,1.285884713
Chlamydomonas,2,T25,25,P0.01,0.01,1,2:25:01,2.198491353,11.80339395,2.801458328,0.434330269
Chlamydomonas,2,T25,25,P0.01,0.01,2,2:25:02,2.293413658,12.85244514,2.982381151,0.738703519
Chlamydomonas,2,T25,25,P0.01,0.01,3,2:25:03,2.177283153,6.999780818,2.607722951,0.495507832
Chlamydomonas,2,T25,25,P00.1,0.1,1,2:25:01,2,2.164827479,2.885614612,0.297532131
Chlamydomonas,2,T25,25,P00.1,0.1,2,2:25:02,2.001149475,2.794143497,2.855576622,0.317021704
Chlamydomonas,2,T25,25,P00.1,0.1,3,2:25:03,2.157734699,5.703293522,2.784088535,0.437476925
Chlamydomonas,2,T25,25,P00.5,0.5,1,2:25:01,2,3.573643001,3.150786861,0.770222522
Chlamydomonas,2,T25,25,P00.5,0.5,2,2:25:02,2.647858744,12.95087683,3.28585421,0.716910964
Chlamydomonas,2,T25,25,P00.5,0.5,3,2:25:03,2.000000182,0.146324425,3.710826294,0.152369929
Chlamydomonas,2,T25,25,P01,1,1,2:25:01,2,3,3.815493693,1.791759469
Chlamydomonas,2,T25,25,P01,1,2,2:25:02,2,2.778653575,3.614226256,1.67326145
Chlamydomonas,2,T25,25,P01,1,3,2:25:03,2,2.99999999,3.523409124,0.972955081
Chlamydomonas,2,T25,25,P02,2,1,2:25:01,2,3,4.050177388,1.282474679
Chlamydomonas,2,T25,25,P02,2,2,2:25:02,2,2.994621674,4.015987418,2.314766529
