"","Sp.name","r.max.T","T.br","r.max.N","comp.N","r.max.P","comp.P","r.max.L","comp.L"
"122","Coscinodiscus wailesii",NA,NA,0.62,3.714285714,0.54,11.2820512805,1.575919894,0.158659356
"123","Gymnodinium splendens",NA,NA,0.455,1.493863194,NA,NA,NA,NA
"124","Nitzschia closterium",NA,NA,0.45,0.239726027,0.39,5.8,NA,NA
"125","Selenastrum capricornutum",NA,NA,1.32,50.39239983,1.1221477,81.25966508,1.214062,1.962385004
"126","Thalassiosira weissflogii",NA,NA,1.32,3.935483871,NA,NA,NA,NA
"127","Anabaena flos-aquae",NA,NA,NA,NA,0.89,23.70948379,NA,NA
"128","Anabaena oscillarioides",NA,NA,NA,NA,1.68,12.21492076,NA,NA
"129","Ankistrodesmus falcatus",NA,NA,NA,NA,0.5239131,269.0957039,1.039246871,0.723377087
"130","Botryococcus sudeticus",NA,NA,NA,NA,0.5470168,33.12728164,0.7588419,1.274596526
"131","Chlamydocapsa ampla",NA,NA,NA,NA,0.6934719,107.6669645,1.3801,0.614749059
"132","Chlorella sorokiniana",NA,NA,NA,NA,0.4532827,20.58269613,0.9982451,0.958138911
"133","Closteriopsis acicularis",NA,NA,NA,NA,0.8925183,13.98572058,NA,NA
"134","Coelastrum cambricum",NA,NA,NA,NA,0.6275249,8.710801394,0.651015,1.539833174
"135","Coelastrum microporum",NA,NA,NA,NA,0.4857304,108.2270994,1.582996749,0.838801302666667
"136","Coelastrum reticulatum",NA,NA,NA,NA,0.5801686,51.98126595,1.169209,0.989853997
"137","Crucigenia tetrapedia",NA,NA,NA,NA,0.562642,51.84275057,0.8763568,0.810385906
"138","Diatoma elongatum",NA,NA,NA,NA,0.48,190,NA,NA
"139","Dictyosphaerium ehrenbergianum",NA,NA,NA,NA,0.5161032,60.45291323,1.183461,1.062008556
"140","Dictyosphaerium pulchellum",NA,NA,NA,NA,0.6496826,53.73657257,1.57887464,0.381362882
"141","Monoraphidium arcuatum",NA,NA,NA,NA,0.7891068,223.7246576,1.038019,2.625381665
"142","Monoraphidium minutum",NA,NA,NA,NA,0.8465516,42.42015466,1.6233254425,0.7744295555
"143","Nitzschia linearis",NA,NA,NA,NA,0.56,242.1052632,NA,NA
"144","Nitzschia palea",NA,NA,NA,NA,0.88,165.9574468,NA,NA
"145","Oocystis parva",NA,NA,NA,NA,0.5139385,127.6646811,0.7220038,0.640890068
"146","Oocystis polymorpha ",NA,NA,NA,NA,0.7444437,47.73201338,1.381854,2.095241288
"147","Pediastrum tetras",NA,NA,NA,NA,0.3796491,47.35162369,0.8572004,1.232934643
"148","Prasinomonas capsulatus",NA,NA,NA,NA,0.82,76.59574468,NA,NA
"149","Prymnesium parvum",NA,NA,NA,NA,0.21,166.6666667,NA,NA
"150","Pyrocystis noctiluca",NA,NA,NA,NA,0.12,1.333333333,NA,NA
"151","Scenedesmus obliquus",NA,NA,NA,NA,0.965,17.1818510485,NA,NA
"152","Scenedesmus quadricauda",NA,NA,NA,NA,0.423,152.334647513333,1.951133268,0.321790952
"153","Sphaerocystis schroeteri",NA,NA,NA,NA,0.48,152,0.5980179,0.951474786
"154","Stephanodiscus hantzschii",NA,NA,NA,NA,0.73,28.86139113,NA,NA
"155","Tetrastrum heteracantum",NA,NA,NA,NA,0.3558299,40.28343424,0.5982583,0.891337095
"156","Volvox aureus",NA,NA,NA,NA,0.466,9.6697268706,NA,NA
"157","Volvox globator",NA,NA,NA,NA,0.5,2.89538948325,NA,NA
"158","Actinastrum hantzschii ",NA,NA,NA,NA,NA,NA,1.796146,1.066765663
"159","Arthrodesmus convergens",NA,NA,NA,NA,NA,NA,0.255406,1.022916396
"160","Botryococcus braunii",NA,NA,NA,NA,NA,NA,0.3061119,1.245458746
"161","Chlorella vulgaris",NA,NA,NA,NA,NA,NA,1.244297763,0.480675316
"162","Chlorococcum aquaticum ",NA,NA,NA,NA,NA,NA,1.22698,1.000288083
"163","Coscinodiscus granii",NA,NA,NA,NA,NA,NA,1.605794478,0.21842771
"164","Cosmarium botrytis",NA,NA,NA,NA,NA,NA,0.6185089,0.709385885
"165","Cosmarium subprotumidum",NA,NA,NA,NA,NA,NA,1.112760519,0.112458267
"166","Cosmarium turpinii",NA,NA,NA,NA,NA,NA,0.6884805,1.106277906
"167","Elakatothrix viridis",NA,NA,NA,NA,NA,NA,0.5076739,1.000097009
"168","Fragilaria barbararum",NA,NA,NA,NA,NA,NA,1.148251416,3.097206975
"169","Gloeomonas kupfferi",NA,NA,NA,NA,NA,NA,0.3395763,0.621264646
"170","Leptocylindricus danicus",NA,NA,NA,NA,NA,NA,2.281111411,1.038898037
"171","Microcystis flos-aquae",NA,NA,NA,NA,NA,NA,2.149794662,0.517451965
"172","Microcystis ichthyoblabe",NA,NA,NA,NA,NA,NA,1.419593843,0.371968969
"173","Oocystis solitaria",NA,NA,NA,NA,NA,NA,0.6964549,0.409414905
"174","Pandorina charkowiensis",NA,NA,NA,NA,NA,NA,0.7187422,0.649464517
"175","Pediastrum duplex",NA,NA,NA,NA,NA,NA,0.6738454,0.474104417
"176","Planktosphaeria botryoides",NA,NA,NA,NA,NA,NA,1.584183,1.62350313
"177","Quadrigula closterioides",NA,NA,NA,NA,NA,NA,0.3985955,0.791214356
"178","Radiococcus polycoccus",NA,NA,NA,NA,NA,NA,0.7514775,0.821328252
"179","Rhizosolenia fragilissima",NA,NA,NA,NA,NA,NA,0.978461793,0.500930309
"180","Rhodomonas salina",NA,NA,NA,NA,NA,NA,1.761251159,1.603220068
"181","Scenedesmus crassus",NA,NA,NA,NA,NA,NA,1.997745662,0.310297225
"182","Selenastrum minutum",NA,NA,NA,NA,NA,NA,1.737654781,0.195454647
"183","Spondylosium planum",NA,NA,NA,NA,NA,NA,0.4304931,0.312722815
"184","Staurastrum cingulum",NA,NA,NA,NA,NA,NA,0.4849764,0.574623478
"185","Staurastrum punctulatum",NA,NA,NA,NA,NA,NA,0.7275168,0.826671737
"186","Staurastrum tetracerum",NA,NA,NA,NA,NA,NA,0.6708826,0.865740901
"187","Synechocystis minima",NA,NA,NA,NA,NA,NA,2.085485955,0.40190346
"188","Tetraedron minutum",NA,NA,NA,NA,NA,NA,0.6570455,0.612760117
"189","Thalassiosira curviseriata",NA,NA,NA,NA,NA,NA,1.908828368,0.614884258
