"","Sp.id","Sp.name","Parameter","mean","Rhat","n.eff"
"92",58,"Synechocystis minima","r_pred_new[148]",1.23382801222866,1.00101630144487,3000
"93",1,"Acutodesmus obliquus","K_s",30.4222108183586,1.00114851060115,3000
"94",1,"Acutodesmus obliquus","deviance",-1.77622224652615,1.00312882867978,2300
"95",1,"Acutodesmus obliquus","r_max",2.03708210138255,1.00090040399628,3000
"96",1,"Acutodesmus obliquus","r_pred_new[448]",1.78548849505592,1.00105596771527,3000
"97",45,"Phaeodactylum tricornutum","K_s",46.6337493486387,1.00272666620946,900
"98",45,"Phaeodactylum tricornutum","deviance",-5.38823845960673,1.0008647426634,3000
"99",45,"Phaeodactylum tricornutum","r_max",1.93532320752891,1.00193154883558,1400
"100",45,"Phaeodactylum tricornutum","r_pred_new[424]",1.579996400082,1.00106489578296,3000
"101",8,"Chaetoceros deflandrei","K_s",57.6567181600015,1.00165079824577,1700
"102",8,"Chaetoceros deflandrei","deviance",-6.0743052387755,1.00061495940856,3000
"103",8,"Chaetoceros deflandrei","r_max",0.685360982873264,1.00347989138481,1400
"104",8,"Chaetoceros deflandrei","r_pred_new[448]",0.542200568688219,1.00393887213911,2300
"105",14,"Corethron criophilum","K_s",39.4966316204522,1.00070688012619,3000
"106",14,"Corethron criophilum","deviance",-20.1504529006873,1.00089552893562,3000
"107",14,"Corethron criophilum","r_max",0.219989405609992,1.00192372494531,3000
"108",14,"Corethron criophilum","r_pred_new[448]",0.186084267520552,1.00416329786861,3000
"109",38,"Nitzschia cylindrus","K_s",65.7036164440732,1.00228278922323,2700
"110",38,"Nitzschia cylindrus","deviance",-9.75939499748944,1.00065929469039,3000
"111",38,"Nitzschia cylindrus","r_max",0.571627964999311,1.00297853538019,3000
"112",38,"Nitzschia cylindrus","r_pred_new[448]",0.440108599965851,1.00556037565264,3000
"113",39,"Nitzschia kerguelensis","K_s",35.5244068653132,1.00579788265127,1900
"114",39,"Nitzschia kerguelensis","deviance",-16.3298354601619,1.00058539692255,3000
"115",39,"Nitzschia kerguelensis","r_max",0.622656980872899,1.00441191466044,3000
"116",39,"Nitzschia kerguelensis","r_pred_new[448]",0.535754263730245,1.0139470409765,3000
"117",40,"Nitzschia turgiduloides","K_s",36.4486633158794,1.00113588135408,3000
"118",40,"Nitzschia turgiduloides","deviance",-14.3386554399203,1.00081772024109,3000
"119",40,"Nitzschia turgiduloides","r_max",0.564528492148033,1.00129060880267,2800
