"population","rep.ID","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"19","19.B03",37.1154800796612,32.3886470283372,9.28745805318374,78.785990248526,0,1.87662696566999,1.83907480242864,1.34411085265384,2.48130174756968,0,14.3880960798924,6.46361718699172,26.335592913358,0
"33","33.C03",45.5699914292322,42.0510511305436,16.8101068118324,84.7065825102726,0,2.06457296587808,2.02882737177313,1.56441529269111,2.64100220930524,0,16.0728450695261,8.96293984289733,25.2312468413588,0
"8","8.D03",13.0651998051698,5.3254870447708,0.0038045976446118,60.2465590451166,0,1.75882146714416,1.66163672260079,1.11613487602337,2.66322541302508,0,2.67834116424778,0.00294591233126919,17.9735683938124,0
"25","25.E03",15.2035908010594,12.0386060898991,1.8767761778978,37.3968818540993,0,1.62994105981228,1.59560430156195,1.2397473032294,2.1243927423376,0,6.51996102200975,1.92961712949515,15.8475842505879,0
"19","19.F03",21.998337479041,18.7857283682309,4.91902873868393,46.2045606335778,0,1.51251341240945,1.48275534281686,1.13747360866527,1.88188677146255,0,11.5181109960022,5.18958713255904,22.4051431940889,0
"33","33.G03",45.6837122165188,41.6477676425238,10.0062626850165,92.1174211445805,0,1.85233580131578,1.81410794481728,1.18327473724891,2.59179918940171,0,18.4188961752443,5.76083696584042,33.9316579815216,0
"4","4.B03",32.6580826869722,28.1237561147592,6.88134198405648,72.2221886966005,0,1.7585681354075,1.71795953742879,1.30183443182418,2.30867142839408,0,13.6847903513516,6.0262617620779,26.2934205038477,0
"9","9.C03",21.2040727896247,20.1242565861323,10.9386917382876,32.8508910459548,0,1.78445176330779,1.77350784794235,1.55847703651092,2.03446481305874,0,9.35068373621716,6.05696285821268,13.6300920395853,0
"22","22.D03",57.6875333506069,56.1884935438381,24.3477405496942,99.7131824589878,0,2.12856035216554,2.10638295916376,1.48866475835748,2.84378163886548,0,20.0967233883577,9.02505599892878,31.2641072419085,0
"28","28.E03",38.1636537016217,33.9500931987801,8.28462927418543,82.1312812539936,0,1.89360316742366,1.84982476193051,1.33914041654342,2.51618341840807,0,14.6519619002124,5.97528716399646,26.7860774519126,0
"4","4.F03",39.4122527676823,34.9244820064913,10.1298942303105,80.2792827420365,0,1.87740283345648,1.8408835267009,1.41265089246268,2.47540250978097,0,15.3174095708036,7.11257785166104,26.9755266618886,0
"9","9.G03",37.1274778971236,33.4447075948368,13.1833661081803,72.6850031176596,0,1.79113044874467,1.76097947061746,1.37574382402446,2.26115200591365,0,15.6923408188541,8.40854004055623,25.8546642817677,0
"3","3.B03",23.9872498582382,21.2578152848258,7.47575813141487,48.038599329355,0,1.93316074102585,1.90384505114511,1.54959579581599,2.37212178134805,0,8.89521719273132,4.20714736221225,15.9915149583766,0
"30","30.C03",27.3836218878375,25.1192184804794,10.4313827548749,49.1340037391974,0,1.95022626953405,1.92665551388898,1.56710092544115,2.33157245427435,0,10.3138473486375,5.75388751181968,16.8043659521668,0
"20","20.D03",39.9470622553229,36.2027715702251,10.9555323847662,78.5242615284484,0,2.03972455903541,2.00528295322834,1.53983668495015,2.63994294166417,0,14.0117173200298,6.62985134990833,23.5534400641008,0
"30","30.E03",31.7658081824837,28.5449888297402,9.2110065988269,60.746545744742,0,2.10316994851156,2.07362723357886,1.63739367067949,2.63902278834866,0,10.6443177280026,5.49792001032403,18.3805708693002,0
"7","7.F03",52.2649173263578,49.487312585591,20.6855732302531,93.7069753134331,0,1.92933889882193,1.90429072964982,1.42991535297927,2.50531220354696,0,20.5064498197702,10.7430760085934,31.0387857447471,0
"14","14.B04",18.245013780717,15.5104959141048,4.8723759562859,39.7771986461603,0,1.65423997712208,1.62544854607331,1.33132228575057,2.08153029560895,0,8.14999297084677,3.417401416626,16.7613465876315,0
