"","population","temp","well.ID","µ"
"1","25",16,"B02_16",1.15033718442725
"2","6",16,"C02_16",0.966746244450007
"3","24",16,"D02_16",1.07486186976796
"4","1",16,"E02_16",0.83196553532482
"5","25",16,"F02_16",1.20782626364435
"6","11",16,"G02_16",1.13159964749353
"7","28",16,"B02_21",0.98655764888286
"8","21",16,"C02_21",1.13438712230405
"9","18",16,"D02_21",0.927890030700199
"10","26",16,"E02_21",0.909171303505545
"11","28",16,"F02_21",1.07226044665148
"12","27",16,"G02_21",0.927915743004073
"13","15",16,"B02_26",0.785126313872067
"14","10",16,"C02_26",0.881752850045716
"15","29",16,"D02_26",1.05865058567777
"16","anc4",16,"E02_26",1.01605164485706
"17","15",16,"F02_26",0.899333752293929
"18","25",22,"B02_31",2.51736680293251
"19","6",22,"C02_31",2.02147156700276
"20","24",22,"D02_31",2.04746391925227
"21","1",22,"E02_31",1.57896603228839
"22","25",22,"F02_31",2.01844503220153
"23","11",22,"G02_31",1.84630248737983
"24","28",22,"B02_36",2.21125007846139
"25","21",22,"C02_36",2.90480448549497
"26","18",22,"D02_36",1.86471751176843
"27","26",22,"E02_36",1.73472822570492
"28","28",22,"F02_36",2.14267905269287
"29","27",22,"G02_36",1.85481504574886
"30","15",22,"B02_41",1.72123916138021
"31","10",22,"C02_41",1.66235095362046
"32","29",22,"D02_41",1.8989949064982
"33","anc4",22,"E02_41",2.16486628543555
"34","15",22,"F02_41",1.88106351960183
"35","25",28,"B02_46",3.78069013565109
"36","6",28,"C02_46",2.83368596050983
"37","24",28,"D02_46",3.20615926648185
"38","1",28,"E02_46",2.87780420577089
"39","25",28,"F02_46",3.07456965453129
"40","11",28,"G02_46",2.73549136664318
"41","28",28,"B02_51",4.08940241788597
"42","21",28,"C02_51",3.93254035459311
"43","18",28,"D02_51",3.1154077368746
"44","26",28,"E02_51",3.45728407503759
"45","28",28,"F02_51",3.67618977996614
"46","27",28,"G02_51",2.41779336278445
"47","15",28,"B02_56",3.43003966307934
"48","10",28,"C02_56",2.88007350498149
"49","29",28,"D02_56",3.0939119836246
"50","anc4",28,"E02_56",3.05086743451778
"51","15",28,"F02_56",2.94208620962939
"52","25",34,"B02_61",4.23398891241126
"53","6",34,"C02_61",4.34014381315625
"54","24",34,"D02_61",4.01310967053609
"55","1",34,"E02_61",3.91279342703641
"56","25",34,"F02_61",4.1546624464934
"57","11",34,"G02_61",4.21099352553497
"58","28",34,"B02_66",4.96505454618993
"59","21",34,"C02_66",4.76309774606288
"60","18",34,"D02_66",3.46557742530898
"61","26",34,"E02_66",3.75560750371921
"62","28",34,"F02_66",4.14132369094785
"63","27",34,"G02_66",3.40645151550653
"64","15",34,"B02_71",4.2834564660061
"65","10",34,"C02_71",3.07032711274171
"66","29",34,"D02_71",3.9410475886209
"67","anc4",34,"E02_71",3.31521940244992
"68","15",34,"F02_71",3.52765283504918
"69","25",40,"B02_76",0.331431822180635
"70","6",40,"C02_76",0.432741046267688
"71","24",40,"D02_76",0.73938343377945
"72","1",40,"E02_76",0.407156609005435
"73","25",40,"F02_76",0.172017832585124
"74","11",40,"G02_76",0.195230580964643
"75","28",40,"B02_81",0.544785617625553
"76","21",40,"C02_81",0.383701059592176
"77","18",40,"D02_81",1.17947797886745
"78","26",40,"E02_81",-0.148691402672944
"79","28",40,"F02_81",0.588854370028805
"80","27",40,"G02_81",-0.000271625158023912
"81","15",40,"B02_86",0.583711617226269
"82","10",40,"C02_86",0.784350941456927
"83","29",40,"D02_86",0.634334215127931
"84","anc4",40,"E02_86",0.486473773051067
"85","15",40,"F02_86",0.372008804635435
"86","25",10,"B02_1",0.176709834392176
"87","6",10,"C02_1",0.40596637888156
"88","24",10,"D02_1",0.409568482267987
"89","1",10,"E02_1",0.35230170035544
"90","25",10,"F02_1",0.182652714265394
"91","11",10,"G02_1",0.282034619528352
"92","15",10,"B02_11",0.489487110843445
"93","10",10,"C02_11",0.563509255358786
"94","29",10,"D02_11",0.348645193292383
"95","anc4",10,"E02_11",0.441702493327975
"96","15",10,"F02_11",0.496842715472724
"97","28",10,"B02_6",0.442530261197612
"98","21",10,"C02_6",0.443861988173273
"99","18",10,"D02_6",0.468911641373035
"100","26",10,"E02_6",0.306739832883703
"101","28",10,"F02_6",0.379227909247654
"102","27",10,"G02_6",0.520564412848802
"103","19",16,"B03_16",0.846406057866243
"104","33",16,"C03_16",0.951236008045218
"105","8",16,"D03_16",0.643817555880104
"106","25",16,"E03_16",1.22427941385227
"107","19",16,"F03_16",0.898852518528433
"108","33",16,"G03_16",1.02031151977467
"109","4",16,"B03_21",0.84554657794786
"110","9",16,"C03_21",1.13604434250285
"111","22",16,"D03_21",0.945161961597233
"112","28",16,"E03_21",1.07933122696785
"113","4",16,"F03_21",0.912864469076699
"114","9",16,"G03_21",0.842151955003466
"115","3",16,"B03_26",1.06887088263598
"116","30",16,"C03_26",1.02845198702939
"117","20",16,"D03_26",0.951417951478193
"118","30",16,"E03_26",1.48387698414972
"119","7",16,"F03_26",0.83065114436393
"120","19",22,"B03_31",2.04830310448851
"121","33",22,"C03_31",2.28260652497647
"122","8",22,"D03_31",1.62053510179417
"123","25",22,"E03_31",2.27935932833576
"124","19",22,"F03_31",1.73118755361734
"125","33",22,"G03_31",1.69839273498425
"126","4",22,"B03_36",1.56583847673924
"127","9",22,"C03_36",2.25360962375923
"128","22",22,"D03_36",2.30183066333255
"129","28",22,"E03_36",2.02945571737215
"130","4",22,"F03_36",1.77020697839837
"131","9",22,"G03_36",2.14358247813113
"132","3",22,"B03_41",2.59391182750157
"133","30",22,"C03_41",2.05538640610141
"134","20",22,"D03_41",1.58825180653563
"135","30",22,"E03_41",2.11790495097285
"136","7",22,"F03_41",1.47146614032928
"137","19",28,"B03_46",3.46776915383805
"138","33",28,"C03_46",3.04243960334969
"139","8",28,"D03_46",3.15807039713345
"140","25",28,"E03_46",3.20825939288916
"141","19",28,"F03_46",2.9516474613674
"142","33",28,"G03_46",2.75259687849103
"143","4",28,"B03_51",2.61955201800549
"144","9",28,"C03_51",3.6031504792343
"145","22",28,"D03_51",3.13243224923981
"146","28",28,"E03_51",3.74498005373621
"147","4",28,"F03_51",2.83920669234835
"148","9",28,"G03_51",3.22468053169862
"149","3",28,"B03_56",3.08135905667912
"150","30",28,"C03_56",3.309648549655
"151","20",28,"D03_56",3.31017748365982
"152","30",28,"E03_56",3.84690327781868
"153","7",28,"F03_56",2.86599748780562
"154","19",34,"B03_61",4.34956790686393
"155","33",34,"C03_61",3.99890987065149
"156","8",34,"D03_61",3.8625654329049
"157","25",34,"E03_61",3.76592246468146
"158","19",34,"F03_61",3.85407650328032
"159","33",34,"G03_61",3.88993534471437
"160","4",34,"B03_66",4.04901514165581
"161","9",34,"C03_66",3.65406215606197
"162","22",34,"D03_66",4.00189351037878
"163","28",34,"E03_66",4.04199773381493
"164","4",34,"F03_66",3.85885373118384
"165","9",34,"G03_66",3.28523325674442
"166","3",34,"B03_71",3.93793474904021
"167","30",34,"C03_71",4.02768255043582
"168","20",34,"D03_71",3.5316037750816
"169","30",34,"E03_71",3.28381887349278
"170","7",34,"F03_71",3.81204207162558
"171","19",40,"B03_76",-0.0325960963778404
"172","33",40,"C03_76",0.278128065966861
"173","8",40,"D03_76",0.321614979109756
"174","25",40,"E03_76",0.389203659540896
"175","19",40,"F03_76",0.190861999150971
"176","33",40,"G03_76",-0.0744317070264929
"177","4",40,"B03_81",0.328417962686359
"178","9",40,"C03_81",0.0311134085895742
"179","22",40,"D03_81",0.0544545605467158
"180","28",40,"E03_81",0.556556050097035
"181","4",40,"F03_81",0.560206845143103
