"","Sp.id","light","temp","id","r.exp"
"297","Microcystis_aeruginosa",18.7,30,"2.1",0.130727465008284
"298","Microcystis_aeruginosa",18.7,30,"2.2",0.15528302840577
"299","Microcystis_aeruginosa",18.7,35,"2.1",0.106612721075322
"300","Microcystis_aeruginosa",18.7,35,"2.2",-0.201656102701864
"301","Microcystis_aeruginosa",29.3,15,"2.1",0.162232014022393
"302","Microcystis_aeruginosa",29.3,15,"2.2",0.139166439875719
"303","Microcystis_aeruginosa",29.3,20,"2.3",0.216584262673621
"304","Microcystis_aeruginosa",29.3,20,"2.4",0.167391556170703
"305","Microcystis_aeruginosa",29.3,20,"1.2",0.306791972448243
"306","Microcystis_aeruginosa",29.3,20,"1.1",0.166550319300762
"307","Microcystis_aeruginosa",29.3,25,"1.1",0.23698156884702
"308","Microcystis_aeruginosa",29.3,25,"1.2",0.220264449435258
"309","Microcystis_aeruginosa",29.3,30,"2.1",0.296567264208361
"310","Microcystis_aeruginosa",29.3,30,"2.2",0.436455361558289
"311","Microcystis_aeruginosa",29.3,35,"2.1",-0.0353688152080531
"312","Microcystis_aeruginosa",29.3,35,"2.2",-0.289581536250586
"313","Microcystis_aeruginosa",49.2,15,"2.1",-0.111788067929659
"314","Microcystis_aeruginosa",49.2,15,"2.2",-0.0685887153678924
"315","Microcystis_aeruginosa",49.2,20,"2.3",0.288273775433602
"316","Microcystis_aeruginosa",49.2,20,"2.4",0.378468854577352
"317","Microcystis_aeruginosa",49.2,20,"1.2",0.25660143115102
"318","Microcystis_aeruginosa",49.2,20,"1.1",0.275691510511239
"319","Microcystis_aeruginosa",49.2,25,"1.1",0.290333316596096
"320","Microcystis_aeruginosa",49.2,25,"1.2",0.290851090840951
"321","Microcystis_aeruginosa",49.2,30,"2.1",0.325934474901824
"322","Microcystis_aeruginosa",49.2,30,"2.2",0.347506497318184
"323","Microcystis_aeruginosa",49.2,35,"2.1",-0.0539340326641439
"324","Microcystis_aeruginosa",49.2,35,"2.2",0.215430597989207
"325","Microcystis_aeruginosa",77.3,15,"2.1",-0.173713468438413
"326","Microcystis_aeruginosa",77.3,15,"2.2",0.084266643371217
"327","Microcystis_aeruginosa",77.3,20,"2.3",0.259792066575995
"328","Microcystis_aeruginosa",77.3,20,"2.4",0.263694180492846
"329","Microcystis_aeruginosa",77.3,20,"1.2",0.222560835769238
"330","Microcystis_aeruginosa",77.3,20,"1.1",0.193961860944152
"331","Microcystis_aeruginosa",77.3,25,"1.1",0.230279008238928
"332","Microcystis_aeruginosa",77.3,25,"1.2",0.182811784473356
"333","Microcystis_aeruginosa",77.3,30,"2.1",0.349738065225359
"334","Microcystis_aeruginosa",77.3,30,"2.2",0.402159129672281
"335","Microcystis_aeruginosa",77.3,35,"2.1",-0.0192693359692399
"336","Microcystis_aeruginosa",77.3,35,"2.2",-0.043753312865661
"337","Microcystis_aeruginosa",105.5,15,"2.1",-0.182915070287891
"338","Microcystis_aeruginosa",105.5,15,"2.2",0.33512907148604
"339","Microcystis_aeruginosa",105.5,20,"2.3",0.260264698977294
"340","Microcystis_aeruginosa",105.5,20,"2.4",0.276227721700737
"341","Microcystis_aeruginosa",105.5,20,"1.2",0.127734672064236
"342","Microcystis_aeruginosa",105.5,20,"1.1",0.213081539480047
