"population","rep.ID","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"anc5","anc5.B08",10.0542285899246,8.71933954256519,1.74920508520126,21.5558609287363,0,1.55395098092882,1.54273108602598,1.30685687673351,1.85575115854861,0,4.94613088908585,1.24467399112307,10.7346157975766,0
"32","32.D08",12.5300956160914,12.02674539463,5.8248445407218,19.8138120160089,0,1.56456978741824,1.56003383433628,1.3970248077218,1.73419299430845,0,6.73737751324137,3.79690715009973,10.2491548243847,0
"33","33.E08",11.1826107791502,9.76926339380729,2.29932683810512,23.5429767949723,0,1.51590744771206,1.50618996219054,1.26129249273078,1.79420968247801,0,5.78410965094218,1.78241422497947,12.2643001939649,0
"14","14.F08",9.21652445322797,7.69204506751113,0.326437235611188,21.7810640195236,0,1.45900341226259,1.4473217560246,1.17243149246408,1.73618957123849,0,4.85856422595404,0.333596810646681,11.7198362951212,0
"17","17.B08",1.99939037766623,1.8516518039412,0.269888181305797,3.81848245202858,0,1.5458579550259,1.54424067253928,1.41893164657781,1.68437377020384,0,1.05749156191549,0.182736022288259,2.09293369773954,0
"2","2.C08",12.0814753931662,10.2136632290117,1.31198963515939,27.3980000677539,0,1.63756505852923,1.62478896516606,1.32374985323238,1.98418832922147,0,5.37647482978472,1.10501810672859,12.530184888177,0
"35","35.D08",5.20843007184186,4.93127657309737,1.69432796824189,8.70868561091452,0,1.48661385011002,1.4830808398656,1.34718430451794,1.62571718833171,0,2.9898901218439,1.28998769517336,5.05917679384873,0
"9","9.E08",9.56690131085126,8.27482024245237,1.3454419009473,20.8839175087752,0,1.57020851092559,1.56037594623661,1.30440410321585,1.83917064162524,0,4.64568577354126,1.14920563190459,10.3559281860839,0
"31","31.F08",6.41051971144275,5.63492500541065,0.95240439728307,13.9192947589685,0,1.50386259394442,1.4953709571611,1.29246784506205,1.75179517462683,0,3.36144763827906,0.741773299356151,7.32259405510644,0
"7","7.B08",13.6223932170203,12.7993421223723,4.62017261538025,23.1388409590415,0,1.59316946071011,1.58826517670473,1.3745852089852,1.7988726259755,0,6.96516833491229,3.63221662876123,11.8770509458855,0
"16","16.C08",5.53575192613069,4.94154671758023,0.799310341933272,10.866290342979,0,1.39093510497833,1.3853186552554,1.2033807131181,1.57361401396785,0,3.35151886118531,0.89139166974203,6.8396074791036,0
"20","20.D08",6.87641661171872,6.22708855329362,1.83224889227782,12.835190339073,0,1.31051720769215,1.30580835722339,1.15734223528335,1.48479310254579,0,4.68681024248071,1.71240786583308,8.80447191051885,0
"30","30.E08",2.77730191843463,2.62953692649041,1.04364480083848,4.83328129546609,0,1.40523352754042,1.40217535455749,1.29204128022671,1.52377718639967,0,1.75514097103311,0.760674445653467,3.03600347487597,0
"10","10.F08",5.94803831877621,5.33812922839747,1.05956925078988,11.8839772333053,0,1.39006808142483,1.38371482962661,1.20554934934079,1.58854819282782,0,3.62288463444576,1.12789384365013,7.53439233282248,0
"1","1.B09",14.7859141921765,12.9557518721575,1.59666697715581,31.9986381182365,0,1.61434294494162,1.60244864834913,1.29367420404323,1.96391029397485,0,6.94818084864384,1.65090999128156,15.032576571461,0
"6","6.C09",4.99968913063185,4.10028834902171,0.00907779954140645,11.6270386404487,0,1.46517410223716,1.45792117296239,1.23493330099653,1.70349025757805,0,2.57897578047039,0.158582148692333,6.4740475654845,0
"14","14.D09",10.0547319053976,9.24868013614547,2.87037816065581,18.3308254194969,0,1.51350915311791,1.50793975025646,1.29614279837533,1.72872029192182,0,5.47061828669209,2.24244411746271,10.0912192995154,0
"6","6.E09",7.68355386268699,5.52376321025809,0.0281735034346603,22.3383762911682,0,1.45760227892043,1.43912230133214,1.15571477720309,1.80893185652138,0,3.5221889492931,0.027732273836513,11.5559813516019,0
"26","26.B09",12.4967288123943,10.5418426637263,1.36532748469621,29.9375834357503,0,1.64858286115839,1.63056700319017,1.30098615452122,2.04639043206098,0,5.50979021466077,0.986160331445996,13.1423477389533,0
"21","21.C09",3.65469567842386,2.92828918787416,0.0114548786488498,8.76762195679014,0,1.65652008168598,1.64775611779634,1.41668692028386,1.90725488034025,0,1.51237150300182,0.0083251653996684,4.00039210979482,0
"31","31.D09",9.37530057478072,7.27173656199212,0.0678490484756464,24.8356329177715,0,1.55770063797256,1.54174892502035,1.22840808756098,1.90374271818841,0,4.18623910250829,0.243253199822119,11.9349944570907,0
"21","21.E09",5.14842076184294,4.60643940470998,0.648541760913478,10.1997498605157,0,1.59460387696368,1.58829595783728,1.39521290249732,1.79785281621052,0,2.50813796697054,0.622328835580858,5.16473116140938,0
"2","2.F09",9.6923786959303,8.20953497192437,0.560038156126826,22.1406767466433,0,1.58491472919542,1.57221776136093,1.30558946069996,1.90596657213828,0,4.53708189818361,0.787454328003823,10.7885043250396,0
"5","5.B09",21.614506637897,20.7881259063334,10.5014069436967,34.2806136034503,0,1.61169242732156,1.60632808742107,1.39689486161444,1.82471096510996,0,11.1243494834915,6.94834854813972,16.7196397850665,0
"30","30.C09",11.0136329909959,10.1302252080229,3.31396891133287,20.2548036364497,0,1.56895483912667,1.56051719741725,1.32586637590154,1.83308012839536,0,5.67368039969646,2.48629648650042,10.2370395351329,0
"3","3.D09",3.01256393925223,2.95159039320672,1.64085894626902,4.58583380432805,0,1.35230932130336,1.35161845287437,1.28134599760677,1.43045835593983,0,2.08834553566313,1.16637752764857,3.06492334079188,0
"20","20.E09",9.44749968934212,8.89482909332768,3.44051490054995,16.2008166084108,0,1.41498019624229,1.41254911259012,1.25190386121321,1.58178796046383,0,5.8345170251817,2.75708990200816,9.80688489606609,0
"3","3.F09",2.3032222909631,1.95218421406458,0.0208433594095291,5.06457592725079,0,1.41640854637911,1.41154171109481,1.24789985238119,1.60417692016021,0,1.28325573122739,0.000524601842391459,3.04795197279671,0
"23","23.C10",8.39370300985048,7.02362357611297,0.508450175682704,19.6820261308057,0,1.71043775987312,1.69786041236455,1.43604201324351,2.0515631178758,0,3.48190234796137,0.327808633829241,8.31386884555213,0
"19","19.D10",14.5128827024904,11.6495884412989,0.0119267207779332,37.1555450070044,0,1.69545547806554,1.67696712513301,1.17696613120552,2.23193932569436,0,5.86332539388819,0.0347695792469485,15.6413377301959,0
