"population","temp","well.ID","µ"
"anc4",40,"D04_86",0.471402134428142
"16",40,"E04_86",0.349782214245918
"29",40,"F04_86",0.479201708743833
"14",10,"B04_1",0.289833775354625
"32",10,"C04_1",0.392109774111743
"19",10,"D04_1",0.422415062576928
"6",10,"F04_1",0.321197534599934
"cc1690",10,"B04_11",0.405930265122005
"5",10,"C04_11",0.404643153544505
"anc4",10,"D04_11",0.447102481780924
"16",10,"E04_11",0.629294454043113
"29",10,"F04_11",0.336496851267311
"31",10,"B04_6",0.378325782925433
"35",10,"C04_6",0.44708173945108
"4",10,"D04_6",0.411638933637131
"2",10,"E04_6",0.156501056200853
"21",10,"F04_6",0.413747760320722
"8",16,"B05_16",0.783219020346725
"25",16,"C05_16",1.01417105450084
"33",16,"D05_16",0.990788746255973
"23",16,"E05_16",1.18100381462717
"anc5",16,"F05_16",1.12819927753073
"22",16,"B05_21",1.12605345753562
"28",16,"C05_21",1.11014022269796
"9",16,"D05_21",0.898342812868727
"anc2",16,"E05_21",1.27298548247475
"17",16,"F05_21",1.06649171143943
"16",16,"B05_26",1.12623536679139
"cc1690",16,"C05_26",0.824320479101264
"10",16,"D05_26",0.831406324224021
"cc1690",16,"E05_26",0.808068159634035
"anc3",16,"F05_26",1.09160368769307
"8",22,"B05_31",1.63936244715684
"25",22,"C05_31",2.27375419322505
"33",22,"D05_31",2.0923828824499
"23",22,"E05_31",2.43161528192574
"anc5",22,"F05_31",1.96631436569383
"22",22,"B05_36",2.36023182858771
"28",22,"C05_36",1.69930218548747
"9",22,"D05_36",2.23671055716713
"anc2",22,"E05_36",1.89476643326953
"17",22,"F05_36",2.07411247660125
"16",22,"B05_41",2.09848819503539
"cc1690",22,"C05_41",1.90900168829617
"10",22,"D05_41",1.75441166235501
"cc1690",22,"E05_41",1.82043819555408
"anc3",22,"F05_41",1.76647893986106
"8",28,"B05_46",3.00729575764095
"25",28,"C05_46",3.79016938839613
"33",28,"D05_46",2.9610332485335
"23",28,"E05_46",3.25121816948098
"anc5",28,"F05_46",3.6059431832489
"22",28,"B05_51",3.2684542042508
"28",28,"C05_51",3.39655101715983
"9",28,"D05_51",3.38478879911122
"anc2",28,"E05_51",2.92558534459079
"17",28,"F05_51",3.54951184994739
"16",28,"B05_56",3.14840746320911
"cc1690",28,"C05_56",3.155503831115
"10",28,"D05_56",3.02891889575456
"cc1690",28,"E05_56",3.09083847197067
"anc3",28,"F05_56",3.08833138302143
"8",34,"B05_61",4.29262852796874
"25",34,"C05_61",3.73013347092444
"33",34,"D05_61",4.12448598549236
"23",34,"E05_61",3.98030023167765
"anc5",34,"F05_61",4.48621090564843
