"","Species","dataset","r.max","T.br"
"99","Emiliania huxleyi clone M","Thomas et al., 2012",0.520099883257179,11.1405802655339
"100","Emiliania huxleyi R strain TQ26","Thomas et al., 2012",1.45152942173365,12.4644730516181
"101","Emiliania huxleyi strain B92/21","Thomas et al., 2012",0.943911902818426,16.7518577186241
"102","Emiliania huxleyi strain G1779Ga","Thomas et al., 2012",1.15638851324682,16.5745257755943
"103","Emiliania huxleyi strain M181, Bigelow 1A1","Thomas et al., 2012",1.02912947307775,12.6478690986114
"104","Emiliania huxleyi strain S. Africa","Thomas et al., 2012",0.877305273626642,14.0736461019726
"105","Emiliania huxleyi strain Van556","Thomas et al., 2012",0.760199252909342,27.2788949215743
"106","Eucampia zodiacus","Thomas et al., 2012",3.33778498290592,13.8082381579523
"107","Eutreptiella gymnastica","Thomas et al., 2012",1.52017052288557,18.2815054192727
"108","Fibrocapsa japonica","Thomas et al., 2012",0.483316178485689,20.8500846716703
"109","Fibrocapsa japonica strain CAWR-19","Thomas et al., 2012",0.29985919278773,20.1869623771091
"110","Fibrocapsa japonica strain CCRuG-C13","Thomas et al., 2012",0.412328654322094,15.7933861352493
"111","Fibrocapsa japonica strain CS-332","Thomas et al., 2012",0.327262071382779,15.0286619860294
"112","Fragilariopsis cylindrus","Thomas et al., 2012",0.505213587852353,11.4446338966449
"113","Fragilariopsis kerguelensis","Thomas et al., 2012",0.475784583071727,8.79957297797784
"114","Gephyrocapsa oceanica strain AB1, CAWPOT","Thomas et al., 2012",1.04824847569364,15.5633764382751
"115","Gephyrocapsa oceanica var. typica strain A4725","Thomas et al., 2012",1.23633931726346,14.0807975279775
"116","Gephyrocapsa oceanica var. typica strain A4727","Thomas et al., 2012",1.31676446610011,13.747383318411
"117","Gymnodinium aureolum","Thomas et al., 2012",0.413161127333373,11.2612297984813
"118","Gymnodinium catenatum","Thomas et al., 2012",0.390125627270755,11.6736277344641
"119","Gymnodinium catenatum strain GCCV-10","Thomas et al., 2012",0.204821407305844,16.6161269031522
"120","Gymnodinium corollarium clone GCTV-B4","Thomas et al., 2012",0.307572554918518,10.4297514172661
"121","Gymnodinium isolate 581 (probably G. simplex)","Thomas et al., 2012",0.77470241045009,11.3373669969665
"122","Gymnodinium isolate 582 (probably G. simplex)","Thomas et al., 2012",1.12213856198618,12.486239567676
"123","Helicotheca tamesis","Thomas et al., 2012",0.900820483108104,15.064996460252
"124","Heterocapsa rotundata","Thomas et al., 2012",1.26881403251341,21.67610994857
"125","Heterosigma akashiwo","Thomas et al., 2012",0.982417002773564,14.641892251229
"126","Isochrysis galbana clone T-ISO, NEPCC 601","Thomas et al., 2012",0.879918235702629,16.1476882655948
"127","Isochrysis sp. strain PS11","Thomas et al., 2012",0.446774488485347,20.0301094910952
"128","Karenia brevis strain APA","Thomas et al., 2012",0.200552768103614,13.5638948990861
"129","Karenia brevis strain MAN","Thomas et al., 2012",0.146330246001709,12.5255514501067
"130","Karenia mikimotoi","Thomas et al., 2012",0.645061537420621,12.6136239768414
"131","Karlodinium veneficum strain KT76E","Thomas et al., 2012",0.476950135898482,15.4661282060484
"132","Klebsormidium strain UMACC 227","Thomas et al., 2012",0.207631531438135,24.2908021576152
"133","Leonella granifera strain GeoB*38","Thomas et al., 2012",0.188708942810284,13.9969820877869
"134","Leonella granifera strain GeoB*39","Thomas et al., 2012",0.41100964255536,10.5365042184997
"135","Leptocylindrus danicus","Thomas et al., 2012",1.38011695796108,12.8189529689766
"136","Men. 5 (Diatom)","Thomas et al., 2012",1.66059179492804,17.7095989582844
"137","Micromonas pusilla","Thomas et al., 2012",2.57032368961675,22.3840287814714
"138","Micromonas sp. strain CCMP2099","Thomas et al., 2012",0.519933078453941,14.8348019495638
"139","N-fixing unicellular cyanobacterium strain A 2.5","Thomas et al., 2012",1.28834507071399,4.5980983786134
"140","N-fixing unicellular cyanobacterium strain P-3","Thomas et al., 2012",1.12213378025216,4.7186157859024
"141","N-fixing unicellular cyanobacterium strain P-7","Thomas et al., 2012",0.363925645406431,4.3173774490957
"142","Nannochloris (possibly Stichococcus) sp.","Thomas et al., 2012",2.99706608526932,18.9956617792608
"143","Neoceratium furca","Thomas et al., 2012",0.560205365481702,14.0079713687853
"144","Neoceratium furca","Thomas et al., 2012",0.24761287796042,12.7202241626519
"145","Neoceratium fusus","Thomas et al., 2012",0.457884699269762,13.7480735862851
"146","Neoceratium fusus","Thomas et al., 2012",0.186832375749349,15.5484517206522
