"population","rep.ID","Parameter","mean","Rhat","n.eff"
"31","31.D06","tmax",40.5926980611853,1.00090840835953,6000
"18","18.E06","a",0.055416122178551,1.00464164577861,6000
"18","18.E06","b",-1.28513737302665,1.00059070411149,6000
"18","18.E06","d.t",4.65445962563201,1.00083396525789,6000
"18","18.E06","tmax",41.9004345759982,1.00105721104296,6000
"22","22.F06","a",0.0554688441244357,1.03333774750152,3700
"22","22.F06","b",-1.31299899104618,1.00081914433549,6000
"22","22.F06","d.t",3.85466023504814,1.00195092849266,2800
"22","22.F06","tmax",40.8595701473984,1.00134745439174,4100
"20","20.B06","a",0.0505242626707354,1.05495634273357,6000
"20","20.B06","b",-1.26274560814107,1.00141685490418,3800
"20","20.B06","d.t",2.54216939763696,1.00061234075252,6000
"20","20.B06","tmax",40.6843582705747,1.00148012115918,4800
"anc3","anc3.C06","a",0.0543762463290037,1.00314449181051,5700
"anc3","anc3.C06","b",-1.34601050308527,1.00185068445286,2600
"anc3","anc3.C06","d.t",3.80993487171202,1.00111572778271,5700
"anc3","anc3.C06","tmax",41.0332583156242,1.00087554392172,6000
"5","5.D06","a",0.0536005348378048,1.00481649285265,4100
"5","5.D06","b",-1.42117589791501,1.00217557392926,2100
"5","5.D06","d.t",3.64504558061727,1.00150972000014,3500
"5","5.D06","tmax",40.9644823044459,1.00138649479107,3900
"29","29.E06","a",0.0539321580538708,1.00076726542946,6000
"29","29.E06","b",-1.26086325895725,1.00069458761868,6000
"29","29.E06","d.t",3.92304715457677,1.00121572287747,4900
"29","29.E06","tmax",41.1756050455032,1.00118820340826,5100
"anc4","anc4.F06","a",0.0575236492797123,1.00469683016633,5500
"anc4","anc4.F06","b",-1.27403405211535,1.00192878678319,2500
"anc4","anc4.F06","d.t",4.61469674176526,1.00122682162977,4800
"anc4","anc4.F06","tmax",41.2015150565662,1.00175352586414,2800
"11","11.B07","a",0.0555047426543041,1.01145004206582,5200
"11","11.B07","b",-1.48075651691458,1.0011626542572,5300
"11","11.B07","d.t",3.59827170369216,1.0010730297088,6000
"11","11.B07","tmax",41.0465871931627,1.00172405133828,2900
"11","11.C07","a",0.0554694361217368,1.00302809801453,5800
"11","11.C07","b",-1.40369684959658,1.00103228161097,6000
"11","11.C07","d.t",3.97876475945422,1.00074044469232,6000
"11","11.C07","tmax",41.1330127606267,1.00117909763513,5100
"32","32.D07","a",0.0520092386112119,1.01152196446761,6000
"32","32.D07","b",-1.22744667835515,1.0008727035006,6000
"32","32.D07","d.t",2.33086756046656,1.00086143031734,6000
"32","32.D07","tmax",40.773247837903,1.00148920712297,3500
"anc5","anc5.E07","a",0.0560816827166957,1.02168409822693,4500
"anc5","anc5.E07","b",-1.41557263551657,1.00062714759803,6000
"anc5","anc5.E07","d.t",2.32879451189775,1.00100204399638,6000
"anc5","anc5.E07","tmax",40.7711407065515,1.0016458319313,3100
"32","32.F07","a",0.0514518785213473,1.00817261984517,4100
"32","32.F07","b",-1.1847798300708,1.00189417594289,3300
"32","32.F07","d.t",2.48645439591175,1.0015188367699,3400
"32","32.F07","tmax",40.5820060898171,1.00212535588721,3000
"27","27.B07","a",0.0423532787168576,1.00347478202282,6000
"27","27.B07","b",-0.900169674710902,1.0009691073584,6000
"27","27.B07","d.t",4.41907257427751,1.00105742137102,6000
