"population","rep.ID","Parameter","mean","Rhat","n.eff"
"32","32.C04","K_s",2.3578477564417,1.00094533272456,6000
"32","32.C04","deviance",-0.00197800652989414,1.00062377522657,6000
"32","32.C04","r_max",1.7079974451423,1.00069342483564,6000
"19","19.D04","K_s",1.40405686451978,1.00072173073263,6000
"19","19.D04","deviance",-3.13179154564322,1.00071030179246,6000
"19","19.D04","r_max",1.53887648899659,1.00082182016552,6000
"6","6.F04","K_s",0.445128796814861,1.00069302091928,6000
"6","6.F04","deviance",-6.76585524575002,1.00204858889698,2500
"6","6.F04","r_max",1.44377390417179,1.00100179118416,6000
"31","31.B04","K_s",2.05531364006819,1.0026348161239,1600
"31","31.B04","deviance",-6.98908869798178,1.00141018809612,3800
"31","31.B04","r_max",1.58544809283119,1.00210756789639,2200
"35","35.C04","K_s",0.534173942045102,1.00079745583029,6000
"35","35.C04","deviance",-4.46725919867824,1.00150414446316,5800
"35","35.C04","r_max",1.40589221105575,1.00112442471825,5600
"4","4.D04","K_s",1.41776350229221,1.00079944921064,6000
"4","4.D04","deviance",-8.32238762394764,1.00086095330849,6000
"4","4.D04","r_max",1.52566194954663,1.00124440781032,4700
"2","2.E04","K_s",1.13529091962629,1.00099173824517,6000
"2","2.E04","deviance",7.61521758756871,1.00056457006545,6000
"2","2.E04","r_max",1.61515666312215,1.00131996652244,4300
"21","21.F04","K_s",0.615823686100148,1.00097733244928,6000
"21","21.F04","deviance",-18.1661807185117,1.00175884591619,4600
"21","21.F04","r_max",1.42990576290054,1.00094666596294,6000
"cc1690","cc1690.B04","K_s",1.10396323132405,1.00071019056445,6000
"cc1690","cc1690.B04","deviance",-14.3498298650633,1.00081149221029,6000
"cc1690","cc1690.B04","r_max",1.44817134321725,1.00055390545742,6000
"5","5.C04","K_s",1.52564928264947,1.00083517324543,6000
"5","5.C04","deviance",-8.71413681927191,1.00120242623126,5000
"5","5.C04","r_max",1.51901149748515,1.00083652843419,6000
"anc4","anc4.D04","K_s",1.04855146380851,1.00090952358219,6000
"anc4","anc4.D04","deviance",-13.7208385075332,1.00145351550363,3700
"anc4","anc4.D04","r_max",1.36508028046446,1.00063006862028,6000
"16","16.E04","K_s",1.17777168280088,1.00118434408204,5100
"16","16.E04","deviance",-8.31393128528901,1.00086915788048,6000
"16","16.E04","r_max",1.54928848283032,1.00089579543999,6000
"29","29.F04","K_s",0.688662760837459,1.00125170020373,4600
"29","29.F04","deviance",-9.92382303367881,1.00131020287107,4300
"29","29.F04","r_max",1.39768532159919,1.00169676844726,2900
"8","8.B05","K_s",0.938427978314032,1.00097136725884,6000
"8","8.B05","deviance",-21.7001697112767,1.0008849472608,6000
"8","8.B05","r_max",1.606648933675,1.00091866707037,6000
"25","25.C05","K_s",0.899253680318374,1.00063894426371,6000
"25","25.C05","deviance",-9.32844452033151,1.00148800982993,3500
"25","25.C05","r_max",1.59825763376379,1.00086674577951,6000
"33","33.D05","K_s",2.00554841217174,1.00137414032877,4000
"33","33.D05","deviance",-5.82886599110597,1.00082435998846,6000
"33","33.D05","r_max",1.57118574462873,1.00072936535877,6000
"23","23.E05","K_s",2.13614094425131,1.00107740071608,6000
"23","23.E05","deviance",-11.8232338846218,1.00087055730344,6000
"23","23.E05","r_max",1.56109999055273,1.00158007264453,3200
"anc5","anc5.F05","K_s",0.572952929297576,1.00108413071748,6000
"anc5","anc5.F05","deviance",-10.3483751329495,1.00138080109902,4000
"anc5","anc5.F05","r_max",1.55918021792138,1.00079594809154,6000
"22","22.B05","K_s",6.06688083217007,1.00163233133194,4100
"22","22.B05","deviance",17.0140224896434,1.00090085063653,6000
"22","22.B05","r_max",1.62353451146624,1.0025332902805,6000
