ancestor_id,treatment,population,umax,ks,rstar,anc_rstar_mean,change_rstar,treatment_code,change_rstar_mean,change_rstar_lower,change_rstar_upper
anc5,N,30,1.3192329760182235,0.4864386653801205,0.35879059684879794,0.9637800419678743,-0.6049894451190763,N,-0.6090790452254191,-0.6961623912483971,-0.528905118049161
anc5,P,28,1.507090476026786,0.8024342273737306,0.4744669899062316,0.9637800419678743,-0.48931305206164266,P,-0.4808979731259532,-0.5631497827453414,-0.4049287679674663
anc5,S,18,1.303998589903242,0.6023455903863465,0.45337926065185435,0.9637800419678743,-0.5104007813160198,S,-0.5075807634188858,-0.6055218819478893,-0.3997566886172538
anc5,none,anc5,1.6779037292072234,1.9239523268774654,0.9637800419678743,0.9637800419678743,0.0,none,-1.0554664737647988e-17,-0.058970197752556,0.0592151500189652
cc1690,B,31,1.3981656926862116,0.9777259971965349,0.6532438194592629,0.9855534557527126,-0.3323096362934497,B,-0.3223152996666147,-0.458814127341322,-0.2022519891750589
cc1690,BS,9,1.3562978483141424,1.4590798005808818,1.0261043528563587,0.9855534557527126,0.04055089710364612,BS,0.0429067688621512,-0.3038493497639534,0.3932929465700645
cc1690,C,22,1.5408588161781245,2.1786125604198405,1.2438314400729757,0.9855534557527126,0.25827798432026317,C,0.2989387661061997,0.0509742502571249,0.5889702810960197
cc1690,L,33,1.5744164969096888,1.5228393730200014,0.8406705248673838,0.9855534557527126,-0.14488293088532878,L,-0.1398870518713714,-0.2317430804882472,-0.0485911643079057
cc1690,N,3,1.525872738498247,1.0152972455598812,0.5886556632683815,0.9855534557527126,-0.3968977924843311,N,-0.3904941143308398,-0.6166573932612645,-0.181007336494321
cc1690,P,6,1.449350973799259,0.5427351995105354,0.3417455208122392,0.9855534557527126,-0.6438079349404734,P,-0.6379853093489325,-0.7039681191738644,-0.5642773589042352
cc1690,S,32,1.4674359659252612,1.09746689697839,0.6772725408577392,0.9855534557527126,-0.30828091489497333,S,-0.3102281832704616,-0.4212014329985591,-0.1971058292490201
cc1690,none,cc1690,1.5687279068497582,1.7752772759106774,0.9855534557527126,0.9855534557527126,0.0,none,1.578434789969541e-17,-0.0635485936029786,0.0583953430105903
