ancestor_id,treatment,population,umax_rep,ks_rep,rstar,anc_rstar_mean,change_rstar,umax_jb,ks_jb,rstar_056,change_rstar_jb_pt
anc5,L,23,1.3906567722818863,0.8145862450438863,0.5491658076433212,0.9637800419678743,-0.414614234324553,1.3965107836078072,0.8081475697098656,0.5410123191546398,-0.42247643619475594
anc5,N,30,1.3192329760182235,0.4864386653801205,0.35879059684879794,0.9637800419678743,-0.6049894451190763,1.3255651345027386,0.4823334757487426,0.3528200727097371,-0.6106686826396586
anc5,P,28,1.507090476026786,0.8024342273737306,0.4744669899062316,0.9637800419678743,-0.48931305206164266,1.498414934416791,0.8067951034269079,0.4814557413239143,-0.48203301402548143
anc5,S,18,1.303998589903242,0.6023455903863465,0.45337926065185435,0.9637800419678743,-0.5104007813160198,1.3038619144134498,0.6024541051540878,0.4535442564663574,-0.5099444988830384
anc5,none,anc5,1.6779037292072234,1.9239523268774654,0.9637800419678743,0.9637800419678743,0.0,1.678129644153919,1.9237595342234324,0.9634887553493957,0.0
cc1690,B,31,1.3981656926862116,0.9777259971965349,0.6532438194592629,0.9855534557527126,-0.3323096362934497,1.3969357338679276,0.9793920918285738,0.6553186215257848,-0.32608003284219667
cc1690,BS,9,1.3562978483141424,1.4590798005808818,1.0261043528563587,0.9855534557527126,0.04055089710364612,1.3560830738408194,1.4589126743261078,1.0262636205552358,0.04486496618725433
cc1690,C,22,1.5408588161781245,2.1786125604198405,1.2438314400729757,0.9855534557527126,0.25827798432026317,1.5267221986756632,2.19956340697301,1.274156639407162,0.2927579850391805
cc1690,L,33,1.5744164969096888,1.5228393730200014,0.8406705248673838,0.9855534557527126,-0.14488293088532878,1.5734106406214792,1.524088638928291,0.8421952598370551,-0.13920339453092634
cc1690,N,3,1.525872738498247,1.0152972455598812,0.5886556632683815,0.9855534557527126,-0.3968977924843311,1.5237383882990532,1.018560050197312,0.5918552534959296,-0.38954340087205186
cc1690,P,6,1.449350973799259,0.5427351995105354,0.3417455208122392,0.9855534557527126,-0.6438079349404734,1.445996635090064,0.5447002453888133,0.3442813723403455,-0.637117282027636
cc1690,S,32,1.4674359659252612,1.09746689697839,0.6772725408577392,0.9855534557527126,-0.30828091489497333,1.4711310009010672,1.0962361378779293,0.6737694542327382,-0.3076292001352433
cc1690,none,cc1690,1.5687279068497582,1.7752772759106774,0.9855534557527126,0.9855534557527126,0.0,1.572063315123126,1.7736385278518465,0.9813986543679815,0.0
