"population","salt","pop.ID","µ"
"25",2,"25.2",1.49068040769652
"Anc 4",2,"Anc 4.2",1.16870837741925
"15",3,"15.3",0.760647780371079
"cc1690",3,"cc1690.3",0.543366450320738
"Anc 3",3,"Anc 3.3",0.79665833976448
"27",3,"27.3",0.627133631360942
"28",3,"28.3",0.657225747650121
"25",3,"25.3",1.32338834808133
"Anc 4",3,"Anc 4.3",0.60347722374522
"15",4,"15.4",1.0480568816924
"cc1690",4,"cc1690.4",0.287169765861695
"Anc 3",4,"Anc 3.4",0.328451575804459
"27",4,"27.4",0.181521319976324
"28",4,"28.4",0.325710498033726
"25",4,"25.4",1.30817535700923
"Anc 4",4,"Anc 4.4",0.483882514128939
"15",5,"15.5",1.13988447279622
"cc1690",5,"cc1690.5",0.116367089738418
"Anc 3",5,"Anc 3.5",0.29454126170889
"27",5,"27.5",-0.0418470890646742
"28",5,"28.5",0.285977758192328
"25",5,"25.5",0.743948720610114
"Anc 4",5,"Anc 4.5",0.342216424049448
"15",6,"15.6",1.02186699709239
"cc1690",6,"cc1690.6",-0.0682915529913662
"Anc 3",6,"Anc 3.6",-0.0336297154789152
"27",6,"27.6",0.0207885930735918
"28",6,"28.6",0.0685154623291848
"25",6,"25.6",0.987236487397536
"Anc 4",6,"Anc 4.6",-0.0834979887635355
"15",7,"15.7",0.814662222923554
"cc1690",7,"cc1690.7",-0.0900094580425853
"Anc 3",7,"Anc 3.7",-0.114171767224654
"27",7,"27.7",-0.101874128802789
"28",7,"28.7",0.00084411608515822
"25",7,"25.7",0.45691421527257
"Anc 4",7,"Anc 4.7",0.0145859203918022
"15",8,"15.8",0.782480673712641
"cc1690",8,"cc1690.8",-0.32135613978405
"Anc 3",8,"Anc 3.8",-0.20476649154602
"27",8,"27.8",0.103656442060154
"28",8,"28.8",0.0582035630647452
"25",8,"25.8",-0.236727612206315
"Anc 4",8,"Anc 4.8",-0.0368187483062373
"15",9,"15.9",0.762405022530377
"cc1690",9,"cc1690.9",-0.338351131599268
"Anc 3",9,"Anc 3.9",-0.211131884198851
"27",9,"27.9",-0.15666924158035
"28",9,"28.9",0.0834225771982471
"25",9,"25.9",-0.352601214111759
"Anc 4",9,"Anc 4.9",0
"8",0,"8.0",1.38476718645386
"31",0,"31.0",1.53727009326498
"4",0,"4.0",1.21710720758583
"Anc 2",0,"Anc 2.0",1.30704905246938
