"","population","population.number","nitrate.lvl","well.ID","r.exp"
"213","16",6,40,"B05_12",1.01283789037928
"214","16",6,40,"C08_12",1.24108385978952
"215","16",6,40,"E04_12",0.626716196252712
"216","16",6,40,"E11_12",0.897739611654332
"217","16",6,60,"B05_15",1.21446165989176
"218","16",6,60,"C08_15",0.871885519917748
"219","16",6,60,"E04_15",1.14712946264115
"220","16",6,60,"E11_15",1.22343235651533
"221","16",6,80,"B05_18",1.40174865354764
"222","16",6,80,"C08_18",1.23960761254163
"223","16",6,80,"E04_18",1.17651939786393
"224","16",6,80,"E11_18",1.31458914468768
"225","16",6,100,"B05_21",1.76971800916265
"226","16",6,100,"C08_21",0.866246262196074
"227","16",6,100,"E04_21",1.71818788826397
"228","16",6,100,"E11_21",1.64887016351475
"229","16",6,400,"B05_24",1.89136456506809
"230","16",6,400,"C08_24",1.30240852942409
"231","16",6,400,"E04_24",1.51951133830567
"232","16",6,400,"E11_24",1.43965231873221
"233","16",6,600,"B05_27",1.23835707744867
"234","16",6,600,"C08_27",1.00482620625847
"235","16",6,600,"E04_27",1.54101346587738
"236","16",6,600,"E11_27",1.28061545500034
"237","16",6,1000,"B05_30",1.37911418702046
"238","16",6,1000,"C08_30",1.28031810280005
"239","16",6,1000,"E04_30",1.4950109040686
"240","16",6,1000,"E11_30",1.34081635273071
"241","17",7,5,"B08_2",1.05907578291642
"242","17",7,5,"C11_2",1.15906950319285
"243","17",7,5,"E07_2",1.34086151194497
"244","17",7,5,"F05_2",1.53972251233952
"245","17",7,10,"B08_5",1.60634758399814
"246","17",7,10,"C11_5",0.808416377772825
"247","17",7,10,"E07_5",0.906111571357261
"248","17",7,10,"F05_5",0.906111571465764
"249","17",7,20,"B08_8",1.30263417484012
"250","17",7,20,"C11_8",1.64214667649456
"251","17",7,20,"E07_8",1.22186988247474
"252","17",7,20,"F05_8",1.58014974175193
"253","17",7,40,"B08_11",1.11521712370589
"254","17",7,40,"C11_11",0.956225773945314
"255","17",7,40,"E07_11",1.38279731488165
"256","17",7,40,"F05_11",1.50322314200462
"257","17",7,60,"B08_14",1.30563177139413
"258","17",7,60,"C11_14",1.82792044512834
"259","17",7,60,"E07_14",1.66798403586968
"260","17",7,60,"F05_14",1.59914159659634
"261","17",7,80,"B08_17",1.73192497737471
"262","17",7,80,"C11_17",1.52043756294467
"263","17",7,80,"E07_17",1.63254894428948
"264","17",7,80,"F05_17",1.5903408420298
"265","17",7,100,"B08_20",1.32936611966261
"266","17",7,100,"C11_20",1.42446657507193
"267","17",7,100,"E07_20",1.24741406086015
"268","17",7,100,"F05_20",1.54640172332066
"269","17",7,400,"B08_23",1.33086527094358
"270","17",7,400,"C11_23",1.67008295047116
"271","17",7,400,"E07_23",1.65498249725994
"272","17",7,400,"F05_23",1.56994455000408
"273","17",7,600,"B08_26",1.2892823051555
"274","17",7,600,"C11_26",1.53769302432405
"275","17",7,600,"E07_26",1.27592024830762
"276","17",7,600,"F05_26",1.27886522281836
"277","17",7,1000,"B08_29",1.33153723091816
"278","17",7,1000,"C11_29",1.28901720194203
"279","17",7,1000,"E07_29",1.55895242051221
"280","17",7,1000,"F05_29",1.35645123532296
"281","18",8,5,"B11_2",0.426544858838386
"282","18",8,5,"D02_2",0.880313377889744
"283","18",8,5,"E06_2",0.789771410483243
"284","18",8,5,"E11_2",1.23346836968454
"285","18",8,10,"B11_5",1.09663322026163
"286","18",8,10,"D02_5",1.01906310314494
"287","18",8,10,"E06_5",0.599600805850498
"288","18",8,10,"E11_5",1.64891148241599
"289","18",8,20,"B11_8",1.0235217645088
"290","18",8,20,"D02_8",1.02432089590062
"291","18",8,20,"E06_8",0.962376489607221
"292","18",8,20,"E11_8",0.794280426966124
"293","18",8,40,"B11_11",1.08923646362647
"294","18",8,40,"D02_11",1.17077992656069
"295","18",8,40,"E06_11",1.07193749578144
"296","18",8,40,"E11_11",1.08093874778701
"297","18",8,60,"B11_14",1.17456882357236
"298","18",8,60,"D02_14",1.15558471440501
"299","18",8,60,"E06_14",0.683133341222141
"300","18",8,60,"E11_14",1.2053922242871
"301","18",8,80,"B11_17",1.51407815259856
"302","18",8,80,"D02_17",1.50220890363278
"303","18",8,80,"E06_17",1.57593310036059
"304","18",8,80,"E11_17",1.46158930238949
"305","18",8,100,"B11_20",1.4316696944742
"306","18",8,100,"D02_20",1.27660537228754
"307","18",8,100,"E06_20",1.66024014889638
"308","18",8,100,"E11_20",1.53269295218973
"309","18",8,400,"B11_23",1.48180213354758
"310","18",8,400,"D02_23",1.90605151019012
"311","18",8,400,"E06_23",1.68616119593198
"312","18",8,400,"E11_23",1.36872929935776
"313","18",8,600,"B11_26",1.51890117007991
"314","18",8,600,"D02_26",1.61592985930957
"315","18",8,600,"E06_26",1.32569194770134
"316","18",8,600,"E11_26",1.29111199144667
"317","18",8,1000,"B11_29",1.18437098077053
"318","18",8,1000,"D02_29",1.41998891361239
"319","18",8,1000,"E06_29",1.3574350065365
"320","18",8,1000,"E11_29",1.23358507321385
"321","19",9,5,"B03_1",0.546587520371249
"322","19",9,5,"D04_1",0.753652498196411
"323","19",9,5,"D10_1",0.655272314010679
"324","19",9,5,"F03_1",0.79242211018644
"325","19",9,10,"B03_4",0.965163966033997
"326","19",9,10,"D04_4",0.949227557131761
"327","19",9,10,"D10_4",0.702892324731846
"328","19",9,10,"F03_4",0.731645714320585
"329","19",9,20,"B03_7",0.782893316540727
"330","19",9,20,"D04_7",1.08698560523425
"331","19",9,20,"D10_7",1.06255168321692
"332","19",9,20,"F03_7",1.20172401726456
"333","19",9,40,"B03_10",1.02512075519423
"334","19",9,40,"D04_10",0.726161004509367
"335","19",9,40,"D10_10",0.914854671006811
"336","19",9,40,"F03_10",0.990969295493781
"337","19",9,60,"B03_13",1.16592771018521
"338","19",9,60,"D04_13",0.958609367593701
"339","19",9,60,"D10_13",2.53085068308726
"340","19",9,60,"F03_13",1.06551494250389
"341","19",9,80,"B03_16",1.3288935428123
"342","19",9,80,"D04_16",0.594625345170455
"343","19",9,80,"D10_16",1.45034707958812
"344","19",9,80,"F03_16",1.66953274587081
"345","19",9,100,"B03_19",1.49304340572489
"346","19",9,100,"D04_19",1.6722982723477
"347","19",9,100,"D10_19",1.37168215326739
"348","19",9,100,"F03_19",1.52651631078649
"349","19",9,400,"B03_22",1.65113640343163
"350","19",9,400,"D04_22",1.46387221093593
"351","19",9,400,"D10_22",1.26316230376237
"352","19",9,400,"F03_22",1.67896260063301
"353","19",9,600,"B03_25",1.27817802428236
"354","19",9,600,"D04_25",1.48978349192455
"355","19",9,600,"D10_25",1.2520396445927
"356","19",9,600,"F03_25",1.05879095647868
"357","19",9,1000,"B03_28",1.29084150763643
"358","19",9,1000,"D04_28",1.22212682072389
"359","19",9,1000,"D10_28",0.778251338687476
"360","19",9,1000,"F03_28",1.50139946584505
"361","2",10,5,"B10_2",0.727107887960846
"362","2",10,5,"C08_2",0.737582014738029
"363","2",10,5,"E04_2",0.516754344429355
"364","2",10,5,"F09_2",0.779159907319291
"365","2",10,10,"B10_5",0.760563291447459
"366","2",10,10,"C08_5",0.818194043784571
"367","2",10,10,"E04_5",0.833794009037145
"368","2",10,10,"F09_5",0.896204407775351
"369","2",10,20,"B10_8",0.91512562298963
"370","2",10,20,"C08_8",1.57473839037346
"371","2",10,20,"E04_8",0.61239125055446
"372","2",10,20,"F09_8",1.88809285634772
"373","2",10,40,"B10_11",1.08856044695062
"374","2",10,40,"C08_11",1.09039001637845
"375","2",10,40,"E04_11",1.20298517933797
"376","2",10,40,"F09_11",1.22972316669144
"377","2",10,60,"B10_14",1.07412412009496
