pops,temp,well.rep,r.log,r.log.cln,r.exp.ln,r.exp.log,r.40.ln
27,16,C07_21,2.0001264792853304,2.0057684412647183,0.28277745299325147,-1.7788009401643798,NA
27,16,D11_21,1.7179099246248346,1.7179099240441973,0.22786275248211638,0.3074961736334734,NA
27,16,G02_21,2.329873118353469,2.337869245685501,0.3573905193333849,0.5606815843841243,NA
27,22,B07_36,0.941710149725975,1.0149523719809044,2.040398012353875,2.3592068850984256,NA
27,22,C07_36,0.8712130608239135,0.9649930272268759,2.3033188150083626,3.0937528868185478,NA
27,22,D11_36,0.9787363293518363,0.9787359730683619,2.101867568761346,3.1977597704140686,NA
27,22,G02_36,0.9418253018851158,1.053467043563008,1.9193857513354253,3.2355713724224153,NA
27,28,B07_51,0.7839967707014173,0.7522701622105553,3.0180427458101224,3.164114153930482,NA
27,28,C07_51,0.7614470644356102,0.7614470536136889,2.86761892183087,3.2384696262738752,NA
27,28,D11_51,1.1374373270336353,1.1374370695230078,2.8779660433092946,3.233991390801971,NA
27,28,G02_51,0.7301071180489174,0.7468486024866005,2.2348372556608624,2.5448406766385094,NA
27,34,B07_66,1.2077277797202917,1.2077258790179706,2.1618026923769147,3.0429943794103513,NA
27,34,C07_66,1.115098002523581,1.1150984168546112,2.4365827115427563,3.7337921166737917,NA
27,34,D11_66,0.8341186924883045,0.8727464472136899,3.0612105752446612,5.5659004200056845,NA
27,34,G02_66,0.7851556389668504,0.7851556396028925,3.3693999318169134,3.5821149966053993,NA
27,40,B07_81,-11.612667102757621,-12.300559323450805,-0.08775949640950402,NA,3.3885241116488247
27,40,C07_81,-3.8898280714170275,-3.889713436555501,0.12857944442957908,NA,3.3885241116488247
27,40,D11_81,-1.012434030164721,-1.0123371725960817,-0.10096719659319296,NA,3.3885241116488247
27,40,G02_81,-6.867995216321878,-8.75137316011527,-0.49559595005535767,NA,3.3885241116488247
27,10,B07_6,0.7318593125345796,0.7318593130614179,0.31696913686353895,0.4332697037621571,NA
27,10,C07_6,0.5497815041003413,0.549781504783028,0.331065880999344,0.40658447286360794,NA
27,10,D11_6,0.4809908776731431,0.48099087659265244,0.2998566466631326,0.377224629669466,NA
27,10,G02_6,0.6221576582511498,0.622157602310976,0.498376371856391,0.6160771913351365,NA
15,16,B02_26,1.719597317595666,2.368262055548561,0.7589785232008709,1.3421729073183746,NA
15,16,C11_26,1.0878710216101255,1.0878715442041047,1.002255279250564,2.2740912016864256,NA
15,16,E07_26,0.9471342806896563,1.1799506057017606,1.1270803769129258,2.2355799048208675,NA
15,16,F02_26,1.1166846460715432,1.1166844894293888,0.8919949428936798,1.4625913057280435,NA
15,22,B02_41,0.5672145815847943,0.5672163358455807,2.121277826591668,4.931223608776082,NA
15,22,C11_41,0.703911283443532,0.7039112410564944,2.2503877031259094,4.170935701561788,NA
15,22,E07_41,0.5941325976889689,0.5941336698557564,2.1618336832834326,4.342256315727506,NA
15,22,F02_41,0.6751819353424044,0.675181443506013,2.2762394184735357,4.256950331057158,NA
15,28,B02_56,1.0910210661315654,1.0754321729125935,3.7390801620362644,5.86508659064492,NA
15,28,C11_56,1.5261165259186205,1.615781542927037,3.2595452448704583,4.785486967746141,NA
15,28,E07_56,1.507143818724404,1.5811946448174852,3.645911064157248,4.07842012071822,NA
15,28,F02_56,1.0161722782090916,1.0161723003293994,3.227095093062915,3.638737975771796,NA
15,34,B02_71,2.01530671752612,2.0153088423217143,4.661981908946294,5.559505079565,NA
15,34,C11_71,2.356865035100887,2.3568654413426087,4.161199833400831,6.500511464851844,NA
15,34,E07_71,0.9205166237783546,0.9205171015405617,4.059381681839773,5.825290101053904,NA
15,34,F02_71,1.2139759690123926,1.2139765583459745,3.813314301422144,6.127541561598185,NA
15,40,B02_86,8.0667035563629,8.135779061558548,-0.908611226477083,NA,3.3885241116488247
15,40,C11_86,8.287708591608595,8.650726363880494,-0.865606532972448,NA,3.3885241116488247
15,40,E07_86,13.590613970677847,8.614163393034012,-1.5352133677096516,NA,3.3885241116488247
15,40,F02_86,-6.493365985306032,-5.207341734269638,-0.855588252770183,NA,3.3885241116488247
15,10,B02_11,1.1916496859706007,1.1916500987163312,0.5675001987604714,0.7364961630051414,NA
15,10,C11_11,1.2573634118935766,1.2573640496357263,0.4761812027997478,0.6733582761282904,NA
15,10,E07_11,1.629260702480752,1.6292205498580523,0.4786997725573122,0.587743707634056,NA
15,10,F02_11,1.7781698189984163,1.778184818090551,0.5551668969978416,1.0128358043778392,NA
10,16,C02_26,1.0947000934334914,1.0947002042099558,0.8817408568737622,1.7934018763988973,NA
10,16,D05_26,1.0764914341218395,1.2484718389587373,0.9444966141839339,2.119392632230457,NA
10,16,D11_26,1.067592284693802,1.0675918204673227,0.8906964569350144,1.8718279596985894,NA
10,16,F08_26,0.9880364849340387,0.9880366618691948,0.9751553414806328,1.8561400597153748,NA
10,22,C02_41,0.9110519450886242,0.9433925492677002,1.8846525526486297,3.2095409596951265,NA
10,22,D05_41,0.8263237028149716,0.8397933022632713,1.9807462810660204,3.2326328144077396,NA
10,22,D11_41,0.8033204106188384,0.8033202824542356,1.9503431927855834,2.69724756248647,NA
10,22,F08_41,0.8045526689710643,0.8045527854023713,2.1288544225586126,3.2724063526754197,NA
10,28,C02_56,1.1269132973438956,1.2228345127239117,2.7346958966853676,3.729669678747601,NA
10,28,D05_56,1.4575388600877337,1.1972815958603755,3.124333009650366,4.907146997685222,NA
10,28,D11_56,1.500691041982671,1.3746037663092538,2.8193917408120184,3.0305347524557655,NA
10,28,F08_56,1.25351812128353,1.189034874602942,2.761490927426928,3.4179697920610597,NA
10,34,C02_71,1.6141635772223848,1.6141452800994305,3.592394564467545,5.651014017565203,NA
10,34,D05_71,1.1459895203018382,1.1124770039609044,4.026598672459546,5.666714851319781,NA
10,34,D11_71,1.281718255110096,1.2817181582941632,4.052060922171673,4.971637411444895,NA
10,34,F08_71,1.1535803151353756,1.1535782000343262,3.784272620185966,8.245427937951796,NA
10,40,C02_86,8.184922590165016,7.9695149147132485,-0.5412740439450286,NA,3.3885241116488247
10,40,D05_86,-5.338205307491535,-5.011367983408007,-0.4956421725079037,NA,3.3885241116488247
10,40,D11_86,-5.801311957090931,-5.597548059194967,-0.32455982283848867,NA,3.3885241116488247
10,40,F08_86,-6.662500624186356,-6.739164870263985,0.2021344780908552,NA,3.3885241116488247
10,10,C02_11,1.718687416465901,1.7248110772962013,0.585957842352946,0.8531846892507516,NA
10,10,D05_11,2.972146672227586,2.9721900630856717,0.6110287241992166,0.8710263792204996,NA
10,10,D11_11,1.4194016123439308,1.4194018103043389,0.5306079927314283,0.75903961467695,NA
10,10,F08_11,2.284011577109503,2.2840281977840164,0.49021121127509804,0.6651746833484622,NA
29,16,B10_26,0.7354420787272331,0.8104232910610364,1.1548312545294328,1.4954029615150386,NA
29,16,D02_26,0.6693675029751097,0.7492552685659996,1.0848710914998336,1.2583960025721697,NA
29,16,E06_26,0.7699054791226351,0.8485352924690062,1.282993495926213,1.8408693214842962,NA
