"","Pop.fac","Pop.num","unique.id","T.µ.max","T.br","I.µ.max","I.comp","N.µ.max","N.comp","P.µ.max","P.comp","S.µ.max","S.c","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"16","21",12,"12.F04",8.61062474797256,17.0396137040113,1.32471636676789,0.171974168548487,1.47114553669247,0.475112544891499,1.277933474,0.969969372838765,1.91463963200343,3.46996840208886,628.08,172.14,11.0586,4.7862,0.9016,-0.739415823636823,450.7877336,"anc4","B"
"17","22",13,"13.B05",5.40381540658199,17.0630513301538,1.25936311266691,0.0828008497320922,1.52942306578888,0.222738244875987,1.461440026,0.306255033877624,1.3384009692163,3.9532491609834,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"18","22",13,"13.D03",4.21428781768588,18.7281687870986,1.31439147667314,0.0763750394612387,1.52881000778515,0.212194028975342,1.094222713,0.194884071766793,1.3384009692163,3.9532491609834,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"19","22",13,"13.E10",3.45808394099168,18.6318505551017,1.46352447136123,0.0992126267803823,1.36582787938326,0.254280235590398,1.463139421,0.298120406822,1.3384009692163,3.9532491609834,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"20","22",13,"13.F06",5.05390852467473,18.5333000755085,1.25496157935591,0.0775981122519525,1.50883875414442,0.261704477066496,1.438426537,0.258775292187271,1.3384009692163,3.9532491609834,333.19,82.795,16.8956,6.8342,1.3136,1.0317017638909,432.7539089,"cc1690","C"
"21","23",14,"14.B06",4.68442599189296,18.8193634203293,1.61551575079372,0.135894556850617,1.44885164211875,0.243071807454433,1.473681249,0.796482061710256,1.82877725088614,3.93700892780485,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"22","23",14,"14.C10",4.47233769558871,18.7707190913382,1.42083565524255,0.121829981675924,1.58468178798415,0.287548580727497,1.572356847,0.789524582782682,1.82877725088614,3.93700892780485,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"23","23",14,"14.E05",3.941431993704,18.9425977121548,1.21810517254797,0.111759126764588,1.46643108577012,0.317485981630112,1.564264696,0.69844986623386,1.82877725088614,3.93700892780485,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"24","23",14,"14.F10",4.8519302890772,18.3079082757117,1.10627997326304,0.0756436727283174,1.47043657003945,0.332977811326841,1.574090934,0.690437792222229,1.82877725088614,3.93700892780485,351.63,71.4,19.9151,8.0828,1.4474,1.87620040178223,489.5041171,"anc5","L"
"25","24",15,"15.B11",3.77215222846552,19.2979685339034,0.889518221750789,0.0438613024191535,1.13319133139751,0.164538041080962,1.68626555,1.05641569555337,2.19189890891676,2.94550160242839,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
"26","24",15,"15.D02",4.74086680875113,18.2817560827652,1.2258547638875,0.065641067040513,1.19731852203832,0.173117348449818,2.11321138,0.735415893867131,2.19189890891676,2.94550160242839,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
"27","24",15,"15.E06",4.4314203708638,18.4894450287113,1.29578777677471,0.0872984779527872,1.25206208021658,0.190761454285555,1.46681332,1.1748115801356,2.19189890891676,2.94550160242839,186.27,36.66,6.8897,3.5746,1.1638,-1.10556184964889,432.7539089,"anc4","C"
