"","population","population.number","salt","well.ID","r.exp"
"282","6",29,1,"14_A2",1.07021027757281
"283","6",29,2,"21_A2",1.03185677009355
"284","6",29,3,"28_A2",0.891706764468189
"285","6",29,4,"35_A2",0.328061489913183
"286","6",29,5,"42_A2",0.0389020788643811
"287","6",29,6,"49_A2",-0.0427511980009707
"288","6",29,7,"56_A2",-0.00811814792111358
"289","6",29,8,"63_A2",-0.301988880702558
"290","6",29,9,"70_A2",-0.294089593045476
"291","7",30,0,"6_B3",1.00730389705797
"292","7",30,1,"13_B3",0.830419454353032
"293","7",30,2,"20_B3",0.785955577833862
"294","7",30,3,"27_B3",0.876439414329018
"295","7",30,4,"34_B3",0.399684621709492
"296","7",30,5,"41_B3",0.285880470561685
"297","7",30,6,"48_B3",-0.104830975982586
"298","7",30,7,"55_B3",0.120267041965356
"299","7",30,8,"62_B3",-0.259904756912726
"300","7",30,9,"69_B3",-0.279246347309702
"301","8",31,0,"1_B2",1.38476718643893
"302","8",31,1,"8_B2",1.43819217331735
"303","8",31,2,"15_B2",1.36730643031318
"304","8",31,3,"22_B2",0.688199542347418
"305","8",31,4,"29_B2",0.242764882536798
"306","8",31,5,"36_B2",0.359728325765224
"307","8",31,6,"43_B2",-0.204854869869032
"308","8",31,7,"50_B2",0.25448741455616
"309","8",31,8,"57_B2",-0.0412255888500224
"310","8",31,9,"64_B2",-0.0530991891886901
"311","9",32,0,"4_B3",1.51277286163746
"312","9",32,1,"11_B3",1.48143229443197
"313","9",32,2,"18_B3",1.46919154024402
"314","9",32,3,"25_B3",1.03750442514589
"315","9",32,4,"32_B3",0.724597448308787
"316","9",32,5,"39_B3",0.626354609819309
"317","9",32,6,"46_B3",0.960957698290879
"318","9",32,7,"53_B3",0.561993862876696
"319","9",32,8,"60_B3",0.811454825617588
"320","9",32,9,"67_B3",0.582443745442137
"321","Anc 2",33,0,"4_B2",1.30704905246283
"322","Anc 2",33,1,"11_B2",1.25129982946498
"323","Anc 2",33,2,"18_B2",1.19723811860066
"324","Anc 2",33,3,"25_B2",0.792857164041438
"325","Anc 2",33,4,"32_B2",0.357783176713218
"326","Anc 2",33,5,"39_B2",0.240561461349572
"327","Anc 2",33,6,"46_B2",-0.0142070561741303
"328","Anc 2",33,7,"53_B2",-0.0868343228975792
"329","Anc 2",33,8,"60_B2",-0.19050286029444
"330","Anc 2",33,9,"67_B2",-0.183931196079644
"331","Anc 3",34,0,"3_B1",1.45283523786617
"332","Anc 3",34,1,"10_B1",1.29799180106001
"333","Anc 3",34,2,"17_B1",1.16903792709523
"334","Anc 3",34,3,"24_B1",0.796658339555422
"335","Anc 3",34,4,"31_B1",0.328451578226909
"336","Anc 3",34,5,"38_B1",0.294541262026677
"337","Anc 3",34,6,"45_B1",-0.0336297153900867
"338","Anc 3",34,7,"52_B1",-0.114171767192065
"339","Anc 3",34,8,"59_B1",-0.17039467848872
"340","Anc 3",34,9,"66_B1",-0.211131883918309
"341","Anc 4",35,0,"7_B1",1.36227221556805
"342","Anc 4",35,1,"14_B1",1.31726139425359
"343","Anc 4",35,2,"21_B1",1.1687083773459
"344","Anc 4",35,3,"28_B1",0.60347722374522
"345","Anc 4",35,4,"35_B1",0.48388251316985
"346","Anc 4",35,5,"42_B1",0.342216423830005
"347","Anc 4",35,6,"49_B1",-0.083497989000124
"348","Anc 4",35,7,"56_B1",0.0145859203724723
"349","Anc 4",35,8,"63_B1",-0.0368187484000219
"350","Anc 4",35,9,"70_B1",NA
"351","Anc 5",36,0,"1_B3",1.24617682033957
"352","Anc 5",36,1,"8_B3",1.26207347684732
"353","Anc 5",36,2,"15_B3",1.21503719007196
"354","Anc 5",36,3,"22_B3",0.5739733381599
"355","Anc 5",36,4,"29_B3",0.236182082118309
"356","Anc 5",36,5,"36_B3",0.150370335482857
"357","Anc 5",36,6,"43_B3",NA
"358","Anc 5",36,7,"50_B3",-0.0960068254946907
"359","Anc 5",36,8,"57_B3",-0.14651017760907
"360","Anc 5",36,9,"64_B3",-0.222077201421211
"361","cc1690",37,0,"2_B1",1.13707560108781
"362","cc1690",37,1,"9_B1",1.24319831167802
"363","cc1690",37,2,"16_B1",1.20068017193445
"364","cc1690",37,3,"23_B1",0.543366450323701
"365","cc1690",37,4,"30_B1",0.287169765453591
"366","cc1690",37,5,"37_B1",0.116367089719758
"367","cc1690",37,6,"44_B1",-0.0449955007225834
"368","cc1690",37,7,"51_B1",-0.0900094588612212
"369","cc1690",37,8,"58_B1",-0.361235152406925
"370","cc1690",37,9,"65_B1",-0.34283002793402
