"","population","population.number","temperature","well.ID","r.exp"
"49","11",3,10,"B07_1",0.188591165550847
"50","11",3,10,"C07_1",0.297014454609148
"51","11",3,10,"D11_1",0.32227713289115
"52","11",3,10,"G02_1",0.282034619569965
"53","11",3,16,"B07_16",1.13908363956675
"54","11",3,16,"C07_16",1.08423229644415
"55","11",3,16,"D11_16",1.10431920327875
"56","11",3,16,"G02_16",1.13159964820574
"57","11",3,22,"B07_31",1.38348454349776
"58","11",3,22,"C07_31",1.65632045845276
"59","11",3,22,"D11_31",2.16580701406646
"60","11",3,22,"G02_31",1.84630248733227
"61","11",3,28,"B07_46",3.22116032069793
"62","11",3,28,"C07_46",3.09375676078159
"63","11",3,28,"D11_46",3.0889847000182
"64","11",3,28,"G02_46",2.73549136653778
"65","11",3,34,"B07_61",4.05597079634007
"66","11",3,34,"C07_61",3.62714599327634
"67","11",3,34,"D11_61",4.92200316795841
"68","11",3,34,"G02_61",4.21099352641246
"69","11",3,40,"B07_76",0.299910062241846
"70","11",3,40,"C07_76",0.363114343237026
"71","11",3,40,"D11_76",-0.134385254860218
"72","11",3,40,"G02_76",-0.112028211159211
"73","14",4,10,"B04_1",0.289833774880767
"74","14",4,10,"D06_1",0.331799721922449
"75","14",4,10,"D09_1",0.367847823627083
"76","14",4,10,"F08_1",0.305785796563029
"77","14",4,16,"B04_16",1.16462063580896
"78","14",4,16,"D06_16",1.1573060849419
"79","14",4,16,"D09_16",1.05752569725868
"80","14",4,16,"F08_16",1.23713925496019
"81","14",4,22,"B04_31",1.94912206257677
"82","14",4,22,"D06_31",2.31246677320632
"83","14",4,22,"D09_31",2.25326264835238
"84","14",4,22,"F08_31",2.12344354698875
"85","14",4,28,"B04_46",3.99590636630808
"86","14",4,28,"D06_46",3.74243752240933
"87","14",4,28,"D09_46",3.48189689659835
"88","14",4,28,"F08_46",3.62137704958864
"89","14",4,34,"B04_61",4.51186637615434
"90","14",4,34,"D06_61",4.06734036802231
"91","14",4,34,"D09_61",4.26810304911213
"92","14",4,34,"F08_61",4.2515735301696
"93","14",4,40,"B04_76",0.605459045182304
"94","14",4,40,"D06_76",0.752022003341007
"95","14",4,40,"D09_76",1.29813835206655
"96","14",4,40,"F08_76",1.05500444491435
"97","15",5,10,"B02_11",0.489487110816004
"98","15",5,10,"C11_11",0.426969003634305
"99","15",5,10,"E07_11",0.434495344099562
"100","15",5,10,"F02_11",0.49684271544832
"101","15",5,16,"B02_26",0.785126312177264
"102","15",5,16,"C11_26",0.888226417893503
"103","15",5,16,"E07_26",1.12549967720876
"104","15",5,16,"F02_26",0.899333752283593
"105","15",5,22,"B02_41",2.31313286866744
"106","15",5,22,"C11_41",2.25762986447309
"107","15",5,22,"E07_41",1.8560923219078
"108","15",5,22,"F02_41",1.88106351965129
"109","15",5,28,"B02_56",3.43003966293697
"110","15",5,28,"C11_56",3.26145895052727
"111","15",5,28,"E07_56",3.61104321114427
"112","15",5,28,"F02_56",2.94208620917313
"113","15",5,34,"B02_71",4.2834564650861
"114","15",5,34,"C11_71",4.08784519263943
"115","15",5,34,"E07_71",3.65976283633313
"116","15",5,34,"F02_71",3.52765283697137
"117","15",5,40,"B02_86",0.583732026853604
"118","15",5,40,"C11_86",0.597824501796924
"119","15",5,40,"E07_86",0.533282807472394
"120","15",5,40,"F02_86",0.371987683787097
"121","16",6,10,"B05_11",0.475120874751587
"122","16",6,10,"C08_11",0.51606274064241
"123","16",6,10,"E04_11",0.629294455121383
"124","16",6,10,"E11_11",0.467448155713514
"125","16",6,16,"B05_26",1.12623536672618
"126","16",6,16,"C08_26",1.28821148988166
"127","16",6,16,"E04_26",1.01923558107503
"128","16",6,16,"E11_26",1.01404088509065
"129","16",6,22,"B05_41",2.0984881923357
"130","16",6,22,"C08_41",1.82492175237438
"131","16",6,22,"E04_41",1.98914942796966
"132","16",6,22,"E11_41",2.16254277514951
"133","16",6,28,"B05_56",3.14840745084552
"134","16",6,28,"C08_56",3.72216173138497
"135","16",6,28,"E04_56",3.360612082919
"136","16",6,28,"E11_56",3.38511054747894
"137","16",6,34,"B05_71",3.56727777277616
"138","16",6,34,"C08_71",3.70578882552196
"139","16",6,34,"E04_71",3.96858250508941
"140","16",6,34,"E11_71",3.86975758441961
"141","16",6,40,"B05_86",0.049010120738693
"142","16",6,40,"C08_86",-0.0913591038188429
"143","16",6,40,"E04_86",0.349716212451241
"144","16",6,40,"E11_86",0.269236643276179
"145","17",7,10,"B08_6",0.445200342545086
"146","17",7,10,"C11_6",0.452243298108751
"147","17",7,10,"E07_6",0.417876582770865
"148","17",7,10,"F05_6",0.351086437329186
"149","17",7,16,"B08_21",1.02108729604334
"150","17",7,16,"C11_21",0.940694507621437
"151","17",7,16,"E07_21",0.995244894646723
"152","17",7,16,"F05_21",1.06649171118754
"153","17",7,22,"B08_36",2.33334919220006
"154","17",7,22,"C11_36",2.06398595666356
"155","17",7,22,"E07_36",2.15719257660648
"156","17",7,22,"F05_36",2.07411247648674
