"","Sp.id","Sp.name","Parameter","est","se","p"
"151",38,"Nitzschia cylindrus","tmax",10.2895974417111,0.290183285562033,0.000794383626672032
"152",38,"Nitzschia cylindrus","delta_t",0.419455199903723,0.429930016790598,0.432142291869368
"153",39,"Nitzschia kerguelensis","a",0.163005957512724,0.509766111931475,0.802972024145665
"154",39,"Nitzschia kerguelensis","b",-0.178885902812761,2.22448531639282,0.948915030710069
"155",39,"Nitzschia kerguelensis","tmax",8.49851680487684,6.13369633606329,0.397993200408601
"156",39,"Nitzschia kerguelensis","delta_t",3.87111343831089,0.494830951321474,0.0809379614748835
"157",40,"Nitzschia turgiduloides","a",0.115238761549971,3.00558732016967,0.97289841552836
"158",40,"Nitzschia turgiduloides","b",-0.508059371846695,13.9650353768199,0.974283386826243
"159",40,"Nitzschia turgiduloides","tmax",10.3168959481421,27.4371654796629,0.74304214851947
"160",40,"Nitzschia turgiduloides","delta_t",3.77512624365158,41.6492519329882,0.936038434200923
"161",41,"Ochromonas sp.","a",0.0797774475118888,0.100653521397014,0.511098429052748
"162",41,"Ochromonas sp.","b",-0.412749861789861,1.23292763510063,0.769646429591477
"163",41,"Ochromonas sp.","tmax",38,10.4626766760635,0.068150165043459
"164",41,"Ochromonas sp.","delta_t",11.4023831906393,9.34689026975175,0.346826252169731
"165",42,"Oocystella mongolica","a",0.0457287477903328,0.276335383525042,0.88377896338653
"166",42,"Oocystella mongolica","b",-0.0726509201953163,3.22034771331401,0.984049727642446
"167",42,"Oocystella mongolica","tmax",35,89.1796908324209,0.732590858751656
"168",42,"Oocystella mongolica","delta_t",18.6280997683352,62.7025077807886,0.794415064266627
"169",43,"Pediastrum boryanum","a",0.168496280148422,0.0773043007399009,0.273835039968886
"170",43,"Pediastrum boryanum","b",-0.365165158379378,0.449723102609,0.565824103839094
"171",43,"Pediastrum boryanum","tmax",37,3.6337082134749,0.0623215163825573
"172",43,"Pediastrum boryanum","delta_t",5.88521231340944,2.57616318500747,0.262674180648941
"173",44,"Phaeocystis pouchetii","a",0.044949651176667,0.0470141085697545,0.514288820883389
"174",44,"Phaeocystis pouchetii","b",-0.615930862379739,0.088561679568943,0.0909133349022414
"175",44,"Phaeocystis pouchetii","tmax",25,77.529369281256,0.801418279879491
"176",44,"Phaeocystis pouchetii","delta_t",2.69527084011149,41.7626488594936,0.958970840535475
"177",45,"Phaeodactylum tricornutum","a",0.0400997122260218,0.00918146291703513,0.0486327299522676
"178",45,"Phaeodactylum tricornutum","b",-0.722066611383901,0.229577018436257,0.0879560917974318
"179",45,"Phaeodactylum tricornutum","tmax",28.7076449679075,1.9529956988953,0.00459626633597915
"180",45,"Phaeodactylum tricornutum","delta_t",2.40070502313366,1.60885663936541,0.274185409159906
"181",46,"Planktothrix agardhii","a",0.0485264795502759,0.0784541488212284,0.580012620663139
"182",46,"Planktothrix agardhii","b",0,1.14401151858678,1
"183",46,"Planktothrix agardhii","tmax",37.9748574154137,18.9848832037447,0.139289767171268
"184",46,"Planktothrix agardhii","delta_t",16.9908458979205,12.2659142872618,0.26001854798796
"185",47,"Planktothrix agardhii","a",0.18625553338185,0.0421595803540673,0.141713019354754
"186",47,"Planktothrix agardhii","b",-0.238145045625427,0.365763887874584,0.632580767735837
"187",47,"Planktothrix agardhii","tmax",36.8040326491912,0.825142572193913,0.0142705581575157
"188",47,"Planktothrix agardhii","delta_t",5.33572095596702,1.15776598978261,0.136027636078126
"189",48,"Pseudochattonella farcimen","a",0.0543308821434607,0.0328435590613436,0.239903984282887
"190",48,"Pseudochattonella farcimen","b",-1.0348146816559,0.0615106215931305,0.00351463944958159
"191",48,"Pseudochattonella farcimen","tmax",22.4710291064644,0.880071033093623,0.00153035329165055
"192",48,"Pseudochattonella farcimen","delta_t",4.37467396435187,3.16416731578526,0.300939080703776
"193",49,"Pseudodidymocystis planctonica","a",0.0134903947787486,0.00038142412057194,0.000798447939757602
"194",49,"Pseudodidymocystis planctonica","b",-0.905178802525926,0.00633557616955494,4.89859540288827e-05
"195",49,"Pseudodidymocystis planctonica","tmax",31.3678192523034,0.202501067552479,4.16733901650877e-05
"196",49,"Pseudodidymocystis planctonica","delta_t",1.44810831388152,0.220159944408891,0.0223422583392062
"197",50,"Rhizosolenia fragilissima","a",0.11165471702863,NA,NA
"198",50,"Rhizosolenia fragilissima","b",-0.0460335754806648,NA,NA
"199",50,"Rhizosolenia fragilissima","tmax",30,NA,NA
"200",50,"Rhizosolenia fragilissima","delta_t",8.17607523280419,NA,NA
"201",51,"Rhodomonas salina","a",0.151115434125096,NA,NA
"202",51,"Rhodomonas salina","b",0,NA,NA
"203",51,"Rhodomonas salina","tmax",30,NA,NA
"204",51,"Rhodomonas salina","delta_t",6.34347747814536,NA,NA
"205",52,"Scenedesmus crassus","a",0.0303621868181268,0.0248067555180313,0.436108701682467
"206",52,"Scenedesmus crassus","b",-0.972088734958187,0.87456570870455,0.466410897465524
"207",52,"Scenedesmus crassus","tmax",37,958.610494289144,0.975440238738757
"208",52,"Scenedesmus crassus","delta_t",1.26983744005572,239.91635895788,0.996630508745744
"209",53,"Scenedesmus quadricauda","a",0.157142105113735,0.0786938984504475,0.295565252965924
"210",53,"Scenedesmus quadricauda","b",-0.476208304560791,0.709633778572475,0.623732633288378
"211",53,"Scenedesmus quadricauda","tmax",37,3.78447954757381,0.0648898655701234
"212",53,"Scenedesmus quadricauda","delta_t",6.2546119476841,2.85037484028063,0.272220870160249
"213",54,"Selenastrum minutum","a",0.0294917282219574,0.0127220183599862,0.259268879419569
"214",54,"Selenastrum minutum","b",-0.825717749921075,0.434936844918283,0.308638631516612
