"","Pop.id","Parameter","mean","Rhat","n.eff"
"669",112,"cf.delta_t",5.26721375613983,1.00101464504365,3000
"670",112,"cf.sigma",0.653012415942069,1.00133042953244,2400
"671",112,"cf.tmax",29.8947675350783,1.00678917968032,1100
"672",112,"deviance",6.46865622217455,1.00165522484089,1700
"673",113,"cf.a",0.0264069867918594,1.00072472803749,3000
"674",113,"cf.b",-0.470105321758606,1.00081166540804,3000
"675",113,"cf.delta_t",15.9759440375892,1.00090716102569,3000
"676",113,"cf.sigma",0.0773577233350623,1.00213077485925,1500
"677",113,"cf.tmax",37.006147722101,1.00053345577974,3000
"678",113,"deviance",-16.5446374666656,1.00159495652772,1800
"679",114,"cf.a",0.0600294304743804,1.00150331678972,2000
"680",114,"cf.b",-0.721527005294373,1.00278023659482,1300
"681",114,"cf.delta_t",6.03955672642546,1.00136957962838,2500
"682",114,"cf.sigma",0.12377302247271,1.00208067156104,1300
"683",114,"cf.tmax",33.0977582775643,1.00084087668161,3000
"684",114,"deviance",-18.183227193942,1.00170717983916,2200
"685",115,"cf.a",0.0379964185860848,1.00052655251505,3000
"686",115,"cf.b",-0.63117945674675,1.00202341606572,3000
"687",115,"cf.delta_t",10.669976042506,1.00080406354333,3000
"688",115,"cf.sigma",0.429541280753492,1.00099784876711,3000
"689",115,"cf.tmax",34.8759358057117,1.01149414623561,3000
"690",115,"deviance",1.00263768530642,1.00130428830391,2500
"691",116,"cf.a",0.0365457330908284,1.00056926386667,3000
"692",116,"cf.b",-0.563228158195586,1.00056005043162,3000
"693",116,"cf.delta_t",10.3371905145414,1.00103926896583,3000
"694",116,"cf.sigma",0.611972779485122,1.00053684521135,3000
"695",116,"cf.tmax",33.5011146034398,1.00727866479217,3000
"696",116,"deviance",3.38645906685557,1.00059614128132,3000
"697",117,"cf.a",0.0264951193265158,1.00082288355899,3000
"698",117,"cf.b",-0.429577489373235,1.00082581388684,3000
"699",117,"cf.delta_t",13.9846293087254,1.00126218324729,2600
"700",117,"cf.sigma",0.195011900866953,1.00064020794557,3000
"701",117,"cf.tmax",34.6612116879958,1.04009473148176,3000
"702",117,"deviance",-6.59891388984888,1.00051302929192,3000
"703",118,"cf.a",0.0473583074695365,1.0063540199333,930
"704",118,"cf.b",-0.876018910034586,1.00104305213361,3000
"705",118,"cf.delta_t",9.59114617147824,1.0026046423215,3000
"706",118,"cf.sigma",0.161921207687546,1.00160567815705,1800
"707",118,"cf.tmax",36.6178662295527,1.06877849571149,3000
"708",118,"deviance",-8.26908858235674,1.00244819153072,1000
"709",119,"cf.a",0.107754130750233,2.5096011688411,4
"710",119,"cf.b",-0.836543339916838,2.66977675939138,4
"711",119,"cf.delta_t",4.5923865665589,1.21097129236142,18
"712",119,"cf.sigma",0.0594472148567683,1.227535467853,13
"713",119,"cf.tmax",30.0434836240681,1.5934602534606,7
"714",119,"deviance",-26.5296064401752,1.29501820014754,11
"715",120,"cf.a",0.0573593389959249,1.22278260508553,16
"716",120,"cf.b",-1.38957434712405,1.44804610387523,9
"717",120,"cf.delta_t",6.80223003978432,1.01003185504886,260
"718",120,"cf.sigma",0.0531028217920985,1.00308467651546,780
"719",120,"cf.tmax",37.4481868715175,1.26416511516607,12
"720",120,"deviance",-47.3510411051803,1.00631893667338,350
"721",121,"cf.a",0.0457998491788228,1.04006132773713,170
"722",121,"cf.b",-1.63488514784808,1.06251002267035,95
"723",121,"cf.delta_t",3.68398080427041,1.00515696322437,450
