"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"107","anc2",33,"33.E05",4.14449186368503,1.47951435887403,2.5,2.52406655890143
"108","anc2",33,"33.F10",4.37479797835077,1.38582910523465,3,2.96657849953147
"109","anc3",34,"34.B07",6.02472292056346,1.45047289370064,3.5,3.78882373554849
"110","anc3",34,"34.C06",7.26727294225231,1.39358947192651,5,4.88210682202578
"111","anc3",34,"34.D07",4.01955986944432,1.21746949749601,3,3.42366229226092
"112","anc3",34,"34.F05",5.83048987341762,1.33200621577879,4,4.22933684001506
"113","anc4",35,"35.B11",4.46418136489879,1.3046718637968,3,3.35710490201291
"114","anc4",35,"35.D04",5.97755397629627,1.16357286501813,5.5,5.54602504641319
"115","anc4",35,"35.E02",5.98812310692874,1.41652887134228,3.5,3.9150448421254
"116","anc4",35,"35.F06",4.0671052846829,1.290781808254,3,3.11663335580845
"117","anc5",36,"36.B08",5.93181034274023,1.35954143569281,4,4.15464870692555
"118","anc5",36,"36.C11",6.98570811629205,1.38360956327867,4.5,4.74981923418964
"119","anc5",36,"36.E07",6.89441672362142,1.33087689230979,5,5.00841756153773
"120","anc5",36,"36.F05",6.15702719800942,1.43410804268164,4,3.94451836904222
"121","cc1690",37,"37.B04",5.61424705282496,1.52302041985225,3,3.2647057993478
"122","cc1690",37,"37.C05",5.4329293904058,1.43528898222279,3.5,3.4759268315031
"123","cc1690",37,"37.E05",5.87966044757914,1.38283362361201,4,4.00154995634559
"124","cc1690",37,"37.F07",6.94367559355443,1.37193523235498,5,4.78912378406367
"125","14",4,"4.B04",7.16916713842499,1.44592258389975,4.5,4.53169799537735
"126","14",4,"4.D06",5.26884217998127,1.18400895658492,4.5,4.72838024142684
"127","14",4,"4.D09",4.26863580653589,1.32100619841924,3,3.14115188105628
"128","14",4,"4.F08",5.49643890659105,1.27890534732912,4,4.28151744750044
"129","15",5,"5.B02",7.28677613292223,1.30209796634556,5.5,5.49872768757369
"130","15",5,"5.C11",5.90873601247757,1.34908630826071,4,4.19332097433147
"131","15",5,"5.E07",6.38601935083249,1.25566900939959,5,5.140621169186
"132","15",5,"5.F02",7.6210942357899,1.26244480520807,6,6.07565568198373
"133","16",6,"6.B05",7.16027864931214,1.47511698141263,4.5,4.3816868499425
"134","16",6,"6.C08",3.52198712996379,1.17031971033682,3,3.23160592616491
"135","16",6,"6.E04",6.34831339911605,1.38686609816024,4,4.29943313846695
"136","16",6,"6.E11",7.15364580784245,1.36865391852916,5,4.95396307443639
"137","17",7,"7.B08",1.59954617459094,1.40797649536661,1,1.05633335672077
"138","17",7,"7.C11",4.21150033340907,1.5494058899292,2,2.38369329586044
"139","17",7,"7.E07",3.04443557444724,1.51594935092375,1.5,1.78344586984969
"140","17",7,"7.F05",1.74482743068465,1.52493171750545,1,1.01261399481139
"141","18",8,"8.B11",6.74076730432952,1.42890665393835,4.5,4.34434432434712
"142","18",8,"8.D02",6.08063091551829,1.52102426611363,3.5,3.54325424732577
"143","18",8,"8.E06",6.63613733322507,1.39926371061059,4.5,4.42797282859086
"144","18",8,"8.E11",1.90293633516951,1.35379811514333,1,1.34246268335182
"145","19",9,"9.B03",7.28782351047352,1.39332317202854,5,4.89747711674748
"146","19",9,"9.D04",5.28890934515446,1.25839012441302,4,4.24088074810019
"147","19",9,"9.D10",5.39940916780118,1.38895686776516,3.5,3.64755906072695
"148","19",9,"9.F03",6.09896972967931,1.43484205406257,4,3.90404534482533
