"","Pop.fac","Pop.num","unique.id","Model","T.min","T.max","T.br","T.opt","r.max"
"57","30",22,"22.C03","Lactin 2",0.972786548701071,40.462841725488,18.1626074223933,33.0522132863562,7.43940452372821
"58","30",22,"22.C09","Lactin 2",3.46904077765302,40.1284607928582,18.7820644218317,32.2041233426963,4.80165304025257
"59","30",22,"22.E03","Lactin 2",0.706935710692316,39.8090783689901,20.5050519987575,30.9598572619607,3.62867502416744
"60","30",22,"22.E08","Lactin 2",2.80781651274716,40.4379362166007,19.3954022834469,32.0903878063367,4.87910921730689
"61","31",23,"23.B04","Lactin 2",5.1462241116036,39.99491740459,17.9298467848844,32.3311486962024,5.9055615257473
"62","31",23,"23.D06","Lactin 2",4.36517870549026,39.5570020307466,17.3815430330948,32.710665969231,4.39306488035576
"63","31",23,"23.D09","Lactin 2",4.64266332769507,40.2310619422675,17.8216984566751,33.0018143892042,4.82063034317682
"64","31",23,"23.F08","Lactin 2",4.58511382028383,40.0569237702999,18.9429605547312,31.8017929533791,4.39794434197649
"65","32",24,"24.C04","Lactin 2",3.61896002577498,40.0735456825152,17.7067398925351,33.1290710496464,4.6465144899361
"66","32",24,"24.D07","Lactin 2",3.16703601223963,40.4749835235024,17.0139309232615,34.2456764980244,4.98348168739881
"67","32",24,"24.D08","Lactin 2",4.60403837787347,40.2703830824485,17.2332409208321,33.4200048620352,5.67733511875875
"68","32",24,"24.F07","Lactin 2",2.44027430791907,39.8906288706249,17.5890635152168,33.3192484183608,4.27375469857927
"69","33",25,"25.C03","Lactin 2",3.66492369099764,40.1269920566497,18.7526043124372,32.1998799580328,4.77153147193709
"70","33",25,"25.D05","Lactin 2",4.00372208659373,40.2296732826234,18.0820427618818,32.8944911965974,4.73496477106815
"71","33",25,"25.E08","Lactin 2",3.64216057682213,39.8914410881812,18.0968736740686,32.5562596646764,4.58952360303989
"72","33",25,"25.G03","Lactin 2",4.03783443994987,39.7991044602776,16.3714629143738,34.1138400750574,4.13212611528758
"73","35",26,"26.C04","Lactin 2",3.68006296481144,40.7041313848196,17.0481458811998,34.4076229804364,5.01444992489563
"74","35",26,"26.D07","Lactin 2",1.51133747931417,40.886839774466,19.2216013583994,32.8403313156985,5.87323621119099
"75","35",26,"26.D08","Lactin 2",4.39909511761788,40.8680409602298,19.1487376302628,32.5640477966485,4.91758578977592
"76","35",26,"26.F07","Lactin 2",2.89360263298506,40.6139697401624,19.3486092063956,32.4855341033929,4.38808400910654
"77","4",27,"27.B03","Lactin 2",4.91038084607341,36.6929207029927,17.0399738074673,29.7543969386546,2.6379591832627
"78","4",27,"27.D04","Lactin 2",3.20796267630897,40.0655632920276,18.6909694708027,32.3121657437431,4.56015003002068
"79","4",27,"27.D10","Lactin 2",4.64881612331655,40.0476360735238,17.6713021940096,32.9757121461868,4.5161113777049
"80","4",27,"27.F03","Lactin 2",-0.305877818247426,40.7010898342703,17.5735847664312,33.565458750264,10.4406560937906
"81","5",28,"28.B09","Lactin 2",4.00326801185506,39.6354978709963,18.0335491707025,32.2217384157174,4.62480028519031
"82","5",28,"28.C04","Lactin 2",3.52531397605191,39.8750569466229,18.60712111547,32.0650056483874,4.68360272860896
"83","5",28,"28.D06","Lactin 2",3.57536889653419,39.8339956082892,18.8960820110356,31.8203774360201,4.27810784859192
"84","5",28,"28.E10","Lactin 2",3.33110813175843,40.1132473217849,16.7939543112016,34.01521741402,4.82307989980306
"85","6",29,"29.C02","Lactin 2",4.04322946307049,40.085935002655,17.4949527834674,33.2565601138847,4.67566721880482
"86","6",29,"29.C09","Lactin 2",0.3522650214712,40.7202824084835,17.7988198407577,33.4301863517126,9.72099532392803
"87","6",29,"29.E09","Lactin 2",2.48083029964207,40.5484011596821,17.4082251816384,33.6645587124423,7.08031409821326
"88","6",29,"29.F04","Lactin 2",3.60459648133062,40.2545559983544,16.8165294093882,33.8593593363934,5.96031740043565
"89","11",3,"3.B07","Lactin 2",5.14620628235006,39.9235886459243,18.5854370851889,31.9316528926309,4.14888195425454
"90","11",3,"3.C07","Lactin 2",3.93273940942135,40.2788402756363,18.8689667949266,32.259370016773,4.63213225609792
"91","11",3,"3.D11","Lactin 2",4.66065890029565,39.6990512182218,17.1136276400365,32.9429186010855,4.9991563245914
"92","11",3,"3.G02","Lactin 2",4.16303746596015,39.1799681527832,18.1029993968264,31.7984013518669,3.61961111424318
"93","7",30,"30.B08","Lactin 2",3.95889315133744,39.9158484457828,17.0423109880439,33.5171994567782,4.51230648053906
"94","7",30,"30.C07","Lactin 2",4.88477510632014,40.2614581580846,18.0119745080945,32.7056593489088,5.46750918034652
"95","7",30,"30.D10","Lactin 2",3.34779875212196,40.2917482763384,18.4016250637812,32.6574055960294,5.41161738930018
"96","7",30,"30.F03","Lactin 2",2.87287277103574,40.1720692988087,18.414422574777,32.5957513203025,5.29742756092965
"97","8",31,"31.B05","Lactin 2",3.70559928897773,40.1506408314194,16.7843953131284,33.5477989039723,7.18980660505741
"98","8",31,"31.D03","Lactin 2",4.57742780624685,40.1647242743965,18.4584980794583,32.308464578351,4.9904195115409
"99","8",31,"31.E10","Lactin 2",5.08998791445244,40.1339371584887,18.0653064955372,32.669643155535,4.35134472240123
"100","8",31,"31.F06","Lactin 2",4.49751743066391,40.0492500508846,18.1712504817087,32.4071906437773,5.21359998645626
"101","9",32,"32.C03","Lactin 2",3.14079932203663,40.199643712402,19.1620079020777,31.9510181705795,4.90108051352985
"102","9",32,"32.D05","Lactin 2",2.88863193489289,40.1237533684284,18.5751926530396,32.3509785676504,5.49069277513361
"103","9",32,"32.E08","Lactin 2",2.51023753597429,40.1321982412327,19.9049223627751,31.4988902373503,3.93870604790642
"104","9",32,"32.G03","Lactin 2",3.4398748917413,40.3997063586905,19.6633014861046,31.8499505484879,4.07755556090017
"105","anc2",33,"33.B06","Lactin 2",3.70831674127036,39.7337496239684,19.0643549385831,31.5020135437791,4.2336770576621
"106","anc2",33,"33.C10","Lactin 2",3.97122276553223,40.2071901895605,18.4992609363057,32.4425192350279,4.96460447273941
"107","anc2",33,"33.E05","Lactin 2",3.11313460297273,39.9434627968457,17.8504823415847,32.9470819935236,4.55300436891309
"108","anc2",33,"33.F10","Lactin 2",3.95434749336191,40.418735910561,19.4593012304924,31.9325424192233,4.1937678282744
"109","anc3",34,"34.B07","Lactin 2",4.34518541057484,39.585612419896,18.5224475795321,31.7211037114486,4.21247488559025
"110","anc3",34,"34.C06","Lactin 2",3.62598215410528,39.9353343184787,18.8750354459235,31.9292352498045,4.40559706639303
"111","anc3",34,"34.D07","Lactin 2",3.45370500343252,40.044986562745,18.2351206572826,32.6663309316644,4.54050360871191
"112","anc3",34,"34.F05","Lactin 2",3.62595362068861,39.999912374641,17.6982645535818,33.0061021547531,4.8062219699449
"113","anc4",35,"35.B11","Lactin 2",4.494975409805,40.3071502790704,17.6619275218505,33.3024405194293,4.66458186830926
"114","anc4",35,"35.D04","Lactin 2",3.65068895474513,40.447426267576,19.4481359114034,32.0129299612234,4.3544978533573
"115","anc4",35,"35.E02","Lactin 2",3.65148454967199,40.6371099056671,19.6079545706246,32.105980704061,4.29072523389752
"116","anc4",35,"35.F06","Lactin 2",3.53917278317839,40.2961073098333,19.5247113327191,31.8082544740677,4.17084295225781
"117","anc5",36,"36.B08","Lactin 2",3.65959514277323,41.0345559121737,18.5511382127788,33.2604457148671,6.15521872583011
