"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"51","Lactin 2","20",11,"11.B06","cf.delta_t",2.4639658630564,1.00102827161751,6000
"52","Lactin 2","20",11,"11.B06","cf.sigma",0.340264236453836,1.00077367099332,6000
"53","Lactin 2","20",11,"11.B06","cf.tmax",40.5304554616468,1.00109619237828,6000
"54","Lactin 2","20",11,"11.B06","deviance",-1.01321493467091,1.00062080529778,6000
"55","Lactin 2","20",11,"11.D03","cf.a",0.0542608491084543,1.00452478886596,6000
"56","Lactin 2","20",11,"11.D03","cf.b",-1.30945301916922,1.00097367631757,6000
"57","Lactin 2","20",11,"11.D03","cf.delta_t",4.04385633703764,1.00061505774179,6000
"58","Lactin 2","20",11,"11.D03","cf.sigma",0.615721908999343,1.00071662679029,6000
"59","Lactin 2","20",11,"11.D03","cf.tmax",41.1411652121278,1.00071816831778,6000
"60","Lactin 2","20",11,"11.D03","deviance",7.90213083516013,1.00085370728617,6000
"61","Lactin 2","20",11,"11.D08","cf.a",0.0582230207240543,1.00379148777051,6000
"62","Lactin 2","20",11,"11.D08","cf.b",-1.48976209926202,1.00070258040487,6000
"63","Lactin 2","20",11,"11.D08","cf.delta_t",3.85098910322404,1.00078909629152,6000
"64","Lactin 2","20",11,"11.D08","cf.sigma",0.403198053081747,1.00123004939861,4800
"65","Lactin 2","20",11,"11.D08","cf.tmax",40.9931717529188,1.00107463199117,6000
"66","Lactin 2","20",11,"11.D08","deviance",2.29972888103504,1.00140471991986,3900
"67","Lactin 2","20",11,"11.E09","cf.a",0.0528368902471092,1.00476114573854,6000
"68","Lactin 2","20",11,"11.E09","cf.b",-1.2813107843929,1.00057700345901,6000
"69","Lactin 2","20",11,"11.E09","cf.delta_t",2.99264370319385,1.00072457252545,6000
"70","Lactin 2","20",11,"11.E09","cf.sigma",0.275094104697596,1.00091123954158,6000
"71","Lactin 2","20",11,"11.E09","cf.tmax",40.7226218170792,1.0013761916248,6000
"72","Lactin 2","20",11,"11.E09","deviance",-3.42063816330616,1.0010667454128,6000
"73","Lactin 2","21",12,"12.C02","cf.a",0.0656693353555265,1.00730003843523,3400
"74","Lactin 2","21",12,"12.C02","cf.b",-1.411135397217,1.00077991315051,6000
"75","Lactin 2","21",12,"12.C02","cf.delta_t",4.52430997337163,1.00124758221242,4700
"76","Lactin 2","21",12,"12.C02","cf.sigma",0.506175597427585,1.00076188715202,6000
"77","Lactin 2","21",12,"12.C02","cf.tmax",40.9384911378089,1.00111904463252,6000
"78","Lactin 2","21",12,"12.C02","deviance",5.22900011019823,1.00121102105998,4900
"79","Lactin 2","21",12,"12.C09","cf.a",0.0636317594179589,1.00615093517498,6000
"80","Lactin 2","21",12,"12.C09","cf.b",-1.41512601781274,1.00080397999725,6000
"81","Lactin 2","21",12,"12.C09","cf.delta_t",4.15772533565766,1.0006353004825,6000
"82","Lactin 2","21",12,"12.C09","cf.sigma",0.464132142690069,1.0021032313394,2200
"83","Lactin 2","21",12,"12.C09","cf.tmax",40.9210996648209,1.00197533234998,5100
"84","Lactin 2","21",12,"12.C09","deviance",4.0427776529131,1.00172700508494,2900
"85","Lactin 2","21",12,"12.E09","cf.a",0.0640472958136911,1.00396191809886,5400
"86","Lactin 2","21",12,"12.E09","cf.b",-1.47534154985604,1.001063680256,6000
"87","Lactin 2","21",12,"12.E09","cf.delta_t",4.60934807609671,1.00271183174015,2800
"88","Lactin 2","21",12,"12.E09","cf.sigma",0.396693205596668,1.00091295425265,6000
