"","Pop.fac","Anc","Evol","T.µ.max","T.br.0","T.br.0.56","T.µ.max.L","T.µ.max.U","T.br.0.L","T.br.0.U","T.br.0.56.L","T.br.0.56.U","I.µ.max","I.comp.0.1","I.comp.0.56","I.µ.max.L","I.µ.max.U","I.comp.0.1.L","I.comp.0.1.U","I.comp.0.56.L","I.comp.0.56.U","N.µ.max","N.comp.0.1","N.comp.0.56","N.µ.max.L","N.µ.max.U","N.comp.0.1.L","N.comp.0.1.U","N.comp.0.56.L","N.comp.0.56.U","P.µ.max","P.comp.0.1","P.comp.0.56","P.µ.max.L","P.µ.max.U","P.comp.0.1.L","P.comp.0.1.U","P.comp.0.56.L","P.comp.0.56.U","S.µ.max","S.c","S.µ.max.L","S.µ.max.U","S.c.L","S.c.U","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein"
"11","20","anc4","L",3.93101718622885,32.7396318881314,26.1271307395163,3.51485425453755,4.77902436577856,29.7807297321398,36.6640108778291,24.381502837832,28.4026591961838,1.1765920573447,0.664098717765894,0.0679190134995426,0.966170319622548,1.38879979582711,0.454445916074034,1.45771730711085,0.0450931991713956,0.13436330405446,1.35378059320571,1.50520604706095,0.17017151329113,1.24417132236242,1.46031417065177,1.24912091657035,2.21756365771534,0.13805760784877,0.246073540780975,1.41426495664655,4.96210144706959,0.575953305430659,1.31248822734352,1.52364515663453,3.99045211989393,6.34884454331619,0.471579581024445,0.720002520528513,1.2907080900462,4.05080283450614,0.963324219879934,1.97754096132059,2.60192559615534,4.91752226573847,397.015,76.83,15.7937,6.8696,1.551
"12","21","anc4","B",4.43451241027755,33.0911050849707,27.6852644598444,4.14053087094658,4.70022203227106,30.433578876512,36.9756234894051,26.0249119667227,29.867048200324,1.25588571023542,1.76609353884113,0.189866654656469,1.05140773747035,1.48397571138937,0.825152543639615,5.90144050695639,0.0935102008871551,0.595493611779926,1.51580031977886,3.15317814514525,0.380124311184177,1.41038150637722,1.62985313125851,1.96836000366231,6.00150176287874,0.242386969601812,0.709310133463667,1.40810772179635,15.0736774750459,1.74517386142688,1.27479864609299,1.55384555996836,9.44202536202004,26.9900018548777,1.13195864932372,3.02382428441991,1.91463963200343,3.46996840208886,1.20640727694233,4.11621615306388,0.737358983212144,4.72042020911787,628.08,172.14,11.0586,4.7862,0.9016
"13","22","cc1690","C",3.85541693491126,31.7144753540987,26.209096578921,3.54442887571317,4.15556312765417,29.2179177607323,35.3999291259731,24.6212882468823,28.2361905647261,1.37825956955692,0.65639548969495,0.0750325319074094,1.14435672332753,1.60254302158991,0.502106329563446,1.15845613405084,0.0543469214353445,0.126731536711059,1.51326293094509,1.70457102639866,0.205313171922127,1.41811373374629,1.60040457673594,1.42943220327895,2.39797965798406,0.171158327701939,0.283618001265406,1.43283337262319,2.41860508509471,0.282834523379749,1.01636726730412,1.86370273351156,1.53391614543634,7.32029418319328,0.177290962014241,0.710797056409024,1.3384009692163,3.9532491609834,1.06315533668052,1.71065140093133,3.15212653664002,4.53558480463558,333.19,82.795,16.8956,6.8342,1.3136
"14","23","anc5","L",3.97950144067359,33.4676939480987,27.9531035849059,3.69487510256248,4.21050713895974,30.875332379453,37.3933604492427,26.2727141587653,30.1192812179957,1.31686385825412,1.13540683841023,0.126107017198677,1.12194391023859,1.53809465058828,0.655361933238716,2.55268212930309,0.0757728156671288,0.266401272143315,1.50638843849724,2.29980562515913,0.276354947139737,1.3864327477663,1.62787800636205,1.58133344119306,4.05055098175464,0.19267913053738,0.476871410193481,1.49010149317958,7.66804078157497,0.916178758953117,1.37687701941243,1.61349375879255,5.83156916178876,10.5780860435387,0.709692460665868,1.23478903085285,1.82877725088614,3.93700892780485,1.06978323955884,3.53784183590683,0.536496467973075,6.11241339782268,351.63,71.4,19.9151,8.0828,1.4474
"15","24","anc4","C",3.404311859992,34.0741820200405,27.441763998598,3.15822748128089,3.63947808776404,31.1467272671642,38.6747397741505,25.7036895402094,29.7108100985586,1.14086367723534,0.560278115831387,0.0558336473275065,0.915281181055419,1.35733449100237,0.407341210979619,1.10605177233212,0.0368346044806449,0.102794301712293,1.27560006602777,1.48255209248973,0.161150888860525,1.13022484863374,1.42250739789658,1.15873216737872,2.6424601282748,0.120775860097468,0.280399027172028,1.62848566758192,9.07223906327421,1.13248846993497,1.48505412721076,1.78824442131161,6.43425862312981,13.6774479205583,0.821039058479037,1.66785038241881,2.19189890891676,2.94550160242839,1.33913674634589,4.54299348149205,0.366907986472516,4.09113244323953,186.27,36.66,6.8897,3.5746,1.1638
"16","25","anc2","BS",3.54000011228633,33.3771768687616,27.7047902036367,3.39053731729914,3.67815060130269,31.8372951139396,35.392005865033,26.7044813525275,28.8903244441967,1.45834498019773,1.3919156692273,0.164383400458678,1.30574145144777,1.62461800917047,0.908484694749056,2.37574260181659,0.109923140790308,0.272384297265248,1.40886889258681,2.45877106415799,0.28475708548504,1.26123614779523,1.56340074013526,1.49898656783024,5.57926488434434,0.176581358829166,0.63462696944513,1.42996872013049,14.4509629874809,1.68799428789229,1.30409483449619,1.56896759584112,9.48408455777305,24.6465872903624,1.14392553524074,2.78275514903077,1.34124553580179,7.06481780714347,0.987176082268896,2.1059577866839,4.25665945033443,8.34235447408557,387.465,74.38,14.7452,5.9852,1.0849
"17","26","anc3","L",3.4192543704061,34.0734364330771,27.4860284799492,3.2514711252545,3.56636538980436,31.937057776107,36.8475447819221,26.269449552817,28.928589390066,1.33649200352161,0.615247429006492,0.0689933854707732,1.1462947985824,1.52023433577244,0.489190020150634,0.943854948093155,0.0524092652731622,0.101726991080338,1.51780068156581,1.76415436669325,0.212818078628955,1.40813021024503,1.62221515855861,1.4410393561624,2.66136105628726,0.172740504335504,0.316581665805456,1.40741258344596,9.24800792478955,1.07039091486371,1.28216977732313,1.53894757944674,6.49633117427341,14.1955272708741,0.773412959368984,1.58696077972796,1.47540209041666,3.95782615358381,1.18286970396566,1.92111022026028,3.03237007022978,4.58313520472634,427.29,79.705,11.148,4.8431,0.8231
"18","27","anc3","N",2.74979704155894,35.1048142279252,27.4901519403442,2.3526219844426,3.13520671982047,29.9719429791242,46.7767202407996,24.2989153660549,33.0916338373061,1.37528866219816,0.680393634311583,0.0776739013136015,1.13304742973514,1.59926773336821,0.507084614464376,1.21048880884153,0.0548298327163101,0.131233739294933,1.35947782170711,1.50514419707082,0.170610587194195,1.18777690443465,1.53332964535144,1.20194150652555,2.46593876393421,0.128362222487863,0.275117872334974,1.41331903255869,8.0216595461515,0.930716456569316,1.25224433294537,1.60045457554043,5.23506064401888,13.7487027357564,0.623930060388036,1.54088472005577,1.24190847638462,4.05780716197913,0.903646704841318,1.96478670346125,2.41964512268424,5.04172802034142,314.96,59.91,18.4376,7.4864,1.2333
"19","28","anc5","P",5.10708783467455,33.9377645469696,27.8629280922967,4.44019198182041,6.41716456594412,30.1772451475831,39.4364039184081,25.4886253912891,31.1735846827763,1.08634960209418,0.834728325715056,0.0795427404318533,0.881034626165497,1.31038246565198,0.467803646012057,2.39647498255546,0.0451217340414477,0.200428925256904,1.42080500860446,3.81379177553501,0.443848778473325,1.25413380192819,1.60412331576557,1.83561725358238,18.8346620369544,0.218595064421903,2.11196907553098,1.30293983394962,16.7392749124909,1.84611330819712,1.1563302784385,1.46414994898448,9.52707812621205,37.3980774158818,1.08980678455205,3.96482936974517,1.49841897758106,4.07875528528176,0.838583780526205,3.02686803333559,1.01161306485589,6.34598534147501,330.25,77.285,15.2657,6.5307,1.2002
"20","29","anc3","P",3.52179607870003,32.9251930551479,26.9992763633521,3.25383066972645,3.75213849337379,30.2383984657414,36.9298849777066,25.299406878853,29.140849279045,1.46710535019171,0.729261366431449,0.0864073976090795,1.24531470297846,1.67761587604211,0.556653089250718,1.2602194174299,0.0644325208617275,0.14200111726559,1.35758141475923,5.2473647194558,0.594281401639983,1.26707370703245,1.44859300794553,3.0854323048376,12.4799744673956,0.356550174260817,1.3905046491803,1.26617675006041,20.2626530804495,2.19107537564404,1.15543770862201,1.38617325990188,12.7961320250133,37.7521710902501,1.42392246269976,3.94688423921215,1.52525108148773,3.9948733123614,0.81316037238428,3.46045881715281,0.42542148055768,6.20959351951624,439.99,94.22,15.4586,6.4414,1.3491
