"","Pop.fac","Pop.num","Model","T.min","T.max","T.br","T.opt","r.max","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"15","24",15,"Lactin 2",5.90151815798166,39.9757001780222,17.609550275376,32.974211187262,3.404311859992,5.95,39.95,17.55,33.05,3.37191413438852
"16","25",16,"Lactin 2",6.66678633372328,40.0439632024849,18.2839686792965,32.1631702138592,3.54000011228633,6.7,40,18.25,32.15,3.53088022568129
"17","26",17,"Lactin 2",5.99078990750186,40.064226340579,17.6425746315234,33.0304403250831,3.4192543704061,6.05,40.05,17.55,33.05,3.40364404472507
"18","27",18,"Lactin 2",4.89103253381573,39.9958467617409,18.9157992792151,32.159669748436,2.74979704155894,4.95,39.95,18.9,32.25,2.72978830476714
"19","28",19,"Lactin 2",6.04857778314039,39.98634233011,14.7027857132465,35.2895449201334,5.10708783467455,6.05,39.95,15,35.45,5.00734686091342
"20","29",20,"Lactin 2",6.88056811905087,39.8057611741988,17.5039445631636,32.5892083508339,3.52179607870003,6.95,39.8,17.45,32.65,3.48914661716415
"21","3",21,"Lactin 2",7.09171297982259,39.86774628496,17.6914548372621,32.3767925022104,3.75101462291143,7.15,39.85,17.65,32.4,3.7190680472253
"22","30",22,"Lactin 2",5.34047123390772,39.9728521403359,18.6044120646405,32.0782031584682,3.54580550844003,5.4,39.95,18.55,32.1,3.53173069529274
"23","31",23,"Lactin 2",6.58242265601052,39.9477463184148,17.5441384795329,32.7334923198564,3.81003833024573,6.65,39.9,17.5,32.8,3.76049597174201
"24","32",24,"Lactin 2",7.25956325135027,39.9176857859028,16.9288116265342,33.222563320562,3.486890546303,7.3,39.9,16.9,33.3,3.46543327496566
"25","33",25,"Lactin 2",5.20790271700271,39.9700937115813,17.1034133455788,33.5692266745096,3.57250837161983,5.25,39.95,17.1,33.65,3.55245884807505
"26","35",26,"Lactin 2",4.55809070034334,39.9039922936396,15.5320203711846,34.8785089829694,4.40574928792827,4.6,39.9,15.8,35.05,4.32150218035681
"27","4",27,"Lactin 2",9.81154667906224,40.0351669646024,15.0077025187639,34.601687176194,3.73897477734175,9.85,40,15.15,34.8,3.67319696871897
"28","5",28,"Lactin 2",5.79162763441549,39.9463310995253,16.6683756474707,33.8468444986216,3.54375876744369,5.85,39.9,16.8,34,3.48733588902638
"29","6",29,"Lactin 2",8.06633355032826,39.8764674330083,15.0300375329279,34.76391779971,3.87298471931978,8.1,39.85,15.15,34.85,3.82395674656828
"30","7",30,"Lactin 2",7.49957192275485,39.9311244260214,15.3182468606191,34.6770417884183,3.86843883546639,7.5,39.9,15.4,34.75,3.83771209158089
"31","8",31,"Lactin 2",8.39100389707871,39.861885681207,15.7925285619092,33.9892574494956,3.55309005703297,8.4,39.85,15.75,34,3.54307197382345
"32","9",32,"Lactin 2",4.17682070866609,39.7943132396183,18.9093518703682,31.8460690465283,3.45147758039209,4.25,39.75,18.85,31.85,3.43597194699438
"33","anc2",33,"Lactin 2",6.98309588883566,39.9283583801403,17.8755058053582,32.3311095858106,3.60430440256762,7.05,39.9,17.8,32.35,3.57719537516404
