"","Pop.fac","anc","evol","T.min","T.max","T.br","Topt","r.max_T","K.s_I","r.max_I","I.jag","I.mth","I.comp","K.s_N","r.max_N","N.jag","N.mth","N.comp","K.s_P","r.max_P","P.jag","P.mth","P.comp","r.max_S","S.c.mod","S.c.pred"
"25","22","cc1690","C",10.6035318378193,40.0398729875752,15.9466435869419,32.6818127066973,3.92265603122906,7.78956948745014,1.37825956955692,5.25,5.33102095626471,0.187581329768523,8.29101814508115,1.51326293094509,5,4.87060810876414,0.205313171922127,5.51075237886965,1.43283337262319,3.325,3.53563627258241,0.282834523379749,1.3384009692163,3.9532491609834,3.89
"26","22","cc1690","C",8.29448309054632,40.008958444645,16.4153595303868,33.5049266853177,3.85541693491126,7.78956948745014,1.37825956955692,5.25,5.33102095626471,0.187581329768523,8.29101814508115,1.51326293094509,5,4.87060810876414,0.205313171922127,5.51075237886965,1.43283337262319,3.325,3.53563627258241,0.282834523379749,1.3384009692163,3.9532491609834,3.89
"27","23","anc5","L",6.51151180023547,39.9792057483342,17.7073257215839,32.5926151594875,3.97950144067359,4.28697033376315,1.31686385825412,3,3.17190913626809,0.315267542996692,6.11524914589218,1.50638843849724,3.5,3.61853482396447,0.276354947139737,1.81285093908181,1.49010149317958,1.1,1.09149005063451,0.916178758953117,1.82877725088614,3.93700892780485,3.64
"28","23","anc5","L",10.4015216855786,40.0592315867314,17.4390768547688,31.6545955205233,4.0266941798875,4.28697033376315,1.31686385825412,3,3.17190913626809,0.315267542996692,6.11524914589218,1.50638843849724,3.5,3.61853482396447,0.276354947139737,1.81285093908181,1.49010149317958,1.1,1.09149005063451,0.916178758953117,1.82877725088614,3.93700892780485,3.64
"29","24","anc4","C",5.90151815798166,39.9757001780222,17.609550275376,32.974211187262,3.404311859992,7.43105002907937,1.14086367723534,7.05,7.164138814964,0.139584118318766,7.92957004332658,1.27560006602777,6.5,6.20536446972683,0.161150888860525,1.68479430151864,1.62848566758192,0.875,0.883011197506869,1.13248846993497,2.19189890891676,2.94550160242839,3.41
"30","24","anc4","C",10.4186339532731,40.0502073093421,17.1182178238858,31.8909760321964,3.4720414561011,7.43105002907937,1.14086367723534,7.05,7.164138814964,0.139584118318766,7.92957004332658,1.27560006602777,6.5,6.20536446972683,0.161150888860525,1.68479430151864,1.62848566758192,0.875,0.883011197506869,1.13248846993497,2.19189890891676,2.94550160242839,3.41
"31","25","anc2","BS",6.66678633372328,40.0439632024849,18.2839686792965,32.1631702138592,3.54000011228633,3.90352665819702,1.45834498019773,2.35,2.43333571932374,0.410958501146695,5.3232645839479,1.40886889258681,3.5,3.51176511831709,0.28475708548504,0.920332244489631,1.42996872013049,0.575,0.592419066327912,1.68799428789229,1.34124553580179,7.06481780714347,3.89
"32","25","anc2","BS",10.0982958556476,40.1478844098391,18.2646309909347,31.1304262057351,3.54531699051453,3.90352665819702,1.45834498019773,2.35,2.43333571932374,0.410958501146695,5.3232645839479,1.40886889258681,3.5,3.51176511831709,0.28475708548504,0.920332244489631,1.42996872013049,0.575,0.592419066327912,1.68799428789229,1.34124553580179,7.06481780714347,3.89
"33","26","anc3","L",5.99078990750186,40.064226340579,17.6425746315234,33.0304403250831,3.4192543704061,8.03899013779422,1.33649200352161,5.75,5.79765722859689,0.172483463676933,8.03671554107453,1.51780068156581,5,4.69884892506469,0.212818078628955,1.4137234678848,1.40741258344596,0.925,0.934238123767456,1.07039091486371,1.47540209041666,3.95782615358381,3.825
"34","26","anc3","L",10.1758969904403,40.1619450458284,17.1707132636194,32.0195633878278,3.46207567189693,8.03899013779422,1.33649200352161,5.75,5.79765722859689,0.172483463676933,8.03671554107453,1.51780068156581,5,4.69884892506469,0.212818078628955,1.4137234678848,1.40741258344596,0.925,0.934238123767456,1.07039091486371,1.47540209041666,3.95782615358381,3.825
"35","27","anc3","N",4.89103253381573,39.9958467617409,18.9157992792151,32.159669748436,2.74979704155894,7.49735798741555,1.37528866219816,5.05,5.14973489467248,0.194184753284004,8.36782166225795,1.35947782170711,6,5.86130096874801,0.170610587194195,1.63721612093195,1.41331903255869,1.05,1.07444108561921,0.930716456569316,1.24190847638462,4.05780716197913,3.935
"36","27","anc3","N",10.5632477791926,40.2865107999057,18.9775604395726,30.461562608412,2.89049930049435,7.49735798741555,1.37528866219816,5.05,5.14973489467248,0.194184753284004,8.36782166225795,1.35947782170711,6,5.86130096874801,0.170610587194195,1.63721612093195,1.41331903255869,1.05,1.07444108561921,0.930716456569316,1.24190847638462,4.05780716197913,3.935
"37","28","anc5","P",6.04857778314039,39.98634233011,14.7027857132465,35.2895449201334,5.10708783467455,4.72656586200901,1.08634960209418,4.7,5.02874301071752,0.198856851079633,3.46323314523162,1.42080500860446,2,2.25301960600101,0.443848778473325,0.718633178699981,1.30293983394962,0.525,0.541678560876948,1.84611330819712,1.49841897758106,4.07875528528176,3.81
"38","28","anc5","P",10.8545409122144,40.0152792129506,14.9489336333436,33.260176899099,5.02102745433592,4.72656586200901,1.08634960209418,4.7,5.02874301071752,0.198856851079633,3.46323314523162,1.42080500860446,2,2.25301960600101,0.443848778473325,0.718633178699981,1.30293983394962,0.525,0.541678560876948,1.84611330819712,1.49841897758106,4.07875528528176,3.81
