"","Sp.id","Sp.name","Study","RSE","RSE.mu","RSE.range","RSE.sd","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t"
"11",29,"Fragilaria crotonensis",8,0.0782669407363244,0.134618061121989,0.140238202358582,0.569196877326382,3.08131325674042,-4.12793018427606,6.97124314707157,0,36.5453393891457,35.8646732922391,37.3569398851449,0,26.1345196008514,25.1769745076165,27.1386493511853,0.432789921786113,0.398463513685746,0.465650790791406,37.9805162355513,11.2627151094429,14.7155230185531,0.743743743743744,37.9805162355513,33.3864568209188,34.6248179606826,0.743743743743744,0.0682374335501564,-0.424231934800965,39.6759894433564,12.4645611326571
"12",56,"Staurastrum pingue",8,0.196660597212811,0.26925054382915,0.270986878152471,0.880965859903319,2.23003134126358,-50.4312549833285,10.1529161226298,0,38.5025702918426,36.5830118229507,41.8440982330872,0,28.5125665626202,26.4351356717446,30.3834072284397,0.487703121472625,0.398827040338119,0.574149499338762,37.9805162355513,9.63328009288122,18.0781113089919,0.743743743743744,37.9805162355513,34.1708941470413,38.8547045085285,0.743743743743744,0.0715700381893308,-0.2682606750547,41.5145320015145,12.493848847324
"13",1,"Acutodesmus obliquus",9,0.297020900952374,0.165167299897004,0.165167299897004,0.477861689414492,14.38889092527,10.2275432424597,17.1308142795117,0,37.1340887863704,36.5124830845023,37.8440395834142,0,32.0920491083525,31.6327633831447,32.7156068338347,1.45329127170656,1.27502145072961,1.62583664849963,37.9805162355513,23.6749085859949,25.2111904456438,0.743743743743744,37.9805162355513,35.3575096844127,36.6348098398309,0.743743743743744,0.185934282385648,-0.271947267758819,37.459289784181,5.35448148462526
"14",45,"Phaeodactylum tricornutum",10,0.42388738576298,0.280909613857444,0.315878217764818,1.02030613988379,-3.14517776420753,-68.1107938223068,8.06909146790229,0.023023023023023,27.8217605632215,25.9527187589359,32.3891687725091,0,22.5669186675324,19.6201513384497,29.645539982608,1.0390558750035,0.822420839513829,1.26326448835703,37.9805162355513,-6.58946542586845,15.8650813906878,0.743743743743744,37.9805162355513,25.1605890391192,31.8990283385197,0.743743743743744,0.0327389261477418,-0.885528171855923,29.5573716954191,2.3127177943359
"15",8,"Chaetoceros deflandrei",11,0.113277411880911,0.188795686468184,0.188795686468184,0.592649916936613,-38.1030438896688,-89.7813843372153,-13.7697826397912,0.17017017017017,16.0038631627084,15.8944457163925,16.106605312141,0,13.7961376285471,12.4969482235656,15.4405241681477,0.496926726332311,0.418197130338688,0.563843792310973,37.9805162355513,-9.92432035753268,0.966550285604211,0.743743743743744,37.9805162355513,15.4512462372999,15.952239332229,0.743743743743744,0.00994927106785927,-0.644499214512491,16.3685052969643,0.476227505408806
"16",14,"Corethron criophilum",11,0.0540491676477219,0.2078814140297,0.2078814140297,0.667848652593438,-10.0259817588996,-28.2597248782712,-3.25912502281639,0,7.94808107029373,7.23035889118629,8.68562784670081,0,1.87004636125381,-2.3057680709055,3.90115459133819,0.179964337890521,0.148109020270229,0.21214575239697,37.9805162355513,-9.67264570367158,-1.28471727809302,0.743743743743744,37.9805162355513,5.47568607110458,7.37550186363589,0.743743743743744,0.0647197646797188,-0.497293781396304,11.6434338637074,6.44782693546595
"17",38,"Nitzschia cylindrus",11,0.1014104332382,0.171882090234237,0.171882090234237,0.551180703384285,-47.2944939132166,-90.5935763767344,-11.4265181130141,0.657657657657658,10.0059632350971,9.86918184947284,10.1730567860927,0,6.43616693810257,3.76669902287212,8.45578491093102,0.438761709253507,0.390040134242416,0.48966074384182,37.9805162355513,-9.9669387854016,-2.38223511161197,0.743743743743744,37.9805162355513,9.22781697874207,9.95032899165625,0.743743743743744,0.0014088126434445,-0.58589697303722,10.530677999582,0.624955720808404
"18",39,"Nitzschia kerguelensis",11,0.0552767532211659,0.102364357816974,0.102364357816974,0.324957700536563,-9.41791841228351,-22.5022564873144,-4.08990135388118,0.002002002002002,7.9921864086499,7.86312294243219,8.13350835512301,0,4.26441314864127,3.55868798843475,4.95651449763218,0.437187938693744,0.396170591204463,0.472004201502595,37.9805162355513,-6.86895547557204,-0.637077874330833,0.743743743743744,37.9805162355513,6.96649963174764,7.40224798192299,0.743743743743744,0.0421467002307276,-0.661450509519705,9.21794588298349,1.75965912797686
"19",40,"Nitzschia turgiduloides",11,0.0644006370398248,0.12880127407965,0.12880127407965,0.418576729430373,-4.92912658903897,-7.26537930572537,-2.80427855795888,0,9.01264119348612,8.79921872227705,9.2003590046396,0,4.82609482168933,4.2388423000835,5.25960285070797,0.416958275783922,0.380188590102097,0.448457246182419,37.9805162355513,-2.25662836599616,0.447095216545831,0.743743743743744,37.9805162355513,7.8101812285698,8.18105383610495,0.743743743743744,0.105422965302494,-0.567568603401964,10.5802609061616,3.79105700606378
"20",57,"Stellarima microtrias",11,0.0783939294242227,0.132871066820716,0.132871066820716,0.375987186224979,-68.9847255830133,-94.7426655863312,-46.6274382941961,0.137137137137137,9.97117334631159,9.60994611245232,10.447105257943,0,1.92362228322547,-1.83499781408521,4.10570430051406,0.474318517017368,0.423265750916017,0.538194522932343,37.9805162355513,-9.96909510925168,-5.91978404921252,0.743743743743744,37.9805162355513,7.34927674233544,8.73125097437883,0.743743743743744,0.0960755002610159,-0.001,9.97726988893882,6.32948687514279
