"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"30","25",16,"16.C05",6.8660441518191,1.72091761725624,3.25,3.31202203142208
"31","25",16,"16.E03",3.55878028096213,1.5227650449118,1.9,2.06999305580456
"32","25",16,"16.F02",3.97249059324499,1.33431788785267,2.5,2.87297344813566
"33","26",17,"17.B09",6.89394506839749,1.17442493973052,6.1,6.28328863082254
"34","26",17,"17.C06",7.30430259044497,1.41558110219726,4.65,4.78085530424223
"35","26",17,"17.E02",5.71325009820302,1.10445252485285,5.5,5.87639860033416
"36","26",17,"17.F11",7.28344854082609,1.45536732385805,4.4,4.55537193973951
"37","27",18,"18.B07",7.82365767305492,1.7254107645252,3.65,3.7594026331958
"38","27",18,"18.C07",3.48401457321178,0.5732379838936,NA,147.382575525102
"39","27",18,"18.D11",6.68125118552394,1.60595074013416,3.45,3.57712894147721
"40","27",18,"18.G02",7.4954671792176,1.50332619965502,4.35,4.44963960705947
"41","28",19,"19.B02",3.74106626335004,0.899254331167758,5.35,6.17529951722288
"42","28",19,"19.C05",5.6479933885465,1.23507554839511,4.3,4.68521827683627
"43","28",19,"19.E03",5.74408286011423,1.1216687437081,5.3,5.72701692536354
"44","28",19,"19.F02",6.61733086676626,1.18581493192116,5.7,5.92140758612638
"45","10",2,"2.C02",6.47581824225707,1.38638141295048,4.15,4.38835888469004
"46","10",2,"2.D05",7.78833287962606,1.52518901203064,4.45,4.51876923403283
"47","10",2,"2.D11",7.13970273060208,1.40601730751854,4.55,4.72594767696235
"48","10",2,"2.F08",8.35447178618983,1.68352405731261,4.15,4.16413353128989
"49","29",20,"20.B10",5.94326984725043,1.27677326623797,4.35,4.64335274657869
"50","29",20,"20.D02",7.36097746872042,1.62476866165782,3.75,3.87140186495096
"51","29",20,"20.E06",5.86431345126792,1.66035974460271,2.85,2.98449261599964
"52","29",20,"20.F04",6.37087337800673,1.11935969834397,6.1,6.37816614648172
"53","3",21,"21.B03",4.51494225412696,1.2956914240955,2.9,3.43672303292051
"54","3",21,"21.C10",6.48661300578288,1.52536867526072,3.5,3.76281453534563
"55","3",21,"21.D09",6.21976528056702,1.42452984807891,3.8,4.02885865058025
"56","3",21,"21.F09",3.85800916590329,1.2375407104659,2.45,3.18871633767985
"57","30",22,"22.C03",8.0319706106065,1.81370352773384,3.55,3.58769313672581
"58","30",22,"22.C09",7.22097638994439,1.49185779508105,4.15,4.3394462113365
"59","30",22,"22.E03",6.38000328323893,1.54187907248282,3.4,3.6387391673187
"60","30",22,"22.E08",5.42648219039972,1.29612382224693,3.75,4.12815063822847
"61","31",23,"23.B04",6.22058395148904,1.07928046548101,6.4,6.70837292060863
"62","31",23,"23.D06",5.53932305945099,1.19417421850116,4.45,4.89143333613281
"63","31",23,"23.D09",7.41857520573341,1.62617670460589,3.8,3.89654181831555
"64","31",23,"23.F08",7.40545234774297,1.3087300937414,5.4,5.53878273279129
"65","32",24,"24.C04",5.83091481620947,1.22964701589902,4.55,4.87616941396134
"66","32",24,"24.D07",6.39930059514899,0.978838420887909,8.3,8.55606399643669
"67","32",24,"24.D08",6.92055024617457,1.34382809256336,4.75,4.94433431849024
"68","32",24,"24.F07",6.80789022546403,1.02002512689633,8.1,8.28741367233836
"69","33",25,"25.C03",6.26889292273316,1.33517471073642,4.25,4.52875975971342
"70","33",25,"25.D05",5.80718558214207,1.33122339233588,3.85,4.2167081008135
"71","33",25,"25.E08",5.88119178749008,1.3312117473515,3.95,4.27050989861723
"72","33",25,"25.G03",5.78675163983978,1.24014915907747,4.35,4.76451507005561
"73","35",26,"26.C04",6.89916352772291,1.38276859280323,4.5,4.6957693929
"74","35",26,"26.D07",6.73904732433444,1.60789760310426,3.45,3.60136953309914
"75","35",26,"26.D08",4.97182373393068,1.24100939244984,3.65,4.08837428950183
"76","35",26,"26.F07",7.31622349731948,1.44759720264527,4.45,4.61592842596682
"77","4",27,"27.B03",5.33420734096115,1.495131014981,2.8,3.19437176511458
"78","4",27,"27.D04",7.22793139442744,1.51895503564759,4.1,4.22088776888894
"79","4",27,"27.D10",8.43835696268334,1.63735189425247,4.35,4.38619909085647
"80","4",27,"27.F03",6.77196696734609,1.44927835887936,4.05,4.2644706956467
"81","5",28,"28.B09",5.95257050956107,1.28593970229242,4.3,4.59189582113724
"82","5",28,"28.C04",4.25252244057045,1.15753743164308,3.25,3.98537805434406
"83","5",28,"28.D06",6.59136737041331,1.40436344680588,4.15,4.37153661896978
"84","5",28,"28.E10",6.89453261030114,1.25976318705008,5.3,5.517492679266
