"","population","population.number","nitrate.lvl","well.ID","r.exp"
"357","19",9,1000,"B03_28",1.4376285267837
"358","19",9,1000,"D04_28",1.35570034695448
"359","19",9,1000,"D10_28",1.28432003431386
"360","19",9,1000,"F03_28",1.50139946611342
"361","2",10,5,"B10_2",0.790926913807054
"362","2",10,5,"C08_2",0.737582015089123
"363","2",10,5,"E04_2",0.572726744500837
"364","2",10,5,"F09_2",0.800997136525325
"365","2",10,10,"B10_5",0.84137865150998
"366","2",10,10,"C08_5",0.942427763699896
"367","2",10,10,"E04_5",0.727524987945249
"368","2",10,10,"F09_5",0.956261273981262
"369","2",10,20,"B10_8",0.806394826852749
"370","2",10,20,"C08_8",1.45197352666545
"371","2",10,20,"E04_8",0.85437134818001
"372","2",10,20,"F09_8",1.32527082381009
"373","2",10,40,"B10_11",0.90763209039663
"374","2",10,40,"C08_11",0.960152702070425
"375","2",10,40,"E04_11",1.27209735383458
"376","2",10,40,"F09_11",1.31757638810346
"377","2",10,60,"B10_14",1.07412411997984
"378","2",10,60,"C08_14",1.27379671119398
"379","2",10,60,"E04_14",1.58307171077832
"380","2",10,60,"F09_14",1.07921357354649
"381","2",10,80,"B10_17",1.6191030281593
"382","2",10,80,"C08_17",1.67568629187576
"383","2",10,80,"E04_17",1.64067262527936
"384","2",10,80,"F09_17",1.7016025192014
"385","2",10,100,"B10_20",1.47807338896578
"386","2",10,100,"C08_20",1.5651104819238
"387","2",10,100,"E04_20",1.59938845328218
"388","2",10,100,"F09_20",1.49894401151921
"389","2",10,400,"B10_23",1.715711315048
"390","2",10,400,"C08_23",1.97311770226404
"391","2",10,400,"E04_23",1.7452392469209
"392","2",10,400,"F09_23",1.87351922712624
"393","2",10,600,"B10_26",1.39516373610944
"394","2",10,600,"C08_26",1.29288058468835
"395","2",10,600,"E04_26",1.81018387032681
"396","2",10,600,"F09_26",1.30967633432096
"397","2",10,1000,"B10_29",1.40113404466148
"398","2",10,1000,"C08_29",1.47109709867966
"399","2",10,1000,"E04_29",1.53222125265354
"400","2",10,1000,"F09_29",1.42427246455882
"401","20",11,5,"B06_3",0.539963296936025
"402","20",11,5,"D03_3",0.796715831011526
"403","20",11,5,"D08_3",0.638105576725814
"404","20",11,5,"E09_3",0.497209794688304
"405","20",11,10,"B06_6",0.866262019002077
"406","20",11,10,"D03_6",0.732933763686773
"407","20",11,10,"D08_6",0.888916328171276
"408","20",11,10,"E09_6",0.899143033016554
"409","20",11,20,"B06_9",0.962829465047135
"410","20",11,20,"D03_9",0.8403089471201
"411","20",11,20,"D08_9",0.976815552158248
"412","20",11,20,"E09_9",0.936934022576744
"413","20",11,40,"B06_12",1.07246710085346
"414","20",11,40,"D03_12",1.00505400799675
"415","20",11,40,"D08_12",0.932357152845161
"416","20",11,40,"E09_12",1.02904111829768
"417","20",11,60,"B06_15",1.18538258739806
"418","20",11,60,"D03_15",1.22638889825519
"419","20",11,60,"D08_15",1.17407678334049
"420","20",11,60,"E09_15",1.10933344223109
"421","20",11,80,"B06_18",1.47031769395157
"422","20",11,80,"D03_18",1.22825600366109
"423","20",11,80,"D08_18",1.14345673666991
"424","20",11,80,"E09_18",1.34933776912742
"425","20",11,100,"B06_21",1.738786681786
"426","20",11,100,"D03_21",1.68969001066584
"427","20",11,100,"D08_21",1.46219444522497
"428","20",11,100,"E09_21",1.45524985753645
"429","20",11,400,"B06_24",1.64565411489084
"430","20",11,400,"D03_24",1.55098885189057
"431","20",11,400,"D08_24",1.37254192935514
"432","20",11,400,"E09_24",1.53158771884005
"433","20",11,600,"B06_27",1.5895480895802
"434","20",11,600,"D03_27",1.27134152722281
"435","20",11,600,"D08_27",1.35428982944006
"436","20",11,600,"E09_27",1.36026851026203
"437","20",11,1000,"B06_30",1.5146368350087
"438","20",11,1000,"D03_30",1.72214853813711
"439","20",11,1000,"D08_30",1.33081277902953
"440","20",11,1000,"E09_30",1.22707549875712
"441","21",12,5,"C02_2",1.1109472029777
"442","21",12,5,"C09_2",1.35351170546364
"443","21",12,5,"E09_2",1.12629750847395
"444","21",12,5,"F04_2",1.19739126963265
"445","21",12,10,"C02_5",1.22680243471138
"446","21",12,10,"C09_5",1.1071472125408
"447","21",12,10,"E09_5",1.01775253825505
"448","21",12,10,"F04_5",1.22950829212064
"449","21",12,20,"C02_8",1.2621168223409
"450","21",12,20,"C09_8",1.18805391932405
"451","21",12,20,"E09_8",1.05302532155001
"452","21",12,20,"F04_8",1.25340730841215
"453","21",12,40,"C02_11",1.32516769359725
"454","21",12,40,"C09_11",1.36300474501897
"455","21",12,40,"E09_11",1.3010635478878
"456","21",12,40,"F04_11",1.31050633765838
"457","21",12,60,"C02_14",1.47341416726785
"458","21",12,60,"C09_14",1.53210907843506
"459","21",12,60,"E09_14",1.53228005304367
"460","21",12,60,"F04_14",1.49671714340701
"461","21",12,80,"C02_17",1.76002635164915
"462","21",12,80,"C09_17",1.9323099577921
"463","21",12,80,"E09_17",1.58659344135766
"464","21",12,80,"F04_17",1.54633841972392
"465","21",12,100,"C02_20",1.69226906528241
"466","21",12,100,"C09_20",1.62753933642904
