"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"113",29,"Chlorella sp. strain MFD-1","James et al. (1989)","a",0.0481353584536077,0.0648813006838738,0.468900157804624
"114",29,"Chlorella sp. strain MFD-1","James et al. (1989)","b",-0.11997721771188,0.616953636785568,0.848257830866098
"115",29,"Chlorella sp. strain MFD-1","James et al. (1989)","tmax",44,22.0024021823203,0.0627977071554069
"116",29,"Chlorella sp. strain MFD-1","James et al. (1989)","delta_t",19.1658404042294,19.1893364739006,0.332769846790604
"117",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","a",0.163611120820768,0.170653260342042,0.391984861451198
"118",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","b",0,1.29582470533036,1
"119",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","tmax",22.4496334622933,3.89849060306524,0.00451097404042352
"120",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)","delta_t",5.79346328162507,4.5292521074849,0.270017734360462
"121",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","a",0.0427613619291505,0.0417550486010633,0.335754593216319
"122",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","b",-1.05019830528623,0.385126836461615,0.0259704440474897
"123",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","tmax",24.9306367192713,2.37120599290788,5.83176036595307e-06
"124",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)","delta_t",3.69868562962478,4.61265717248184,0.445799008780786
"125",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","a",0.171220421021573,0.0513726710009657,0.00421651768925801
"126",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","b",0,0.268225460614145,1
"127",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","tmax",25.1866499861214,1.41956385666183,6.01325918962026e-12
"128",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)","delta_t",5.65727436850938,1.4569142914786,0.00132007776445722
"129",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","a",0.190842442148563,NA,NA
"130",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","b",0,NA,NA
"131",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","tmax",22.5371653659787,NA,NA
"132",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)","delta_t",5.15630787712144,NA,NA
"133",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","a",0.138930222426253,0.0212534666667822,1.31929453098317e-05
"134",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","b",-0.209234772275126,0.0872538001469502,0.0309872800668645
"135",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","tmax",35.3009244647581,1.30915542437193,1.81357803824577e-13
"136",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)","delta_t",7.08730769384552,1.01040895810332,6.10826762415492e-06
"137",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)","a",0.143630669589015,0.0354227734880747,0.00118220149386613
