"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"71",18,"Chaetoceros didymus","Hulburt (1982)","tmax",36.1825092454789,13.4226096469312,0.0430076567743621
"72",18,"Chaetoceros didymus","Hulburt (1982)","delta_t",7.95132021490408,73.5410018128686,0.918104540921877
"73",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","a",0.178643485243178,0.081626764267964,0.0802441520702038
"74",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","b",0,0.651917106421791,1
"75",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","tmax",35.9367021990421,1.10028846651861,5.05584141741287e-07
"76",19,"Chaetoceros lorenzianus clone Bermuda","Hulburt (1982)","delta_t",5.559898038711,2.42380244235562,0.0703082306429428
"77",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","a",0.0642023806029331,1.41307143825529,0.965938673000341
"78",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","b",-1.25593260980649,20.1606470602687,0.953315552865101
"79",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","tmax",39.1289317752959,32.5950723634305,0.296193074914372
"80",20,"Chaetoceros lorenzianus clone Bushehr","Hulburt (1982)","delta_t",8.90213302589357,116.826674192391,0.942919408615837
"81",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","a",0.0363458065756175,0.00643957556167611,0.00242283204316598
"82",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","b",-1.13404669155079,0.229227212257146,0.00429507675115812
"83",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","tmax",36.9961409532017,0.644705238887045,3.04029496559774e-08
"84",21,"Chaetoceros lorenzianus clone Slope water","Hulburt (1982)","delta_t",2.48926331538266,1.32384483800837,0.118826527649626
"85",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","a",0.0769756347657727,6.20382653137706,0.992101375451062
"86",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","b",-1.89927188550467,88.2096879846825,0.986294847342642
"87",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","tmax",37.5182912440107,86.9942335671774,0.740786141215438
"88",22,"Chaetoceros pseudocurvisetus","Suzuki & Takahashi (1995)","delta_t",7.75477322474904,406.331935871053,0.987851698875954
"89",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","a",0.0472087136170744,7.64622624093425,0.996069483468741
"90",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","b",-0.163406014958754,82.9847919681915,0.998746428554823
"91",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","tmax",16.2096750236579,576.542543229212,0.982105948690208
"92",23,"Chaetoceros sp.","Suzuki & Takahashi (1995)","delta_t",8.76372133567782,392.05107105486,0.98577167693741
