"","Sp.id","Sp.name","Study","T.min","T.max","T.opt","r.max","T.br"
"29",29,"Chlorella sp. strain MFD-1","James et al. (1989)",-32.4593803701696,39.2411681172096,24.2746522485305,0.125751287244228,34.8280479554184
"30",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)",-1e+09,22.4496208377242,16.4997308353487,0.77524684381453,14.5591141160431
"31",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)",1.2524082253322,22.7023665681842,16.8282521173958,0.678610618547586,13.1260940012515
"32",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)",1.11265033340919,25.908527624691,19.1780605991424,0.864893681091611,14.4703016838704
"33",33,"Coccolithus pelagicus ssp. braarudii","Buitenhuis et al. (2008)",0.498740525369383,23.6212170378537,16.9682623591998,0.417537529447808,13.9443514610952
"34",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)",9.66636968005633,34.2826851361382,28.0938798135116,0.560508445065212,13.6886324556058
"35",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)",10.2864193077759,33.0653665374189,28.5020627319216,0.533790020517605,12.9964829531565
"36",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)",10.0139970867898,32.7829547065677,27.6410196775159,0.580552850833672,13.3507856563271
"37",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)",-1e+09,33.026266988717,27.7165347213544,0.601686557153357,12.9896495951837
"38",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)",-5.91278672029783,27.2836767841297,19.2051505468495,1.57959231047631,18.2656507487639
"39",39,"Corethron pennatum","Fiala & Oriol (1990)",-1e+09,6.95908949287776,3.10572816091121,0.219975820434693,9.43562084558791
"40",40,"Cryptomonas sp. strain CRFI01","Renaud et al. (2002)",-12.2736760541353,32.9401444309116,26.0683145604587,0.332158118801848,24.5622596014448
"41",41,"Cryptomonas sp. strain F","Throndsen (1976)",-15.9948790355133,27.2574190594184,21.5672013420374,0.968189461654714,20.6172386264104
"42",42,"Cylindrotheca closterium","Maddux & Jones (1964)",5.20087786781816,33.1136078404526,24.2317046972097,0.608292021492423,17.7052225270019
"43",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)",15.3015487993613,35.2993598251241,27.9552307793699,0.419274568298179,13.4078461914291
"44",44,"Dactyliosolen fragilissimus","Ignatiades & Smayda (1970)",-5.25365685892821,32.2924204550775,21.3250880622195,0.787082361705038,22.9425220511992
"45",45,"Detonula confervacea","Guillard & Ryther (1962)",-23.7287471139276,18.5181987731127,8.3612802493681,0.639695232908143,23.1727868780367
"46",46,"Detonula confervacea","Suzuki & Takahashi (1995)",-11.3787251328859,14.9989263546999,8.73221564174562,0.911803657786902,14.4321376873528
"47",47,"Dunaliella tertiolecta strain CCAP 19/6B","Reay et al. (1999)",-2.97977061101045,28.632543816305,20.661144163452,1.31362134280358,17.6453582453081
"48",48,"Emiliania huxleyi","Rhodes et al. (1995)",9.63640873768017,29.9759182437119,23.2331627507966,1.05964204097806,13.1595171458486
"49",49,"Emiliania huxleyi clone M","Mjaaland (1956)",5.36917579799848,26.7959796973279,21.894825322699,0.520419162519932,11.1590147067104
"50",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)",-1.23762016386992,26.4298941148021,21.2410917124398,1.43211789634106,12.3031358880438
"51",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)",-4.44189767478405,26.9991641336388,21.0076180976552,0.944223914289633,16.8185555348486
"52",52,"Emiliania huxleyi strain CCMP373","Watabe & Wilbur (1966)",1.65532576264668,28.5512703962367,21.3136205559402,0.961367909343255,16.1787050360494
"53",53,"Emiliania huxleyi strain G1779Ga","Conte et al. (1998)",-0.726787264019232,29.9137987298785,22.4993447306787,1.15431392880091,16.612855647987
"54",54,"Emiliania huxleyi strain M181, Bigelow 1A1","Conte et al. (1998)",4.67622004886435,28.7761194464491,24.8021315601929,1.02827285864285,12.6276837161491
"55",55,"Emiliania huxleyi strain S. Africa","Conte et al. (1998)",8.15254220869098,30.3643989139199,23.7156592142754,0.886864202057737,13.67653200745
"56",56,"Emiliania huxleyi strain Van556","Conte et al. (1998)",-36.53526264926,27.0173681260363,19.0929716614079,0.761671985073976,30.1046557520303
"57",57,"Eucampia zodiacus","Nishikawa & Yamaguchi (2006)",-1e+09,28.5622138948671,22.9400881031482,3.31821787909257,13.7587204239647
"58",58,"Eutreptiella gymnastica","Throndsen (1976)",-8.19020797866717,26.4916172374897,18.9771507264747,1.51666279923846,18.3230754352311
