"","Sp.id","Sp.name","Study","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br","T.br.min","T.br.max","T.br.na","a","b","tmax","d.t"
"22",26,"Chattonella marina","Kahn (1998)",8.57193867685446,7.3448185749596,10.2137078295575,0,34.9029671985266,34.3825530588434,35.2285217680279,0,25.4773368120514,24.8362667195112,26.4295478540784,0.414565687564392,0.377040526092818,0.453990298031338,17.3836290388957,16.3860790212698,18.5288072291471,0,0.0440067953129055,-1.13285239700999,40.9805967599149,11.1205676985043
"23",27,"Chattonella marina var. antiqua strain Ho-1","Nakamura (1983)",10.5948319088058,7.36056288269543,12.2158459888414,0,30.9868002369652,30.8540482512571,31.1621390660106,0,26.1234553901045,25.6165316917437,26.532457785782,0.475956992565569,0.445851703543188,0.507386302756364,10.9534653514453,10.1886881491902,11.7265481221063,0,0.187759591061987,-0.127733904528997,31.4286986453125,5.30274261508925
"24",28,"Chlamydomonas strain UMACC 229","Teoh et al. (2004)",-13.5517510619348,-32.9352713410324,-1.95066108893652,0.042042042042042,30.2865471526056,25.8614617280803,36.2082280095667,0,16.2822546916525,8.84172975542095,20.6745026385085,0.314483924775598,0.212608020046981,0.405856180240284,27.6570654954501,21.8805324122376,35.9071220004509,0.147147147147147,0.0348931951152234,-0.526407687178819,38,14.7540379080879
"25",29,"Chlorella sp. strain MFD-1","James et al. (1989)",-14.1474476282363,-55.0004178385046,-2.31045901121424,0.012012012012012,39.3704928470923,38.1424023104309,40.7865385764282,0,24.2742461462862,22.8465839870696,25.1175438391769,0.126377789755303,0.119789249038942,0.133253230436768,31.9405637941874,27.7937383748574,43.3335394323457,0,0.0541302668938472,-0.0744442953598032,42.2446293253247,17.4766728333906
"26",30,"Chrysochromulina polylepis strain B3","Edvardsen (1992)",-1.62288750779009,-34.0623267140865,2.602407162843,0,22.4718638279363,22.0202086120367,23.121135648527,0,16.2623409400852,15.1241002350405,17.2738021036543,0.784316020451565,0.677705587247558,0.899561962064148,13.7401347350654,11.6189379704213,16.2535388417864,0,0.131599907162536,-0.336086482112041,23.3456399359146,6.54158420166408
"27",31,"Chrysochromulina polylepis strain B4","Edvardsen (1992)",-1.69098743054875,-37.2728967203144,4.58128529788987,0,22.7164219463177,22.1502305622856,23.4931044202039,0,16.7802863764668,15.6176208601515,17.8114892031178,0.682529231301097,0.572474491446532,0.787562540147892,13.2550903684105,10.7775822526451,16.1664213218559,0,0.147435507892593,-0.20759247948904,23.3501955484638,6.27917475984656
"28",32,"Chrysochromulina polylepis strain K","Edvardsen (1992)",-1.27367489386964,-6.20187346998799,1.61667375987834,0,25.6928660987236,24.8138671764876,26.9319259673924,0,19.3017817171198,18.8643787531092,19.7386384048982,0.865702334497871,0.830084225533927,0.904080983422789,14.4420227604079,13.0880942890594,16.093177310779,0,0.136217657564321,-0.236253397337466,26.3240033352407,6.74902988889588
"29",34,"Cochlodinium polykrikoides strain 02B1","Yamatogi (2005)",9.7284916344788,8.2881837893224,11.0636460422869,0,34.4336565867324,33.0475171314362,36.1362050796174,0,28.1588692229566,27.5833370183561,28.9846219558916,0.560356877403137,0.537025728599211,0.580715528700191,13.8652227814672,12.5846372330094,15.853117155933,0,0.140443694006446,-0.206943837800074,35.2457580366001,7.01571545853215
"30",35,"Cochlodinium polykrikoides strain 02B2","Yamatogi (2005)",10.1705605769704,9.02248587981135,11.3146105357159,0,31.2817319908369,31.0105926266302,34.5721364196886,0,28.6494559462732,28.016942658276,29.2053260835698,0.559988476287153,0.511393187092096,0.596515674804046,11.1755719506078,10.4371944587176,14.6782031433394,0,0.0215014259961528,-1.24534291313932,32,0.874622819260736
"31",36,"Cochlodinium polykrikoides strain 03H1","Yamatogi (2005)",10.4184916948103,9.48932698209245,11.2470341799937,0,34.4647707090335,34.3012186184949,34.8159035345826,0,27.5509360090462,27.2702962381949,28.2083084167409,0.562416012897139,0.533058321049031,0.583012060339848,15.0972129992054,14.661912094972,15.5819272891836,0,0.0277830035709795,-1.32905760711888,38,4.3697476243756
"32",37,"Cochlodinium polykrikoides strain KG8-ND14","Yamatogi (2005)",-18.5112905434364,-20.5161295820581,-16.1699281152371,0,33.0468428518626,32.6115463040905,33.5344571549671,0,27.7312856800307,27.4566575205241,27.9885600812508,0.602117649664824,0.584799170745247,0.61750695274569,13.0222803140824,12.3297545447185,13.6621191039361,0,0.187302565262246,-0.001,33.0500411950423,5.32081652200196
"33",38,"Conticribra guillardii clone 7-15","Guillard & Ryther (1962)",-4.00282608433081,-10.6608584036728,-0.900896018660528,0,26.9010983389277,26.2487059508697,27.9296179689196,0,19.5369867233745,18.8667395225898,20.2960683555797,1.61991471653355,1.45804809216211,1.81835426549411,16.9460238338077,15.2013562799195,19.2534111065609,0,0.079886879363135,-0.668878153586764,27.8606633934078,6.3908038998672
"34",39,"Corethron pennatum","Fiala & Oriol (1990)",-3.130054321055,-4.77258491054469,-1.9856643435566,0,6.92571780068782,6.68546015256885,7.21848016003959,0,3.45432785387759,2.95053320468145,4.01768506371466,0.229728893774155,0.19594654619109,0.265458927386188,6.65269756719488,5.82439109419918,7.74452220927952,0,0.0967570820821227,-0.647967338662452,9.19742059495827,3.65920876811635
"35",43,"Cylindrotheca closterium strain NT-6","Renaud et al. (1995)",15.2538290485185,12.9144883373804,17.6422375767501,0,35.4599139523492,34.0531110740498,37.5160309206538,0,28.0273680483905,26.5376067720864,29.5648561547736,0.417008355167012,0.283217418893925,0.539059806822276,13.5916388841545,11.5923630024485,15.7090377872775,0,0.058802487342382,-1.33399468394607,41.1663213163843,10.2688515742348
