population,population.number,temperature,well.ID,r.log,r.log.cln,r.exp.ln,r.exp.log,r.40.ln.early,r.40.ln.full
10,2,34,D11_71,1.2817181455514932,1.2817213933212088,4.052060922171673,4.971638053915066,NA,0.7977582169047701
10,2,34,F08_71,1.1535761002152891,1.1535800027848337,3.784272620185966,8.24542796704438,NA,0.8119107300634313
10,2,40,C02_86,11.868057603472742,8.936046461494207,-0.5412740439450288,NA,4.7143228765903995,-0.33588608017339944
10,2,40,D05_86,-5.420604601655285,-4.754559463658629,-0.49564217250790416,NA,3.1302534907754267,-0.7663213545251183
10,2,40,D11_86,-5.843289948143618,-3.0397303066705423,-0.3245598228384888,NA,3.156755259680794,-0.5740044229411155
10,2,40,F08_86,-6.550063679158596,-5.898056921644885,0.20213447809085497,NA,2.3478339836325053,-0.5841947430872433
11,3,10,B07_1,0.3026498614106928,0.30264987994211023,0.25993564852330575,0.29718231414608265,NA,0.28262675334041215
11,3,10,C07_1,0.49126813493982785,0.4912682377116008,0.32064053787506597,0.35444474237310725,NA,0.29143237618982787
11,3,10,D11_1,0.7700141671034431,0.8013713709737385,0.39929817388555017,0.5371288829693003,NA,0.3726875273776406
11,3,10,G02_1,0.500980953603754,0.5009812623382126,0.25906625035960423,0.5715247883731968,NA,0.20253134827852085
11,3,16,B07_16,0.9755857248208348,1.1177026962956425,1.125094374015911,1.4370490911064222,NA,0.6017700223910136
11,3,16,C07_16,0.9863563744724212,1.125051431201425,0.9854054496277478,1.6024741021792597,NA,0.5838151430814545
11,3,16,D11_16,1.0017346837425483,1.120798165203072,1.07718876381545,2.160988496348505,NA,0.624407582898936
11,3,16,G02_16,1.1921123539245972,1.2550484167738885,1.0557041258433402,2.0777668342178184,NA,0.6004519419275158
11,3,22,B07_31,0.7572907625697283,0.7572898421839188,1.7426012171336185,4.549706571442592,NA,0.592207959460134
11,3,22,C07_31,0.8016191500657232,0.8016192084225859,1.9767903570583534,4.287146531364843,NA,0.614392375203734
11,3,22,D11_31,1.0251314572221213,1.0251310096324762,2.4435985289965734,5.165832577489844,NA,0.6415701636879956
11,3,22,G02_31,0.8837390956856698,0.8837389867240552,2.0814698533015137,4.992209063395679,NA,0.5729177648630109
11,3,28,B07_46,2.3050284961430534,1.9037472772350272,3.3426394517940614,3.970341403303052,NA,0.06975398910671322
11,3,28,C07_46,2.3535448697812784,1.8537331161372679,3.1540763729088357,3.2982284879226107,NA,0.13723031934930888
11,3,28,D11_46,2.098937937596757,1.564972041672425,3.2087604836765102,3.858353478997385,NA,0.10012981962161713
11,3,28,G02_46,1.6388775813963887,1.6388777249748039,2.4825636099563773,6.396053370482527,NA,0.44221125034360936
11,3,34,B07_61,2.0403848640902305,1.805372976598499,3.8942951379480966,7.704475127994594,NA,0.5585257089324778
11,3,34,C07_61,2.315242335127427,2.4994618371535213,3.4786134331086545,8.249501664350607,NA,0.5631964519804056
11,3,34,D11_61,-2.1210778279141427,-4.066764347929106,4.847530059370342,9.821316906375879,NA,-0.24058738698617463
11,3,34,G02_61,1.045491753088364,0.9089549504553152,4.24617688984084,7.468102269965804,NA,0.5496059885602994
11,3,40,B07_76,-4.9617664740251,-3.9106140142718204,-0.5089807128566397,NA,3.1282779841366906,-0.900623026365193
11,3,40,C07_76,-4.768981209595217,-4.694989817635978,-0.5413056186217783,NA,3.447100446833826,-0.8875209628289491
11,3,40,D11_76,-6.685728303360988,-6.861075242833701,-2.137032117687764e-16,NA,2.3508252375251755,-0.6218286992149806
11,3,40,G02_76,-5.846230157131934,-5.445796706021426,-0.12748261384539566,NA,2.5975047744968456,-0.6922509456622744
14,4,10,B04_1,1.2088100497237693,1.2724789794787765,0.3789987770686545,0.49074515306485633,NA,0.3144462969522378
14,4,10,D06_1,0.5225649352713105,0.5225649343583699,0.4105740815351332,0.6971765124824945,NA,0.34850040671402577
