"","population","rep.ID","T.min","T.opt","T.max","T.µ.max","T.br","T.br.min","T.br.max","T.a","T.b","T.tmax","T.d.t","I.µ.max","I.comp","I.K.s","N.µ.max","N.comp","N.K.s","P.µ.max","P.comp","P.K.s","S.µ.max","S.c","S.b","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"11","28","28.F02",7.04683595654768,33.1521501926496,40.3887603559233,4.20149557394071,17.4963449950879,21.2588395340857,38.7551845291736,0.0634790379044445,-1.55094285591761,41.2519583386345,4.74331705862331,1.74202546414851,0.069688054842799,30.0786358817432,1.59280758253814,0.327722180667622,5.62029271119018,1.45157654453003,2.21714425417339,0.716769284302468,1.13376351456684,3.38583871892118,2.57820598044776,330.25,77.285,15.2657,6.5307,1.2002,0.606932764173452,381.8761014,"anc5","P"
"12","27","27.G02",2.00612651298395,34.2123027758756,40.0138453043534,3.31915356600029,17.3244415345375,21.5283928185034,38.8528343530409,0.0469912261437416,-1.09282218989881,40.5450649166904,2.73156948940696,1.93783409943243,0.0540947798368757,45.3926814031139,1.72168751939044,0.0848561084539315,24.7425942728967,1.52820563394427,0.765872538452131,2.24906565319327,1.26808938454201,2.98607397188199,2.12266483747204,314.96,59.91,18.4376,7.4864,1.2333,1.24337561634116,375.6436069,"anc3","N"
"13","15","15.B02",7.18330190957964,34.0522168509374,40.3264394208684,4.20178643720294,16.5317056059362,22.4838217595041,39.0155273654403,0.0574711326791656,-1.50464062281771,41.0366258380774,3.55823804219865,1.58730768527133,0.116694988726808,15.6811480500609,1.901314783635,0.0994337311267285,24.1778276601177,1.67966307802565,0.997025826302558,1.99627788140829,0.980325210310785,9.37473781463601,2.47593705800661,467.4,97.91,18.0499,7.3412,1.5392,1.62401785928532,382.8130824,"anc4","S"
"14","10","10.C02",3.82563077729491,33.3047634246418,40.7325510985792,3.11480744731658,18.9181749070786,20.2026497272406,39.1208246343192,0.0513271379399869,-1.20880938200984,41.6482728131068,4.40733176166997,2.25328897184688,0.0576824403767586,52.4235880499751,1.58715389854784,0.141089924763883,13.0616228916177,1.44046015424804,1.18085742074852,1.32845525467999,1.22739926016556,3.21988053713588,2.50762089122662,326.85,70.3,13.9976,5.6665,1.0837,0.0764407397944065,414.5888347,"anc2","L"
"15","29","29.D02",5.8115018563817,34.109046220989,40.3691843900136,3.93774785866177,16.8300824733573,22.1704101247764,39.0004925981337,0.0548587960167126,-1.37452680456911,41.0330992083603,3.33236743633385,2.13938227999793,0.0623626964159583,45.2516142816984,1.55388237993274,0.925523840320943,1.90777700433828,1.38456564124881,3.2643654993638,0.451434763498383,1.06220760596413,3.73928350999072,3.7746297164972,439.99,94.22,15.4586,6.4414,1.3491,0.829290817960566,430.9207314,"anc3","P"
"16","anc4","anc4.E02",5.19912811693649,32.5710268381945,40.4254099631396,3.41682650954132,18.7824088997724,19.8563123104585,38.6387212102309,0.0591868542110496,-1.34767629576442,41.4131121803894,5.23659914556469,1.85505735127868,0.0778848875577891,29.6412856954131,1.53887473122612,0.252169439107004,6.91190220117116,1.44282510275695,1.14151232055975,1.37880125604412,1.45869395070433,3.03212377144156,1.00910842307919,297.82,75.12,14.6383,6.1433,1.0092,0.154229493979691,416.9615664,"anc4","none"
"17","15","15.F02",5.06429428471922,33.4632007913539,40.2679941612374,3.51926646971261,17.6886129052708,21.0955516197614,38.7841645250322,0.0538384028333501,-1.31216208983691,41.049939935576,3.83686780886127,1.74571907446157,0.128980016045862,16.4489175079511,1.35840649739643,0.18364896264476,7.73961158596752,1.55817144738998,0.693952265294165,2.54580090622448,0.980325210310785,9.37473781463601,2.47593705800661,467.4,97.91,18.0499,7.3412,1.5392,1.62401785928532,382.8130824,"anc4","S"
"18","19","19.B03",7.24312491147127,33.6703180376908,39.9994566345314,4.31470588223688,16.3810955684593,22.2361448335706,38.6172404020299,0.0594377532354369,-1.53728727735678,40.6907523119894,3.61888140135897,1.83907480242864,0.069501898961984,32.3886470283372,1.5779444127178,0.142811426041002,12.7995848163925,1.65707280665502,1.13260420658447,1.72571166294832,1.19473534591279,2.99826182619831,3.36310082655411,305.57,58.92,12.1037,4.4552,0.8465,-0.790876410936463,487.011853,"anc2","B"
"19","33","33.C03",5.64950030807948,33.4148978771449,40.187852281683,3.90686776673888,17.377211035122,21.3480765697768,38.7252876048988,0.0573005959778002,-1.37583095443049,40.9399783805521,3.99708024951651,2.02882737177313,0.0622167385845078,42.0510511305436,1.62489171585622,0.147952156747053,12.7784861391743,1.66651576716005,0.909170581628534,2.1739920118552,1.30029215171264,3.00581172435621,2.46634352965565,370.69,78.89,21.2645,8.9895,1.5908,2.46665232469866,543.8456929,"cc1690","L"
"20","8","8.D03",8.10599189528647,33.7906443579009,40.2131575588306,3.80031008081723,16.5416982306298,22.315450851477,38.8571490821068,0.0561772021450738,-1.56862916666591,41.0249503665346,3.71003804302712,1.66163672260079,0.373365429822251,5.3254870447708,1.4919755722665,0.598331928359302,2.78762607856967,1.51324117104663,1.92643162780014,0.885115489832698,1.43295315862104,3.0218041106782,2.53918450120244,277.795,57.37,5.5987,2.3308,0.4556,-2.62254214283273,235.2922352,"anc4","P"
