"","Model","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"178","Lactin 2","7",30,"cf.sigma",0.26628929838186,1.00063668673882,6000
"179","Lactin 2","7",30,"cf.tmax",40.6580762966609,1.00094068260239,6000
"180","Lactin 2","7",30,"deviance",2.75784769151987,1.00076315725618,6000
"181","Lactin 2","8",31,"cf.a",0.0528440895660953,1.00217276102348,2100
"182","Lactin 2","8",31,"cf.b",-1.54151939021608,1.00155971831484,3300
"183","Lactin 2","8",31,"cf.delta_t",2.54324617968092,1.00154991952857,3300
"184","Lactin 2","8",31,"cf.sigma",0.172219994394203,1.00129206774277,4400
"185","Lactin 2","8",31,"cf.tmax",40.4976661011873,1.00159871091056,3200
"186","Lactin 2","8",31,"deviance",-17.9212786187232,1.00092897916796,6000
"187","Lactin 2","9",32,"cf.a",0.0629412664161008,1.00086863189668,6000
"188","Lactin 2","9",32,"cf.b",-1.34755459439341,1.00085804363937,6000
"189","Lactin 2","9",32,"cf.delta_t",5.2784860631776,1.00079456632843,6000
"190","Lactin 2","9",32,"cf.sigma",0.179957330457473,1.0014845578688,3600
"191","Lactin 2","9",32,"cf.tmax",40.7391674266364,1.00067106979539,6000
"192","Lactin 2","9",32,"deviance",-15.8544517319212,1.00127580195051,4500
"193","Lactin 2","anc2",33,"cf.a",0.0630410234729466,1.00073895266528,6000
"194","Lactin 2","anc2",33,"cf.b",-1.54915420188291,1.00057818220253,6000
"195","Lactin 2","anc2",33,"cf.delta_t",4.75085303356805,1.00077381371545,6000
"196","Lactin 2","anc2",33,"cf.sigma",0.353028668303214,1.001266756441,4600
"197","Lactin 2","anc2",33,"cf.tmax",40.8539989792346,1.00071384055218,6000
"198","Lactin 2","anc2",33,"deviance",16.4999747695,1.00105986205401,6000
"199","Lactin 2","anc3",34,"cf.a",0.0541519803821736,1.00141743545214,3800
"200","Lactin 2","anc3",34,"cf.b",-1.47675851587469,1.00143681307229,3700
"201","Lactin 2","anc3",34,"cf.delta_t",3.17778404323424,1.00080976483154,6000
"202","Lactin 2","anc3",34,"cf.sigma",0.239583005910545,1.00093215680314,6000
"203","Lactin 2","anc3",34,"cf.tmax",40.8025022066244,1.00080277457856,6000
"204","Lactin 2","anc3",34,"deviance",-2.07386789393447,1.00099568703049,6000
"205","Lactin 2","anc4",35,"cf.a",0.0584632769972672,1.00115758711338,5300
"206","Lactin 2","anc4",35,"cf.b",-1.43219570614547,1.00117271754493,5200
"207","Lactin 2","anc4",35,"cf.delta_t",4.269029749487,1.00120008883447,5000
