"","Sp.id","DIC","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"89",89,25.5514392958983,12.2,34.2,13.8,27.5,1.13983557962661
"90",90,18.4186986268843,6,37.2,18.7,28.8,1.53755646326816
"91",91,32.8809842644692,-1,28.8,20.9,22.3,1.95453664545949
"92",92,6.78015717090248,-5,15.1,17.3,7.6,0.477389903813309
"93",93,18.9578548537966,20,32.2,11.9,29.3,0.737910133957264
"94",94,17.1551905519182,20,31.8,11.6,28.9,0.661786961431009
"95",95,5.66072630419495,20,32.4,11.9,27.2,0.193942205964481
"96",96,-1.82460586186516,15,40,18.9,33.9,2.98829263318544
"97",97,-31.5675722493489,10.5,32,14,24.6,0.555181096266125
"98",98,7.06314754266981,4.9,25.8,14.9,20.5,0.196724255771971
"99",99,-20.753887586093,10.3,32.1,14.1,25.1,0.442075588594118
"100",100,3.87123301304834,1.4,26.9,17.6,18.3,0.156991225143923
"101",101,0.699209202020664,2.7,27.4,17.1,21.4,0.211217284512374
"102",102,-5.8756715427827,0,26,25.8,15.5,0.186966501490616
"103",103,15.2368776407622,-6.8,6.3,12.8,2.6,0.217801928281829
"104",104,8.62663012047262,5,30.3,22.7,19,0.335299565063397
"105",105,13.726530658218,11.3,34.8,14.7,27.6,1.25039399541308
"106",106,18.704496928877,0,21.7,17.2,17,0.601365279367207
"107",107,-30.6399244505097,0,34.2,23.6,26.6,0.938934780606503
"108",108,-17.5582807165141,3,29.5,17.9,20.5,0.546470500416787
"109",109,-20.5855305424929,9.9,31.2,15.3,24.4,0.315674974546232
"110",110,2.19131879209805,-7,9.6,13,4.4,0.149747277690285
"111",111,14.9146619530501,4.2,33.7,19,26.7,0.588202850395921
"112",112,22.8612338923232,2,21,11.7,18.8,1.93022892278116
"113",113,-3.82626781006111,0,29.9,26,13.3,0.280275016726929
"114",114,-9.28159617999671,9,27,16.4,23,1.40021783908271
"115",115,14.7738631395587,5,26.8,19.7,21.7,0.520797509575449
"116",116,23.1629574823139,7,30.4,21.5,20.9,0.598166313178909
"117",117,14.8615884449154,7,30.3,19.9,14.7,0.422891108828381
"118",118,11.5824768441334,3.5,31.5,18.2,23.1,0.498520125851231
