population.fac,population.num,temperature,well.ID,model,AIC,model2,AIC2,model3,AIC3,model4,AIC4,model5,AIC5,model6,AIC6
16,6,22,E04_41,Model 1 (Logistic),161.89213319075952,Model 2 (Trimmed logistic),161.89213319086596,Model 3 (Linear logged),38.92189363988807,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",48.56762159174928
16,6,22,E11_41,Model 1 (Logistic),160.135736934408,Model 2 (Trimmed logistic),160.135736934485,Model 3 (Linear logged),27.414671610910922,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",44.42465776768858
16,6,28,B05_56,Model 1 (Logistic),215.448901784237,Model 2 (Trimmed logistic),215.4489017843101,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-13.18295988734545,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",54.651009518526536
16,6,28,C08_56,Model 1 (Logistic),199.49094520966494,Model 2 (Trimmed logistic),199.4909452101125,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-34.014620281246174,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",57.19267329796986
16,6,28,E04_56,Model 1 (Logistic),193.661946620169,Model 2 (Trimmed logistic),174.4852898862731,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-14.152109915884413,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",55.99986997585876
16,6,28,E11_56,Model 1 (Logistic),201.86875604506923,Model 2 (Trimmed logistic),161.5430350100346,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-13.658129850553724,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",53.36422810131975
16,6,34,B05_71,Model 1 (Logistic),196.31802978581146,Model 2 (Trimmed logistic),196.31802978210666,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-8.605909911263286,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",50.70155919803817
16,6,34,C08_71,Model 1 (Logistic),193.6562316994863,Model 2 (Trimmed logistic),193.65623169950698,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-11.620405067408633,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",48.956392967859955
16,6,34,E04_71,Model 1 (Logistic),179.63281469068815,Model 2 (Trimmed logistic),179.63281469062605,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-13.688091722053482,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",48.82359615103486
16,6,34,E11_71,Model 1 (Logistic),188.38841865325043,Model 2 (Trimmed logistic),188.38841865323698,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-10.991467467040469,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",52.60578946278787
16,6,40,B05_86,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),-13.307131893554754,Model 3 (Linear logged),-19.59887915150123,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",43.19853295659019
16,6,40,C08_86,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),-13.317808891228474,Model 3 (Linear logged),-37.752071798168686,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",40.93832127693521
16,6,40,E04_86,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),-2.620463755989798,Model 3 (Linear logged),-21.74957955705709,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",42.476919446877865
16,6,40,E11_86,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),-15.925425491565768,Model 3 (Linear logged),-22.249192760510393,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",41.55307556593955
16,6,10,B05_11,Model 1 (Logistic),81.95253443286353,Model 2 (Trimmed logistic),81.9525344328649,Model 3 (Linear logged),27.050572936555668,"Model 4 (Logistic growth, exponential phase)",88.46782148938006,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",25.434043143152735
16,6,10,C08_11,Model 1 (Logistic),74.12383786484735,Model 2 (Trimmed logistic),74.12383786484733,Model 3 (Linear logged),17.26377807522489,"Model 4 (Logistic growth, exponential phase)",86.59204118573602,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",18.87345021454706
16,6,10,E04_11,Model 1 (Logistic),89.11657074714527,Model 2 (Trimmed logistic),89.1165707344461,Model 3 (Linear logged),24.54975796923717,"Model 4 (Logistic growth, exponential phase)",87.95635580910063,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",24.171270126013503
16,6,10,E11_11,Model 1 (Logistic),85.68530800616492,Model 2 (Trimmed logistic),85.68530800677047,Model 3 (Linear logged),22.085081877103985,"Model 4 (Logistic growth, exponential phase)",93.32394916890843,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",21.164630859132796
