ancestor_id,treatment,population,p_star,n_star,i_star,p_umax,n_umax,light_umax,p_ks,n_ks,nitrate_biovolume,phosphate_biovolume,light_biovolume,light_length,light_area,phosphate_length,phosphate_area,nitrate_length,nitrate_area,note,nc_old,pc_old,lowN_fold_change,lowP_fold_change,COMBO_fold_change,cons_vector,nc,pc,cons_vector_new,np,diversity,mean_biovolume_n,se_biovolume_n,ancestor_nitrate_biovolume,ancestor_phosphate_biovolume,ancestor_light_biovolume,change_nitrate_size,change_phosphate_size,change_light_size
anc5,N,30,0.039356005,1.591620361,0.781490404,1.325565135,1.845965121,1.68882738,0.482333476,27.78913635,434.8927654,404.4053022,199.5320397,7.25,41.625,9.175,68.925,9.4,71.15,NA,0.200866043,0.024719247,65.76184076,0.006576184,0.657618408,0.123063346,0.1743064,0.012379074,0.071019042,14.08073066,Isoclonal,428.1970628,15.73354484,448.9205002,725.8104629,294.0088937,-14.0277348,-321.4051606,-94.47685407
cc1690,B,31,0.075515854,2.060535688,1.202500555,1.396935734,2.10111119,1.640544639,0.979392092,41.23361023,547.5159168,701.6724366,286.0631432,8.175,53.125,11.025,99.15,10.15,81.65,NA,0.190459125,0.045779033,63.33114994,0.006333115,0.633311499,0.240361459,0.177680156,0.012316484,0.069318286,14.42620778,Genotypically diverse,450.7877336,29.54946586,492.8069788,547.5159168,307.5764425,54.70893802,154.1565198,-21.51329924
cc1690,S,32,0.079951233,1.061945713,1.516259746,1.471131001,1.719214201,1.492805164,1.096236138,17.19517578,482.8179553,673.4206338,248.4748462,7.8,48.5,10.875,96.7,9.733333333,74.6,NA,0.180991862,0.033765567,63.33114994,0.006333115,0.633311499,0.186558482,0.179003976,0.011625572,0.064945888,15.39743372,Genotypically diverse,479.265994,11.98272995,492.8069788,547.5159168,307.5764425,-9.989023515,125.904717,-59.10159631
cc1690,L,33,0.103439503,1.400992781,1.862242125,1.573410641,1.782904048,1.589184725,1.524088639,23.57736423,526.2211352,760.524579,344.7913645,8.7,59.825,11.325,102.7,10.01666667,80.11666667,NA,0.235911318,0.056194116,63.33114994,0.006333115,0.633311499,0.23820017,0.178449994,0.015896859,0.089082988,11.22548786,Genotypically diverse,489.5041171,16.14011689,492.8069788,547.5159168,307.5764425,33.41415642,213.0086622,37.21492206
anc4,BS,35,0.009908737,1.199746306,1.38220962,1.322558387,1.679683728,1.600717031,0.1211401,18.95219718,416.6479467,696.9099703,268.0825731,8,52.85,11,102.5,9.266666667,73.26666667,NA,0.235943184,0.043544271,100.3043067,0.010030431,1.003043067,0.184554055,0.17832981,0.012291442,0.068925337,14.50845291,Isoclonal,455.4003616,15.7127775,489.0451098,519.6815941,242.1579954,-72.39716307,177.2283762,25.92457772
anc3,S,4,0.066449763,1.585620285,1.24248581,1.451590157,2.130376215,1.621970064,0.898128452,32.19405713,474.1890744,716.0899171,225.340616,7.55,45.05,11.1,98.85,9.675,75.3,NA,0.205082616,0.041272561,56.74477339,0.005674477,0.567447734,0.201248462,0.16955365,0.010184147,0.060064449,16.64878335,Isoclonal,479.265994,11.98272995,474.1890744,559.7428727,273.1406027,0,156.3470444,-47.79998672
anc5,C,5,0.101539033,2.509445476,2.60131072,1.443100914,1.9761184,1.62137748,1.363771686,47.08016831,394.5688529,515.7839984,327.2630447,8.55,58.975,9.95,81.55,9.1,67.625,NA,0.216770024,0.049723229,65.76184076,0.006576184,0.657618408,0.229382402,0.155335638,0.010508168,0.067648146,14.78237107,Isoclonal,432.7539089,33.91118332,448.9205002,725.8104629,294.0088937,-54.3516473,-210.0264645,33.25415094
cc1690,P,6,0.040468173,1.517569673,1.835121268,1.445996635,1.831416652,1.418377953,0.544700245,26.27545402,364.9889934,515.7839984,253.2839046,7.85,48.55,9.95,78.75,8.866666667,62,NA,0.192978,0.033275179,63.33114994,0.006333115,0.633311499,0.172429911,0.164952353,0.014851155,0.090032998,11.10703882,Genotypically diverse,369.5942831,33.30050673,492.8069788,547.5159168,307.5764425,-127.8179854,-31.7319184,-54.29253791
anc3,B,7,0.04327974,2.159045144,2.025042752,1.301021316,1.916454511,1.478572502,0.519798903,39.2180729,441.8695228,535.4683262,265.5771448,7.975,55.725,10.075,85.2,9.45,71.425,NA,0.196393574,0.039023601,56.74477339,0.005674477,0.567447734,0.198701009,0.161509596,0.012153115,0.075247013,13.28956412,Isoclonal,450.7877336,29.54946586,474.1890744,559.7428727,273.1406027,-32.31955167,-24.27454647,-7.563457945
anc4,P,8,0.053396929,1.793404974,0.607895,1.463843506,1.78070648,1.570937165,0.728250543,30.14187361,243.7270488,239.0401198,223.1095371,7.525,44.875,7.7,47.85,7.75,65.2,NA,0.201132742,0.032203659,100.3043067,0.010030431,1.003043067,0.16011147,0.175383757,0.012643087,0.072088129,13.87190939,Isoclonal,369.5942831,33.30050673,489.0451098,519.6815941,242.1579954,-245.318061,-280.6414743,-19.04845831
cc1690,BS,9,0.116147786,1.867697307,0.780811616,1.356083074,2.118072241,1.522736096,1.458912674,37.69148091,470.5226804,547.5159168,286.0631432,8.175,54.125,10.15,88.475,9.65,73.925,NA,0.237558794,0.036904128,63.33114994,0.006333115,0.633311499,0.155347346,0.168917709,0.012204304,0.072249995,13.84083146,Genotypically diverse,455.4003616,15.7127775,492.8069788,547.5159168,307.5764425,-22.28429844,0,-21.51329924
anc2,Ancestors,anc2,0.093951167,1.220875028,1.460901508,1.494760269,1.892113572,1.590455295,1.310393555,21.87946708,477.8744653,523.5987756,263.0873753,7.95,50.075,10,81.25,9.7,74.25,NA,0.206387693,0.048837402,64.97391474,0.006497391,0.649739147,0.236629428,0.17077855,0.015284864,0.089501074,11.17305031,Isoclonal,476.5672257,7.717295769,477.8744653,523.5987756,263.0873753,0,0,0
anc3,Ancestors,anc3,0.11785966,1.337583935,2.582932012,1.389112953,1.855202057,1.548190537,1.519344139,23.47730075,474.1890744,559.7428727,273.1406027,8.05,53.15,10.225,86.025,9.675,73.95,NA,0.228150517,0.048942497,56.74477339,0.005674477,0.567447734,0.214518459,0.183436771,0.013901173,0.075781826,13.19577597,Isoclonal,476.5672257,7.717295769,474.1890744,559.7428727,273.1406027,0,0,0
anc4,Ancestors,anc4,0.09450702,1.89589222,1.547260077,1.366554717,1.84896197,1.525116056,1.196983117,33.15843392,489.0451098,519.6815941,242.1579954,7.733333333,47.73333333,9.975,82.1,9.775,75.825,NA,0.243903874,0.045104624,100.3043067,0.010030431,1.003043067,0.184927871,0.176936532,0.015403766,0.087058145,11.48657602,Isoclonal,476.5672257,7.717295769,489.0451098,519.6815941,242.1579954,0,0,0
anc5,Ancestors,anc5,0.121901236,1.603289928,1.168443052,1.678129644,1.835258026,1.531312009,1.923759534,27.82121715,448.9205002,725.8104629,294.0088937,8.25,53.975,11.15,103.05,9.5,72.125,NA,0.223278146,0.036348954,65.76184076,0.006576184,0.657618408,0.162796737,0.186710667,0.016073581,0.086088177,11.61599692,Isoclonal,476.5672257,7.717295769,448.9205002,725.8104629,294.0088937,0,0,0
cc1690,Ancestors,cc1690,0.120486565,1.526110547,1.445884635,1.572063315,1.877102969,1.575102692,1.773638528,27.12055584,492.8069788,547.5159168,307.5764425,8.375,57.1,10.15,85.45,9.8,76.925,NA,0.206940954,0.058248217,63.33114994,0.006333115,0.633311499,0.281472643,0.202563275,0.012379169,0.061112602,16.36323718,Genotypically diverse,476.5672257,7.717295769,492.8069788,547.5159168,307.5764425,0,0,0
