"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"107","Lactin 2","22",13,"13.D03","cf.tmax",40.5848473094593,1.11689057508118,1400
"108","Lactin 2","22",13,"13.D03","deviance",5.65778243454895,1.00158389305172,3200
"109","Lactin 2","22",13,"13.E10","cf.a",0.0731257307739012,1.00166019892152,3600
"110","Lactin 2","22",13,"13.E10","cf.b",-1.31668894238624,1.00093513937836,6000
"111","Lactin 2","22",13,"13.E10","cf.delta_t",5.57528066358281,1.00071545415926,6000
"112","Lactin 2","22",13,"13.E10","cf.sigma",0.721225641829337,1.00067532349443,6000
"113","Lactin 2","22",13,"13.E10","cf.tmax",40.9083881846887,1.14120257405367,1200
"114","Lactin 2","22",13,"13.E10","deviance",9.34325960644275,1.00056458716622,6000
"115","Lactin 2","22",13,"13.F06","cf.a",0.0760296319708918,1.00404964604866,990
"116","Lactin 2","22",13,"13.F06","cf.b",-1.14705541191566,1.00197417083007,2400
"117","Lactin 2","22",13,"13.F06","cf.delta_t",5.80926192825723,1.001880564515,2600
"118","Lactin 2","22",13,"13.F06","cf.sigma",0.525087047100849,1.00094558944896,6000
"119","Lactin 2","22",13,"13.F06","cf.tmax",40.5100082522323,1.10377605689362,990
"120","Lactin 2","22",13,"13.F06","deviance",4.76024317284963,1.00094062645898,6000
"121","Lactin 2","23",14,"14.B06","cf.a",0.0767827895888078,1.00213049219074,6000
"122","Lactin 2","23",14,"14.B06","cf.b",-1.28654224252813,1.00230237350585,1900
"123","Lactin 2","23",14,"14.B06","cf.delta_t",6.42537822236409,1.0014920451008,4700
"124","Lactin 2","23",14,"14.B06","cf.sigma",0.710331172638831,1.00184455255095,2600
"125","Lactin 2","23",14,"14.B06","cf.tmax",40.5257323387615,1.02267145404231,6000
"126","Lactin 2","23",14,"14.B06","deviance",9.07112849846545,1.00200124950437,2300
"127","Lactin 2","23",14,"14.C10","cf.a",0.0722612660837832,1.00296654360789,4000
"128","Lactin 2","23",14,"14.C10","cf.b",-1.21197252889944,1.00074071254502,6000
"129","Lactin 2","23",14,"14.C10","cf.delta_t",5.17204062686122,1.00084371444696,6000
"130","Lactin 2","23",14,"14.C10","cf.sigma",0.84635298920093,1.00068343190384,6000
"131","Lactin 2","23",14,"14.C10","cf.tmax",40.6824236053564,1.02472346959821,4100
"132","Lactin 2","23",14,"14.C10","deviance",11.4077583362243,1.00075596203426,6000
"133","Lactin 2","23",14,"14.E05","cf.a",0.0745028307674297,1.00321207256813,3800
"134","Lactin 2","23",14,"14.E05","cf.b",-1.27500221608404,1.00126982341656,4500
"135","Lactin 2","23",14,"14.E05","cf.delta_t",5.90277753250752,1.00159011006258,3900
"136","Lactin 2","23",14,"14.E05","cf.sigma",0.443844799634452,1.00270314652062,2100
"137","Lactin 2","23",14,"14.E05","cf.tmax",40.6031878123032,1.26442447188812,440
"138","Lactin 2","23",14,"14.E05","deviance",3.06985642820497,1.00368087628051,1800
"139","Lactin 2","23",14,"14.F10","cf.a",0.0823851108762569,1.00102845564948,6000
"140","Lactin 2","23",14,"14.F10","cf.b",-1.41805144325502,1.00087149496197,6000
"141","Lactin 2","23",14,"14.F10","cf.delta_t",6.5101488159304,1.00295003416523,5800
"142","Lactin 2","23",14,"14.F10","cf.sigma",0.337398698173122,1.00094885782345,6000
"143","Lactin 2","23",14,"14.F10","cf.tmax",41.1272965225923,1.02473864278828,6000
"144","Lactin 2","23",14,"14.F10","deviance",-0.223818207505337,1.00092792651777,6000
"145","Lactin 2","24",15,"15.B11","cf.a",0.0666178935942352,1.00696796273583,2100
"146","Lactin 2","24",15,"15.B11","cf.b",-1.18531992217318,1.00195607749664,3300
"147","Lactin 2","24",15,"15.B11","cf.delta_t",4.74543825079158,1.00249353478246,1800
"148","Lactin 2","24",15,"15.B11","cf.sigma",0.507492523630527,1.00165394563552,3000
"149","Lactin 2","24",15,"15.B11","cf.tmax",40.6476727932558,1.08359900079168,1700
"150","Lactin 2","24",15,"15.B11","deviance",4.14495045125364,1.00186909095853,2600
"151","Lactin 2","24",15,"15.D02","cf.a",0.0635097260312054,1.08311646655572,81
"152","Lactin 2","24",15,"15.D02","cf.b",-1.28029621950955,1.06005286256447,140
"153","Lactin 2","24",15,"15.D02","cf.delta_t",4.12945136599962,1.04075979673839,120
"154","Lactin 2","24",15,"15.D02","cf.sigma",0.0995680581872762,1.00473115925166,830
"155","Lactin 2","24",15,"15.D02","cf.tmax",41.1536759359618,1.00579764891033,1800
"156","Lactin 2","24",15,"15.D02","deviance",-19.9482491333129,1.00505011792888,770
"157","Lactin 2","24",15,"15.E06","cf.a",0.0642124829334805,1.00852275012065,2200
"158","Lactin 2","24",15,"15.E06","cf.b",-1.23593031529255,1.00164338725635,3100
"159","Lactin 2","24",15,"15.E06","cf.delta_t",4.38615878403536,1.00128055992727,4500
"160","Lactin 2","24",15,"15.E06","cf.sigma",0.512554876203937,1.00302595382743,1400
"161","Lactin 2","24",15,"15.E06","cf.tmax",40.5994241732256,1.12568398016597,640
"162","Lactin 2","24",15,"15.E06","deviance",3.56596257278339,1.0035094803325,1200
"163","Lactin 2","24",15,"15.E11","cf.a",0.0632448088519456,1.00710556400956,4300
"164","Lactin 2","24",15,"15.E11","cf.b",-1.15550427365448,1.00075745696331,6000
"165","Lactin 2","24",15,"15.E11","cf.delta_t",5.14345446218129,1.00316268261891,1300
"166","Lactin 2","24",15,"15.E11","cf.sigma",0.617628492347829,1.00170963733297,2900
"167","Lactin 2","24",15,"15.E11","cf.tmax",40.6488533288648,1.03683620288742,2100
"168","Lactin 2","24",15,"15.E11","deviance",6.99693981324507,1.00184991948167,2600
"169","Lactin 2","25",16,"16.B02","cf.a",0.0838958320574,1.00317521218649,1300
"170","Lactin 2","25",16,"16.B02","cf.b",-1.64950097910083,1.00273794491034,2500
"171","Lactin 2","25",16,"16.B02","cf.delta_t",6.56227620982927,1.00329970874442,2000
"172","Lactin 2","25",16,"16.B02","cf.sigma",0.145411729185131,1.00081218394169,6000
"173","Lactin 2","25",16,"16.B02","cf.tmax",40.9575834432743,1.00307141851435,5800
"174","Lactin 2","25",16,"16.B02","deviance",-10.882654808936,1.0010068066998,6000
"175","Lactin 2","25",16,"16.C05","cf.a",0.082346827292458,1.00580405218332,4800
"176","Lactin 2","25",16,"16.C05","cf.b",-1.45253041209496,1.00109876473752,5800
"177","Lactin 2","25",16,"16.C05","cf.delta_t",6.84921484398057,1.00392416486917,4900
"178","Lactin 2","25",16,"16.C05","cf.sigma",0.40519657022532,1.00266615096938,2500
"179","Lactin 2","25",16,"16.C05","cf.tmax",40.8729220999524,1.11545266175299,2400
"180","Lactin 2","25",16,"16.C05","deviance",1.63486041572068,1.00329354134315,2200
"181","Lactin 2","25",16,"16.E03","cf.a",0.0761479474678579,1.00183973443508,5600
"182","Lactin 2","25",16,"16.E03","cf.b",-1.32431206087725,1.00197346113016,2400
"183","Lactin 2","25",16,"16.E03","cf.delta_t",6.23266193089564,1.00176954230286,3800
"184","Lactin 2","25",16,"16.E03","cf.sigma",0.316633080233148,1.00116201225665,5300
"185","Lactin 2","25",16,"16.E03","cf.tmax",40.9289819692124,1.24470876121037,990
"186","Lactin 2","25",16,"16.E03","deviance",-1.13670329545924,1.00146013023138,4000
"187","Lactin 2","25",16,"16.F02","cf.a",0.0697683513418404,1.00480743285744,1900
"188","Lactin 2","25",16,"16.F02","cf.b",-1.35139354949307,1.00172743032375,2900
"189","Lactin 2","25",16,"16.F02","cf.delta_t",5.14768719044511,1.001579829341,3200
"190","Lactin 2","25",16,"16.F02","cf.sigma",0.54535713510999,1.00178565212877,2700
"191","Lactin 2","25",16,"16.F02","cf.tmax",40.5807899022091,1.10229362799637,2800
"192","Lactin 2","25",16,"16.F02","deviance",5.45627536326091,1.00173771578092,2800
"193","Lactin 2","26",17,"17.B09","cf.a",0.075209415344185,1.00740896127282,990
"194","Lactin 2","26",17,"17.B09","cf.b",-1.344997665786,1.00392480051896,1000
"195","Lactin 2","26",17,"17.B09","cf.delta_t",5.25762003070811,1.00385438028341,1000
"196","Lactin 2","26",17,"17.B09","cf.sigma",0.401411199295771,1.00157246039216,3300
"197","Lactin 2","26",17,"17.B09","cf.tmax",40.5350423871903,1.16238030455887,790
