"","population","population.number","light.lvl","well.ID","r.exp"
"186","15",5,"7","C11_21",1.52056083035664
"187","15",5,"7","E07_21",1.23204087733763
"188","15",5,"7","F02_21",1.4364164032802
"189","15",5,"8","B02_24",1.00019955859621
"190","15",5,"8","C11_24",1.78977819765252
"191","15",5,"8","E07_24",1.57018728342515
"192","15",5,"8","F02_24",1.57381884171086
"193","15",5,"9","B02_27",0.6930800229211
"194","15",5,"9","C11_27",1.26929701652286
"195","15",5,"9","E07_27",1.27689685167083
"196","15",5,"9","F02_27",1.20139662700501
"197","15",5,"10","B02_30",0.768003123349646
"198","15",5,"10","C11_30",1.21127725290075
"199","15",5,"10","E07_30",0.386450974588775
"200","15",5,"10","F02_30",1.30848738317815
"201","16",6,"1","B05_3",0.13236131840553
"202","16",6,"1","C08_3",1.18480867834644
"203","16",6,"1","E04_3",-0.0028305467890207
"204","16",6,"1","E11_3",0.129091735599718
"205","16",6,"2","B05_6",0.153947202018984
"206","16",6,"2","C08_6",0.292254686429903
"207","16",6,"2","E04_6",0.79513653949013
"208","16",6,"2","E11_6",0.237581112697587
"209","16",6,"3","B05_9",0.173173608675115
"210","16",6,"3","C08_9",0.449524236375883
"211","16",6,"3","E04_9",0.384178665161927
"212","16",6,"3","E11_9",0.173173608971079
"213","16",6,"4","B05_12",0.645889180594646
"214","16",6,"4","C08_12",0.590472400712352
"215","16",6,"4","E04_12",1.22542496720754
"216","16",6,"4","E11_12",0.98712164958671
"217","16",6,"5","B05_15",0.674778859676004
"218","16",6,"5","C08_15",0.44035128682749
"219","16",6,"5","E04_15",1.16143420711761
"220","16",6,"5","E11_15",1.03083464134571
"221","16",6,"6","B05_18",0.730481915476908
"222","16",6,"6","C08_18",1.16334988012634
"223","16",6,"6","E04_18",1.39546856725162
"224","16",6,"6","E11_18",0.240257502858377
"225","16",6,"7","B05_21",0.981873153890554
"226","16",6,"7","C08_21",1.40445027141595
"227","16",6,"7","E04_21",1.45544552572886
"228","16",6,"7","E11_21",1.42881418901395
"229","16",6,"8","B05_24",1.46701726134772
"230","16",6,"8","C08_24",0.549935122784871
"231","16",6,"8","E04_24",1.46648156000116
"232","16",6,"8","E11_24",1.34650836845224
"233","16",6,"9","B05_27",1.60633356561056
"234","16",6,"9","C08_27",0.243786014212698
"235","16",6,"9","E04_27",0.524644379951613
"236","16",6,"9","E11_27",1.80124191755314
"237","16",6,"10","B05_30",0.535116610009988
"238","16",6,"10","C08_30",1.55007025853027
"239","16",6,"10","E04_30",1.34073043181019
"240","16",6,"10","E11_30",0.200141192532109
"241","17",7,"1","B08_2",0.0963420502369836
"242","17",7,"1","C11_2",0.174516744556557
"243","17",7,"1","E07_2",0.250580747105293
"244","17",7,"1","F05_2",0.0328665939680042
"245","17",7,"2","B08_5",0.11012867842555
"246","17",7,"2","C11_5",0.596477422008251
"247","17",7,"2","E07_5",0.192178389165196
"248","17",7,"2","F05_5",0.755645087463492
"249","17",7,"3","B08_8",0.566308530551298
"250","17",7,"3","C11_8",0.518157338110996
"251","17",7,"3","E07_8",0.286501311940923
"252","17",7,"3","F05_8",1.06779730595304
"253","17",7,"4","B08_11",0.149817234337736
"254","17",7,"4","C11_11",0.448411996144379
"255","17",7,"4","E07_11",0.452185669431994
"256","17",7,"4","F05_11",0.227308392333722
"257","17",7,"5","B08_14",1.02089069429959
"258","17",7,"5","C11_14",0.930291896262926
"259","17",7,"5","E07_14",1.13742692841451
"260","17",7,"5","F05_14",1.20502509523604
"261","17",7,"6","B08_17",1.42265674341196
"262","17",7,"6","C11_17",1.34180960133201
"263","17",7,"6","E07_17",1.35055089214386
"264","17",7,"6","F05_17",1.37168579187233
"265","17",7,"7","B08_20",1.67571245704268
"266","17",7,"7","C11_20",1.68971763542285
"267","17",7,"7","E07_20",1.56685798175023
"268","17",7,"7","F05_20",1.6342961272189
"269","17",7,"8","B08_23",1.58130296450011
"270","17",7,"8","C11_23",1.60867841724066
"271","17",7,"8","E07_23",0.699693942681792
"272","17",7,"8","F05_23",1.35352639274654
"273","17",7,"9","B08_26",0.749892766539843
"274","17",7,"9","C11_26",1.58023167380519
"275","17",7,"9","E07_26",1.42893391112892
"276","17",7,"9","F05_26",1.32394965606878
"277","17",7,"10","B08_29",1.30204711304202
"278","17",7,"10","C11_29",1.52873148732727
"279","17",7,"10","E07_29",0.535152634814738
"280","17",7,"10","F05_29",1.36464036759055
"281","18",8,"1","B11_2",0.13736071914576
"282","18",8,"1","D02_2",0.618381947556762
"283","18",8,"1","E06_2",0.585448134955454
"284","18",8,"1","E11_2",0.263137970912981
"285","18",8,"2","B11_5",0.0421490969999563
"286","18",8,"2","D02_5",0.112013032331412
"287","18",8,"2","E06_5",-0.0289415193459923
"288","18",8,"2","E11_5",0.147841263564068
"289","18",8,"3","B11_8",0.242054821927355
"290","18",8,"3","D02_8",0.112403857588357
"291","18",8,"3","E06_8",0.101672436320592
"292","18",8,"3","E11_8",0.118033791501065
"293","18",8,"4","B11_11",0.21627421309684
"294","18",8,"4","D02_11",0.301491417583938
"295","18",8,"4","E06_11",0.296596283434014
"296","18",8,"4","E11_11",0.191522021786099
"297","18",8,"5","B11_14",0.791427435033477
"298","18",8,"5","D02_14",0.457725223655406
"299","18",8,"5","E06_14",1.01019869027457
"300","18",8,"5","E11_14",0.344126247805766
"301","18",8,"6","B11_17",0.55412345324362
"302","18",8,"6","D02_17",0.880340061256331
"303","18",8,"6","E06_17",0.322578853715157
"304","18",8,"6","E11_17",1.39678588294251
"305","18",8,"7","B11_20",0.488891774532108
"306","18",8,"7","D02_20",1.46183794072818
"307","18",8,"7","E06_20",1.53901116282619
"308","18",8,"7","E11_20",1.45109939481707
"309","18",8,"8","B11_23",1.26313891277525
"310","18",8,"8","D02_23",0.600452886255941
"311","18",8,"8","E06_23",1.47847945464373
"312","18",8,"8","E11_23",1.4711593792808
"313","18",8,"9","B11_26",1.26230441981449
"314","18",8,"9","D02_26",1.19110305545797
"315","18",8,"9","E06_26",1.42159753753789
"316","18",8,"9","E11_26",1.564090472084
"317","18",8,"10","B11_29",1.46963561104204
"318","18",8,"10","D02_29",1.46937957420022
"319","18",8,"10","E06_29",1.56875888677627
"320","18",8,"10","E11_29",1.3974142912302
"321","19",9,"1","B03_1",-0.112726422409866
"322","19",9,"1","D04_1",0.00734783283569588
"323","19",9,"1","D10_1",0.329160503297306
"324","19",9,"1","F03_1",0.597878936221333
"325","19",9,"2","B03_4",0.542571141526877
"326","19",9,"2","D04_4",0.280806803439721
"327","19",9,"2","D10_4",0.350704083767998
"328","19",9,"2","F03_4",0.0128087737326227
"329","19",9,"3","B03_7",0.44785839652163
"330","19",9,"3","D04_7",0.18190327078778
"331","19",9,"3","D10_7",0.604838758967585
"332","19",9,"3","F03_7",0.480122043570104
"333","19",9,"4","B03_10",0.246387164685849
"334","19",9,"4","D04_10",0.134086682761157
"335","19",9,"4","D10_10",0.235619952982397
"336","19",9,"4","F03_10",0.729030458834775
"337","19",9,"5","B03_13",1.14930350843047
"338","19",9,"5","D04_13",0.326115471728788
"339","19",9,"5","D10_13",0.418954354197914
"340","19",9,"5","F03_13",0.260740914551053
"341","19",9,"6","B03_16",0.413193329844656
"342","19",9,"6","D04_16",1.38818904958546
"343","19",9,"6","D10_16",1.38511939017472
"344","19",9,"6","F03_16",1.03906786878655
"345","19",9,"7","B03_19",0.425120929465247
"346","19",9,"7","D04_19",1.41896720673908
"347","19",9,"7","D10_19",0.717930607328136
"348","19",9,"7","F03_19",1.34378916377195
"349","19",9,"8","B03_22",1.60050758447543
"350","19",9,"8","D04_22",1.34389787714701
"351","19",9,"8","D10_22",1.51502272886818
"352","19",9,"8","F03_22",1.25705309986652
"353","19",9,"9","B03_25",0.329004098787702
"354","19",9,"9","D04_25",0.508291101235668
"355","19",9,"9","D10_25",1.58593592562642
"356","19",9,"9","F03_25",1.21907366056111
"357","19",9,"10","B03_28",0.30629145713055
"358","19",9,"10","D04_28",1.01937438431044
"359","19",9,"10","D10_28",0.938691836466515
"360","19",9,"10","F03_28",1.02223125160385
"361","2",10,"1","B10_2",-0.0797571582226595
"362","2",10,"1","C08_2",1.04121237083334
"363","2",10,"1","E04_2",0.0565258628071581
"364","2",10,"1","F09_2",0.415507407729153
"365","2",10,"2","B10_5",0.09436966858085
"366","2",10,"2","C08_5",0.313830545870966
"367","2",10,"2","E04_5",0.380834287638239
"368","2",10,"2","F09_5",0.155360906723577
"369","2",10,"3","B10_8",0.425233906008391
"370","2",10,"3","C08_8",0.235878934610623
"371","2",10,"3","E04_8",0.348873677613361
"372","2",10,"3","F09_8",0.599090767534336
"373","2",10,"4","B10_11",0.54289587572371
"374","2",10,"4","C08_11",0.314103591193768
"375","2",10,"4","E04_11",0.758457218123135
"376","2",10,"4","F09_11",0.363012365581603
"377","2",10,"5","B10_14",0.233772643320007
"378","2",10,"5","C08_14",0.778510953877179
"379","2",10,"5","E04_14",1.20385493057374
"380","2",10,"5","F09_14",0.331972844157291
"381","2",10,"6","B10_17",0.387121512850065
"382","2",10,"6","C08_17",1.43530415472001
"383","2",10,"6","E04_17",0.747062772932888
"384","2",10,"6","F09_17",1.34258673947259
"385","2",10,"7","B10_20",1.32693955392535
"386","2",10,"7","C08_20",1.42304563066793
"387","2",10,"7","E04_20",1.26807858181682
"388","2",10,"7","F09_20",1.33205869000283
"389","2",10,"8","B10_23",1.2701827759843
"390","2",10,"8","C08_23",1.29265657857129
"391","2",10,"8","E04_23",1.31679473500715
"392","2",10,"8","F09_23",1.31610327121715
"393","2",10,"9","B10_26",0.454344009681197
"394","2",10,"9","C08_26",0.603549031390159
"395","2",10,"9","E04_26",1.41255692316825
"396","2",10,"9","F09_26",1.2129009461009
"397","2",10,"10","B10_29",0.912349063895666
"398","2",10,"10","C08_29",1.73687309572187
"399","2",10,"10","E04_29",0.314237295491929
"400","2",10,"10","F09_29",0.512585318289511
"401","20",11,"1","B06_3",0.430445252330325
"402","20",11,"1","D03_3",0.468612357049118
"403","20",11,"1","D08_3",0.0921677026206669
"404","20",11,"1","E09_3",0.25337849814707
"405","20",11,"2","B06_6",0.316953986654855
"406","20",11,"2","D03_6",0.531984496503477
"407","20",11,"2","D08_6",0.062409381091952
"408","20",11,"2","E09_6",-0.104179140193694
"409","20",11,"3","B06_9",0.0574449998477543
"410","20",11,"3","D03_9",0.583837289459055
"411","20",11,"3","D08_9",0.26278166640278
"412","20",11,"3","E09_9",0.0370668458587936
"413","20",11,"4","B06_12",0.449772120011573
"414","20",11,"4","D03_12",0.430790263867341
"415","20",11,"4","D08_12",0.367863929223759
"416","20",11,"4","E09_12",0.696432888665204
"417","20",11,"5","B06_15",0.801795946850046
"418","20",11,"5","D03_15",0.924773144634046
"419","20",11,"5","D08_15",0.98744814914876
"420","20",11,"5","E09_15",0.378374986206746
"421","20",11,"6","B06_18",0.688915126534901
"422","20",11,"6","D03_18",1.19192354037303
"423","20",11,"6","D08_18",0.688915127923585
"424","20",11,"6","E09_18",1.14631786257599
"425","20",11,"7","B06_21",0.797598483295517
"426","20",11,"7","D03_21",0.632827963599356
"427","20",11,"7","D08_21",0.797598483295517
"428","20",11,"7","E09_21",1.39024108370104
"429","20",11,"8","B06_24",0.554781376296017
"430","20",11,"8","D03_24",1.71489068713506
"431","20",11,"8","D08_24",1.420983253003
"432","20",11,"8","E09_24",1.32693019945842
"433","20",11,"9","B06_27",0.513626926909889
"434","20",11,"9","D03_27",0.613768375993424
"435","20",11,"9","D08_27",1.30615213039942
"436","20",11,"9","E09_27",0.648198986291354
"437","20",11,"10","B06_30",1.32785370158796
"438","20",11,"10","D03_30",0.423858854996357
"439","20",11,"10","D08_30",1.61300110686178
"440","20",11,"10","E09_30",1.64241961620436
"441","21",12,"1","C02_2",0.910371684762569
"442","21",12,"1","C09_2",0.218503266809545
"443","21",12,"1","E09_2",0.459251077628153
"444","21",12,"1","F04_2",0.646048200254264
"445","21",12,"2","C02_5",0.48114852214663
"446","21",12,"2","C09_5",0.354041474252293
"447","21",12,"2","E09_5",0.308009455674248
"448","21",12,"2","F04_5",0.243688199742013
"449","21",12,"3","C02_8",0.566308530449646
"450","21",12,"3","C09_8",0.391406613475882
"451","21",12,"3","E09_8",0.441713639439531
"452","21",12,"3","F04_8",0.795910754823707
"453","21",12,"4","C02_11",0.595988380669003
"454","21",12,"4","C09_11",0.547227192078468
"455","21",12,"4","E09_11",0.661059217420254
"456","21",12,"4","F04_11",0.837493685008035
"457","21",12,"5","C02_14",1.40085478688315
"458","21",12,"5","C09_14",1.2118057955881
"459","21",12,"5","E09_14",1.18466662465564
"460","21",12,"5","F04_14",1.23554448419969
"461","21",12,"6","C02_17",1.40166072000498
"462","21",12,"6","C09_17",0.849400160189089
"463","21",12,"6","E09_17",1.36952621598297
"464","21",12,"6","F04_17",1.40924217074172
"465","21",12,"7","C02_20",1.39967637462926
"466","21",12,"7","C09_20",0.579714238428979
"467","21",12,"7","E09_20",1.69610491223046
"468","21",12,"7","F04_20",1.43110765940324
"469","21",12,"8","C02_23",0.647872100069802
"470","21",12,"8","C09_23",0.462779251891649
"471","21",12,"8","E09_23",1.60778113646049
"472","21",12,"8","F04_23",1.4523435839625
"473","21",12,"9","C02_26",1.27734780431765
"474","21",12,"9","C09_26",0.331685139220575
"475","21",12,"9","E09_26",1.45024380099018
"476","21",12,"9","F04_26",1.23814360195393
"477","21",12,"10","C02_29",1.48859691111154
"478","21",12,"10","C09_29",1.42970189588549
"479","21",12,"10","E09_29",1.39022208330777
"480","21",12,"10","F04_29",0.475243564341317
"481","22",13,"1","B05_2",0.334791799880293
"482","22",13,"1","D03_2",0.0128316281335082
"483","22",13,"1","E10_2",0.736745648471263
"484","22",13,"1","F06_2",0.0252660293018714
"485","22",13,"2","B05_5",-0.0790690233032617
"486","22",13,"2","D03_5",0.146367668592866
"487","22",13,"2","E10_5",0.5473394883316
"488","22",13,"2","F06_5",-0.0800580470402232
"489","22",13,"3","B05_8",0.631849857628968
"490","22",13,"3","D03_8",0.0398197320510062
"491","22",13,"3","E10_8",0.0990842059725467
"492","22",13,"3","F06_8",0.34357566369847
"493","22",13,"4","B05_11",0.0186590980312743
"494","22",13,"4","D03_11",0.658285212517488
"495","22",13,"4","E10_11",0.265201341047264
"496","22",13,"4","F06_11",0.287775099177629
"497","22",13,"5","B05_14",0.980266430823575
"498","22",13,"5","D03_14",0.858627181817964
"499","22",13,"5","E10_14",0.848275115140156
"500","22",13,"5","F06_14",0.792425566388267
"501","22",13,"6","B05_17",1.36287890893275
"502","22",13,"6","D03_17",0.778322430264802
"503","22",13,"6","E10_17",1.36906421142576
"504","22",13,"6","F06_17",1.54476032694563
"505","22",13,"7","B05_20",0.468731183284405
"506","22",13,"7","D03_20",0.441507035269011
"507","22",13,"7","E10_20",0.396083067892519
"508","22",13,"7","F06_20",0.210376567378222
"509","22",13,"8","B05_23",1.38216830840739
"510","22",13,"8","D03_23",1.37549434023166
"511","22",13,"8","E10_23",1.68622467520509
"512","22",13,"8","F06_23",1.31614908584703
"513","22",13,"9","B05_26",0.559773544969104
"514","22",13,"9","D03_26",1.30224950577021
"515","22",13,"9","E10_26",1.55208188638295
"516","22",13,"9","F06_26",1.28071404889016
"517","22",13,"10","B05_29",1.8742409107318
"518","22",13,"10","D03_29",1.62916126955443
"519","22",13,"10","E10_29",1.61615950858391
"520","22",13,"10","F06_29",1.31116008126438
"521","23",14,"1","B06_1",0.181993559712943
"522","23",14,"1","C10_1",0.101548542280985
"523","23",14,"1","E05_1",0.0492949032067062
"524","23",14,"1","F10_1",0.211578854191089
"525","23",14,"2","B06_4",0.0328124201403407
"526","23",14,"2","C10_4",0.350704081706175
"527","23",14,"2","E05_4",0.0443917862152115
"528","23",14,"2","F10_4",0.542571140824348
"529","23",14,"3","B06_7",0.412244916373621
"530","23",14,"3","C10_7",0.612695487357919
"531","23",14,"3","E05_7",0.527946135595396
"532","23",14,"3","F10_7",0.435005813121308
"533","23",14,"4","B06_10",0.739252488822737
"534","23",14,"4","C10_10",0.462245556370176
"535","23",14,"4","E05_10",0.782374391203573
"536","23",14,"4","F10_10",0.395065702024544
"537","23",14,"5","B06_13",1.13795339808517
"538","23",14,"5","C10_13",0.961247379386388
"539","23",14,"5","E05_13",1.10278404252437
"540","23",14,"5","F10_13",0.576907424551659
"541","23",14,"6","B06_16",1.46116714071066
"542","23",14,"6","C10_16",1.4591732334438
"543","23",14,"6","E05_16",0.721708172506594
"544","23",14,"6","F10_16",1.48984330331899
"545","23",14,"7","B06_19",1.5328517684407
"546","23",14,"7","C10_19",1.54893021853018
"547","23",14,"7","E05_19",1.44974231086889
"548","23",14,"7","F10_19",0.536569860852824
"549","23",14,"8","B06_22",1.7335089041639
"550","23",14,"8","C10_22",1.66350798666204
"551","23",14,"8","E05_22",0.967820132622742
"552","23",14,"8","F10_22",1.49452770033477
"553","23",14,"9","B06_25",1.70570554478143
"554","23",14,"9","C10_25",0.598705669594716
"555","23",14,"9","E05_25",0.9156578212483
"556","23",14,"9","F10_25",0.450681819920552
"557","23",14,"10","B06_28",0.815293090242066
