light,population,well_plate,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ancestor_id,treatment,note
12.5,25,F02_10,days,0.954739529,0.093324236,10.230349309602087,0.001990944,0.6577401599996702,1.2517388971403798,anc2,BS,NA
12.5,26,B09_11,days,0.27530977856438554,0.17254336646732021,1.5955975833850984,0.20884933383792134,-0.273800221,0.8244197776795217,anc3,L,NA
12.5,26,C06_11,days,0.29780549325473155,0.065693495,4.533256934101805,0.020088566512544145,0.088739472,0.5068715147661496,anc3,L,NA
12.5,26,E02_11,days,0.223910192,0.052364742311222456,4.275972384143311,0.023487815046662825,0.057262211,0.3905581727210513,anc3,L,NA
12.5,26,F11_11,days,-0.019728006,0.1819341965261267,-0.108434843,0.9204965299151755,-0.598723818,0.559267806,anc3,L,NA
12.5,27,B07_11,days,0.3322470147373431,0.23109353446449504,1.4377166176771128,0.24607775179511154,-0.40319575,1.0676897796688285,anc3,N,NA
12.5,27,C07_11,days,0.4644081621455039,0.2481780842909538,1.8712698321945738,0.1580546080056579,-0.325405265,1.2542215895496385,anc3,N,NA
12.5,27,D11_11,days,0.084789629,0.087363861,0.9705343630825085,0.40336652715320126,-0.193241168,0.3628204264763565,anc3,N,NA
12.5,27,G02_11,days,-0.200354054,0.18969212547120232,-1.056206488,0.3684078110571291,-0.804039058,0.4033309501335324,anc3,N,NA
12.5,28,B02_11,days,0.23240839297112403,0.2732687474981384,0.8504755669973102,0.45755314882916565,-0.637254723,1.1020715087960808,anc5,P,NA
12.5,28,C05_11,days,0.4477263645653259,0.093329307,4.7972751416023804,0.017234722842587296,0.15071085625468605,0.7447418728759657,anc5,P,NA
12.5,28,E03_11,days,0.2167732536661649,0.17869838011858272,1.213067815848784,0.31190738610158786,-0.351924746,0.7854712532347321,anc5,P,NA
12.5,28,F02_11,days,0.18233511721095086,0.077110666,2.364590103,0.098987455,-0.063065436,0.4277356707016997,anc5,P,NA
12.5,29,B10_12,days,0.3547963486254016,0.16740008055947317,2.119451480785585,0.12424710493247255,-0.177945419,0.887538117,anc3,P,NA
12.5,29,D02_12,days,0.15185607000129545,0.089741293,1.6921538024990015,0.1891937457394437,-0.133740776,0.43745291598351044,anc3,P,NA
12.5,29,E06_12,days,0.6902625746198364,0.13231038173730106,5.216994808391797,0.013694719258223301,0.2691918891092857,1.1113332601303871,anc3,P,NA
12.5,29,F04_12,days,0.3286384467368289,0.16985134722667108,1.9348592289836375,0.1484574090058173,-0.211904346,0.8691812391658085,anc3,P,NA
12.5,3,B03_12,days,0.38069491217071727,0.13240751115528335,2.8751761048076063,0.063779827,-0.040684882,0.8020747068386602,cc1690,N,NA
12.5,3,C10_12,days,0.6097031652725832,0.18652685274903544,3.2687152347598705,0.046822391,0.016091471905217092,1.2033148586399491,cc1690,N,NA
12.5,3,D09_12,days,0.7051192248048325,0.2150567323831151,3.278759130166129,0.046469244,0.020712721405800605,1.3895257282038642,cc1690,N,NA
12.5,3,F09_12,days,0.8440840045515877,0.12681425085628562,6.6560658510545485,0.006912058,0.4405044604566803,1.247663548646495,cc1690,N,NA
12.5,30,C03_12,days,0.3475032788455092,0.10002350723961013,3.4742160961527953,0.040223302,0.029183837789293732,0.6658227199017246,anc5,N,NA
