"","population","population.number","temperature","well.ID","r.exp"
"164","19",9,10,"F03_1",0.395294509783526
"165","19",9,16,"B03_16",2.2754567457547
"166","19",9,16,"D04_16",0.946346294014469
"167","19",9,16,"D10_16",0.924328999046753
"168","19",9,16,"F03_16",0.964639960804844
"169","19",9,22,"B03_31",2.04830310516512
"170","19",9,22,"D04_31",1.60896937191107
"171","19",9,22,"D10_31",1.69139423735034
"172","19",9,22,"F03_31",1.7311875536065
"173","19",9,28,"B03_46",3.05023966962259
"174","19",9,28,"D04_46",2.71979399534533
"175","19",9,28,"D10_46",2.7511016257353
"176","19",9,28,"F03_46",2.82823354971056
"177","19",9,34,"B03_61",3.56532267185926
"178","19",9,34,"D04_61",2.96579421048549
"179","19",9,34,"D10_61",3.89800484029283
"180","19",9,34,"F03_61",3.18786902488141
"181","2",10,10,"B10_6",0.0885956812158409
"182","2",10,10,"C08_6",0.177871851632154
"183","2",10,10,"E04_6",0.989964825080061
"184","2",10,10,"F09_6",0.685781475675288
"185","2",10,16,"B10_21",1.02932169429678
"186","2",10,16,"C08_21",0.220134787605372
"187","2",10,16,"E04_21",1.03085004629865
"188","2",10,16,"F09_21",0.41883802256276
"189","2",10,22,"B10_36",1.91957337397447
"190","2",10,22,"C08_36",1.92929892226888
"191","2",10,22,"E04_36",2.43385276259966
"192","2",10,22,"F09_36",2.10565445555483
"193","2",10,28,"B10_51",3.85570034400255
"194","2",10,28,"C08_51",3.10527581942165
"195","2",10,28,"E04_51",2.95232129186699
"196","2",10,28,"F09_51",2.98457021690751
"197","2",10,34,"B10_66",3.25578383553505
"198","2",10,34,"C08_66",3.48385397548953
"199","2",10,34,"E04_66",3.47010315049389
"200","2",10,34,"F09_66",3.55479337343413
"201","20",11,10,"B06_11",0.563264999580784
"202","20",11,10,"D03_11",0.0847891344650173
"203","20",11,10,"D08_11",0.48086738862899
"204","20",11,10,"E09_11",0.219711929187773
"205","20",11,16,"B06_26",0.403727432667279
"206","20",11,16,"D03_26",0.286310929096006
"207","20",11,16,"D08_26",1.13659512355466
"208","20",11,16,"E09_26",1.01516940063409
"209","20",11,22,"B06_41",1.17779018532761
"210","20",11,22,"D03_41",1.58825180860687
"211","20",11,22,"D08_41",1.69728810281707
"212","20",11,22,"E09_41",1.93798398043037
"213","20",11,28,"B06_56",2.62811359955193
"214","20",11,28,"D03_56",2.94508347492286
"215","20",11,28,"D08_56",3.0553386239582
"216","20",11,28,"E09_56",2.36332792377604
"217","20",11,34,"B06_71",3.83470406398189
"218","20",11,34,"D03_71",3.53160377382687
"219","20",11,34,"D08_71",4.03891892608131
"220","20",11,34,"E09_71",3.89097184984501
"221","21",12,10,"C02_6",0.44386198749235
"222","21",12,10,"C09_6",0.576383143286269
"223","21",12,10,"E09_6",0.456865812266582
"224","21",12,10,"F04_6",0.413747760149739
"225","21",12,16,"C02_21",0.994955537846674
"226","21",12,16,"C09_21",0.932865983246556
"227","21",12,16,"E09_21",0.976807203002229
"228","21",12,16,"F04_21",0.877839021051645
"229","21",12,22,"C02_36",2.50045378984231
"230","21",12,22,"C09_36",2.44439995957652
"231","21",12,22,"E09_36",2.01825960480843
"232","21",12,22,"F04_36",2.17577443220016
"233","21",12,28,"C02_51",3.59628740763891
"234","21",12,28,"C09_51",3.56981515685651
"235","21",12,28,"E09_51",3.49914904392944
"236","21",12,28,"F04_51",3.91470418277827
"237","21",12,34,"C02_66",4.76309774606288
"238","21",12,34,"C09_66",4.15518527936067
"239","21",12,34,"E09_66",3.63518180552641
"240","21",12,34,"F04_66",5.03741649642212
"241","22",13,10,"B05_6",0.103139989020736
"242","22",13,10,"D03_6",0.20967663422364
"243","22",13,10,"E10_6",0.296542616358615
"244","22",13,10,"F06_6",0.392970470855866
"245","22",13,16,"B05_21",0.836918398264988
"246","22",13,16,"D03_21",0.94516196153026
"247","22",13,16,"E10_21",0.660197145821519
"248","22",13,16,"F06_21",0.699704188514234
"249","22",13,22,"B05_36",2.1515661769332
"250","22",13,22,"D03_36",2.20062894282762
"251","22",13,22,"E10_36",1.23185064650456
"252","22",13,22,"F06_36",1.87979222918076
"253","22",13,28,"B05_51",3.26845420433615
"254","22",13,28,"D03_51",2.9644582005448
"255","22",13,28,"E10_51",3.1426598807377
"256","22",13,28,"F06_51",3.01781101951812
"257","22",13,34,"B05_66",4.67016927976853
"258","22",13,34,"D03_66",3.45469790295244
"259","22",13,34,"E10_66",3.58040019465447
"260","22",13,34,"F06_66",3.6335702651384
"261","23",14,10,"B06_1",0.256002844259213
"262","23",14,10,"C10_1",0.453197226048774
"263","23",14,10,"E05_1",0.230346301707915
"264","23",14,10,"F10_1",0.343220887305326
"265","23",14,16,"B06_16",1.26329395121825
"266","23",14,16,"C10_16",1.55903698756561
"267","23",14,16,"E05_16",0.619167000357495
"268","23",14,16,"F10_16",1.12361380784685
"269","23",14,22,"B06_31",2.56922542131071
"270","23",14,22,"C10_31",2.08153217382517
"271","23",14,22,"E05_31",2.18353955866673
"272","23",14,22,"F10_31",2.58994012392501
"273","23",14,28,"B06_46",3.34487156481174
"274","23",14,28,"C10_46",3.06738144247767
"275","23",14,28,"E05_46",3.25121816981797
"276","23",14,28,"F10_46",3.74893839156991
"277","23",14,34,"B06_61",3.98659723686501
"278","23",14,34,"C10_61",4.3722881767781
"279","23",14,34,"E05_61",3.29324901254191
"280","23",14,34,"F10_61",3.94752282169048
"281","24",15,10,"B11_1",0.0954823003713605
"282","24",15,10,"D02_1",0.409568482325608
"283","24",15,10,"E06_1",0.177748242634504
"284","24",15,10,"E11_1",0.826044425684691
"285","24",15,16,"B11_16",1.23051409405262
"286","24",15,16,"D02_16",0.911714676208312
"287","24",15,16,"E06_16",1.01848134839562
"288","24",15,16,"E11_16",0.409980706310316
"289","24",15,22,"B11_31",2.21395531548067
"290","24",15,22,"D02_31",2.04746391888845
"291","24",15,22,"E06_31",1.71954686613004
"292","24",15,22,"E11_31",2.07493869571363
"293","24",15,28,"B11_46",2.83715058893421
"294","24",15,28,"D02_46",2.91284551452975
"295","24",15,28,"E06_46",2.80483555850082
"296","24",15,28,"E11_46",2.51824517483929
"297","24",15,34,"B11_61",3.37097615896907
"298","24",15,34,"D02_61",3.80675847901391
"299","24",15,34,"E06_61",3.31708889257585
"300","24",15,34,"E11_61",3.08712954332145
"301","25",16,10,"B02_1",0.277382389860929
"302","25",16,10,"C05_1",0.315136030474466
"303","25",16,10,"E03_1",0.28245524057569
"304","25",16,10,"F02_1",0.174197399453485
"305","25",16,16,"B02_16",1.12541029140615
"306","25",16,16,"C05_16",1.07127241719235
"307","25",16,16,"E03_16",1.12089412990746
"308","25",16,16,"F02_16",1.11046458341961
"309","25",16,22,"B02_31",2.51736680285671
"310","25",16,22,"C05_31",2.27375419372792
"311","25",16,22,"E03_31",2.27935932809642
"312","25",16,22,"F02_31",2.0184450332159
"313","25",16,28,"B02_46",3.41366201520506
"314","25",16,28,"C05_46",3.37513992284155
"315","25",16,28,"E03_46",2.98553673265103
"316","25",16,28,"F02_46",2.87044527510168
"317","25",16,34,"B02_61",3.39605627805889
"318","25",16,34,"C05_61",3.43700869692253
"319","25",16,34,"E03_61",3.11551094049967
"320","25",16,34,"F02_61",3.52597132092955
"321","26",17,10,"B09_6",0.376139109772389
"322","26",17,10,"C06_6",0.440661772099176
"323","26",17,10,"E02_6",0.345472104629845
"324","26",17,10,"F11_6",0.276323056200161
"325","26",17,16,"B09_21",0.910973111462127
"326","26",17,16,"C06_21",1.21335434944979
"327","26",17,16,"E02_21",0.987102752948479
"328","26",17,16,"F11_21",0.958252727844941
"329","26",17,22,"B09_36",2.06765433541662
"330","26",17,22,"C06_36",1.95048508033783
"331","26",17,22,"E02_36",1.46042285847136
"332","26",17,22,"F11_36",1.81918043157157
"333","26",17,28,"B09_51",2.89197733087802
"334","26",17,28,"C06_51",2.80678408179071
"335","26",17,28,"E02_51",3.06268142137605
"336","26",17,28,"F11_51",2.9233606032072
"337","26",17,34,"B09_66",3.10187389159529
"338","26",17,34,"C06_66",3.62645943066179
"339","26",17,34,"E02_66",3.36482401870974
"340","26",17,34,"F11_66",3.42433788065727
"341","27",18,10,"B07_6",0.441008080717207
"342","27",18,10,"C07_6",0.393296672628577
"343","27",18,10,"D11_6",0.14939922065641
"344","27",18,10,"G02_6",0.520564412891402
"345","27",18,16,"B07_21",0.836918398275715
"346","27",18,16,"C07_21",0.418837969756066
"347","27",18,16,"D11_21",0.699704187361889
"348","27",18,16,"G02_21",0.994797506765863
"349","27",18,22,"B07_36",2.80634942767107
"350","27",18,22,"C07_36",1.98552764680757
"351","27",18,22,"D11_36",1.73939760869661
"352","27",18,22,"G02_36",1.13282701524784
"353","27",18,28,"B07_51",2.84440089105468
"354","27",18,28,"C07_51",2.70832978809106
"355","27",18,28,"D11_51",2.53982892055203
"356","27",18,28,"G02_51",2.41779336313145
"357","27",18,34,"B07_66",1.82003892254934
"358","27",18,34,"C07_66",2.05465576972728
"359","27",18,34,"D11_66",2.40206218648038
"360","27",18,34,"G02_66",3.79147700690551
"361","28",19,10,"B02_6",0.457789436011582
"362","28",19,10,"C05_6",0.433127018902776
"363","28",19,10,"E03_6",0.166641330245192
"364","28",19,10,"F02_6",0.391723337256779
"365","28",19,16,"B02_21",0.986557648962639
"366","28",19,16,"C05_21",1.02595042524182
"367","28",19,16,"E03_21",1.1390274302526
"368","28",19,16,"F02_21",1.15784600892106
"369","28",19,22,"B02_36",2.03690390382053
"370","28",19,22,"C05_36",2.2752205999651
"371","28",19,22,"E03_36",1.89375584385204
"372","28",19,22,"F02_36",2.01314291006576
"373","28",19,28,"B02_51",3.60298437896611
"374","28",19,28,"C05_51",3.07574974438433
"375","28",19,28,"E03_51",3.35980820557304
"376","28",19,28,"F02_51",3.39627703983877
"377","28",19,34,"B02_66",6.06900619533188
"378","28",19,34,"C05_66",5.55028967700616
"379","28",19,34,"E03_66",4.20693916174914
"380","28",19,34,"F02_66",3.95153870612659
"381","29",20,10,"B10_11",0.379847241690129
"382","29",20,10,"D02_11",0.348645193294727
"383","29",20,10,"E06_11",0.340057165339209
"384","29",20,10,"F04_11",0.378842483663499
"385","29",20,16,"B10_26",1.08101092130168
"386","29",20,16,"D02_26",1.05865058561431
"387","29",20,16,"E06_26",1.21048498002402
"388","29",20,16,"F04_26",0.771436525416551
"389","29",20,22,"B10_41",2.11980367833809
"390","29",20,22,"D02_41",1.89899490677013
"391","29",20,22,"E06_41",1.69617910973766
"392","29",20,22,"F04_41",1.17779018163695
"393","29",20,28,"B10_56",3.31344325570516
"394","29",20,28,"D02_56",2.88262812584151
"395","29",20,28,"E06_56",2.91604052482167
"396","29",20,28,"F04_56",3.79793164674384
"397","29",20,34,"B10_71",3.60733800592097
"398","29",20,34,"D02_71",3.38081565619161
"399","29",20,34,"E06_71",3.12050352111049
"400","29",20,34,"F04_71",3.45038180010059
"401","3",21,10,"B03_11",0.48368976577262
"402","3",21,10,"C10_11",0.408004000232571
"403","3",21,10,"D09_11",0.318830516321316
"404","3",21,10,"F09_11",0.469399064357511
"405","3",21,16,"B03_26",0.927391414067936
"406","3",21,16,"C10_26",1.06229401071833
"407","3",21,16,"D09_26",0.758317763150805
"408","3",21,16,"F09_26",0.7454548757476
"409","3",21,22,"B03_41",1.83087025026099
"410","3",21,22,"C10_41",2.14602614915302
"411","3",21,22,"D09_41",2.35345364923467
"412","3",21,22,"F09_41",2.19402876831451
"413","3",21,28,"B03_56",3.00195411071361
"414","3",21,28,"C10_56",4.64964274806462
"415","3",21,28,"D09_56",3.12889385201901
"416","3",21,28,"F09_56",3.08776555607094
"417","3",21,34,"B03_71",3.67251691808878
"418","3",21,34,"C10_71",3.448722423347
"419","3",21,34,"D09_71",3.53020525115496
"420","3",21,34,"F09_71",3.48652762269483
"421","30",22,10,"C03_11",0.515344941691844
"422","30",22,10,"C09_11",0.232414999196766
"423","30",22,10,"E03_11",0.48289585939378
"424","30",22,10,"E08_11",0.525421652288478
"425","30",22,16,"C03_26",1.02845198699112
"426","30",22,16,"C09_26",1.07512068075364
"427","30",22,16,"E03_26",1.33452313935856
"428","30",22,16,"E08_26",1.12514632821002
"429","30",22,22,"C03_41",2.28516869052924
"430","30",22,22,"C09_41",2.28132203848036
"431","30",22,22,"E03_41",2.11790495093565
"432","30",22,22,"E08_41",2.22039055659563
"433","30",22,28,"C03_56",3.14910481849242
"434","30",22,28,"C09_56",2.84465424425465
"435","30",22,28,"E03_56",4.00271088532325
"436","30",22,28,"E08_56",3.12368270924215
"437","30",22,34,"C03_71",3.53613072482386
"438","30",22,34,"C09_71",3.36161321603264
"439","30",22,34,"E03_71",3.28381887372349
"440","30",22,34,"E08_71",3.17370970870774
"441","31",23,10,"B04_6",0.149399220687046
"442","31",23,10,"D06_6",0.434907408962641
"443","31",23,10,"D09_6",0.31440616777026
"444","31",23,10,"F08_6",0.821193929413767
"445","31",23,16,"B04_21",1.03285406399647
"446","31",23,16,"D06_21",0.906897517617199
"447","31",23,16,"D09_21",1.06451045497335
"448","31",23,16,"F08_21",0.233092487168356
"449","31",23,22,"B04_36",3.25807895693692
"450","31",23,22,"D06_36",1.95082341669748
"451","31",23,22,"D09_36",2.00967265868535
"452","31",23,22,"F08_36",2.22396730843626
"453","31",23,28,"B04_51",3.54947081986059
"454","31",23,28,"D06_51",2.83018451081259
"455","31",23,28,"D09_51",3.06298973778838
"456","31",23,28,"F08_51",3.08503134495669
"457","31",23,34,"B04_66",3.95315187048683
"458","31",23,34,"D06_66",4.04695428581105
"459","31",23,34,"D09_66",3.4963901152508
"460","31",23,34,"F08_66",3.52636544629222
"461","32",24,10,"C04_1",0.179602226025942
"462","32",24,10,"D07_1",0.34475421032786
"463","32",24,10,"D08_1",0.375723030508882
"464","32",24,10,"F07_1",0.480819585459928
"465","32",24,16,"C04_16",0.97013179258967
"466","32",24,16,"D07_16",0.853969067573066
"467","32",24,16,"D08_16",0.48587148705672
"468","32",24,16,"F07_16",0.646947964798894
"469","32",24,22,"C04_31",2.02189663277428
"470","32",24,22,"D07_31",1.95989423587681
"471","32",24,22,"D08_31",2.1760486284006
"472","32",24,22,"F07_31",1.44440842751359
"473","32",24,28,"C04_46",2.96701209710068
"474","32",24,28,"D07_46",2.62378025610115
"475","32",24,28,"D08_46",3.08007099525621
"476","32",24,28,"F07_46",2.74566927339825
"477","32",24,34,"C04_61",3.52400746286686
"478","32",24,34,"D07_61",3.41990189635123
"479","32",24,34,"D08_61",3.64510442538196
