,Pop.fac,Pop.num,unique.id,K.s,r.max,R.jag,R.mth
129,15,5,5.B02,1.971738286,1.4081969,0.925,1.301789054
130,15,5,5.C11,1.689084073,1.537852505,0.925,0.967310587
131,15,5,5.E07,4.757771106,1.661581886,2.275,2.418659795
132,15,5,5.F02,3.165346365,1.521255135,1.725,1.844041088
133,16,6,6.B05,1.608981528,1.42871405,1.025,1.037199359
134,16,6,6.C08,3.564616663,1.426638433,2.05,2.303365803
135,16,6,6.E04,1.257336449,1.514754243,0.725,0.737476075
136,16,6,6.E11,2.664743379,1.54483589,1.425,1.515233459
137,17,7,7.B08,0.423700726,1.402348226,0.25,0.281679713
138,17,7,7.C11,1.917506303,1.500086854,0.8,1.14223864
139,17,7,7.E07,1.384367134,1.439957004,0.625,0.881003949
140,17,7,7.F05,1.635101795,1.505651844,0.9,0.968281309
141,18,8,8.B11,2.258814606,1.513168058,1.275,1.327086203
142,18,8,8.D02,1.606074441,1.58438496,0.85,0.87799189
143,18,8,8.E06,2.498231476,1.562258039,1.275,1.395857725
144,18,8,8.E11,2.459523042,1.560484121,1.325,1.376666431
145,19,9,9.B03,2.890273913,1.386214849,1.5,1.958998187
146,19,9,9.D04,1.138172113,1.362501686,0.675,0.794236815
147,19,9,9.D10,2.029874588,1.35898777,1.2,1.422712351
148,19,9,9.F03,2.037500383,1.390297554,1.15,1.374206403
