,Species,dataset,r.max,T.br,Sp count
19,Nitzschia cylindrus,"Edwards et al., 2016",0.51503203,11.49344556,113
20,Nitzschia kerguelensis,"Edwards et al., 2016",0.493344799,8.768715745,114
52,Nitzschia paela (C ),"Levasseur et al., 2025",1.965785001,19.03457318,115
53,Nitzschia paela (G),"Levasseur et al., 2025",1.648954516,18.3774089,115
148,Nitzschia paleacea strain NT7,"Thomas et al., 2012",0.391397833,19.0006871,116
21,Nitzschia turgiduloides,"Edwards et al., 2016",0.466617838,8.855119769,117
149,Odontella mobiliensis,"Thomas et al., 2012",1.309784738,14.48282926,118
150,Olisthodiscus luteus clone OLMS,"Thomas et al., 2012",0.955526288,23.44164911,119
29,Oocystella mongolica,"Edwards et al., 2016",0.225847793,30.69227163,120
54,Oocystis sp.,"Levasseur et al., 2025",0.791666391,17.13928163,121
38,Pediastrum_boryanum,"Lewington-Pearce et al., 2019",0.637787357,18.6093939,122
55,Pediastrum boryanum,"Levasseur et al., 2025",1.574701854,17.23564041,122
151,Peridinium sp. 1,"Thomas et al., 2012",0.564982166,17.32309918,123
152,Pernambugia tuberosa strain GeoB*74,"Thomas et al., 2012",0.327259015,14.35685173,124
153,Phaeocystis antarctica strain CCMP 1871,"Thomas et al., 2012",0.253037782,6.89800019,125
154,Phaeocystis globosa strain CCMP 1528,"Thomas et al., 2012",0.768536194,16.26292133,126
155,Phaeocystis pouchetii,"Thomas et al., 2012",2.584371383,9.836528031,127
16,Phaeodactylum tricornutum,"Edwards et al., 2016",1.503525348,16.99559713,128
156,Phaeodactylum tricornutum,"Thomas et al., 2012",0.297349668,27.94762305,128
157,Phaeodactylum tricornutum clone Pet Pd,"Thomas et al., 2012",1.469945177,15.36660976,129
158,Picochlorum atomus,"Thomas et al., 2012",0.567555833,16.76037757,130
10,Planktothrix agardhii,"Edwards et al., 2016",1.926909656,12.00207765,131
56,Planktothrix agardhii,"Levasseur et al., 2025",0.161023645,19.44387,131
159,Prochlorococcus marinus strain MED4 (clade 2),"Thomas et al., 2012",0.570197206,10.25507698,132
160,Prochlorococcus marinus strain MIT9215 (clade 1),"Thomas et al., 2012",0.495731987,12.16608557,133
161,Prochlorococcus marinus strain MIT9312 (clade 1),"Thomas et al., 2012",0.614024562,10.14589124,134
162,Prochlorococcus marinus strain MIT9313,"Thomas et al., 2012",0.48996729,9.254114199,135
163,Prochlorococcus marinus strain MIT9515 (clade 2),"Thomas et al., 2012",0.458017928,13.05272821,136
164,Prochlorococcus marinus strain NATL2A,"Thomas et al., 2012",0.500702796,10.28363486,137
165,Prochlorococcus marinus strain SS120,"Thomas et al., 2012",0.607718677,9.914556846,138
166,Prorocentrum gracile,"Thomas et al., 2012",0.545493876,11.66839345,139
167,Prorocentrum micans,"Thomas et al., 2012",0.534862157,14.3661972,140
168,Prorocentrum minimum,"Thomas et al., 2012",0.697564968,16.29407294,141
26,Pseudochattonella farcimen,"Edwards et al., 2016",0.54039125,12.99428995,142
30,Pseudodidymocystis planctonica,"Edwards et al., 2016",0.479374162,19.15244268,143
169,Pseudo-nitzschia americana,"Thomas et al., 2012",2.957719666,16.04202996,144
170,Pseudo-nitzschia granii,"Thomas et al., 2012",0.906853439,15.90578012,145
171,Pseudo-nitzschia multiseries,"Thomas et al., 2012",0.452059405,18.64101106,146
172,Pseudo-nitzschia turgiduloides,"Thomas et al., 2012",0.472717126,9.09621293,147
173,Pyrodinium bahamense var. compressum strain PbSA01,"Thomas et al., 2012",0.260743203,15.27004406,148
5,Raphidocelis,"Bestion et al., 2018",1.5585824,20.48409281,149
174,Rhizosolenia setigera,"Thomas et al., 2012",1.244706154,16.32112908,150
175,Rhizosolenia setigera,"Thomas et al., 2012",0.504046384,14.61855931,150
57,Scenedesmus arcuatus var. Platydiscus,"Levasseur et al., 2025",1.272289785,15.60634025,151
58,Scenedesmus armatus,"Levasseur et al., 2025",1.233128952,17.49296766,152
40,Scenedesmus_acuminatus,"Lewington-Pearce et al., 2019",0.76367789,18.20017868,153
176,Scrippsiella trochoidea strain ScrpMxB,"Thomas et al., 2012",0.45952283,20.94354423,154
177,Skeletonema ardens strain FDK003,"Thomas et al., 2012",2.323880456,17.71764952,155
178,Skeletonema ardens strain FDK004,"Thomas et al., 2012",1.533172415,15.98615711,156
179,Skeletonema ardens strain FDK005,"Thomas et al., 2012",2.198168983,16.75714939,157
180,Skeletonema ardens strain FDK006,"Thomas et al., 2012",2.244654304,17.75954473,158
181,Skeletonema ardens strain FDK007,"Thomas et al., 2012",2.233050043,17.84105159,159
182,Skeletonema costatum,"Thomas et al., 2012",0.058281366,16.58762816,160
183,Skeletonema costatum,"Thomas et al., 2012",1.01278061,18.69231276,160
184,Skeletonema costatum,"Thomas et al., 2012",1.392533972,20.99010001,160
185,Skeletonema costatum clone FHS 3,"Thomas et al., 2012",0.965035269,18.32101903,161
186,Skeletonema costatum clone FHS 7,"Thomas et al., 2012",1.634795859,17.71996343,162
187,Skeletonema costatum clone SK6C,"Thomas et al., 2012",1.294474299,21.19981256,163
188,Skeletonema costatum s.s. strain FDK009,"Thomas et al., 2012",1.39970857,19.05333028,164
189,Skeletonema japonicum strain FDK154,"Thomas et al., 2012",1.61167563,30.55313627,165
190,Skeletonema japonicum strain FDK157,"Thomas et al., 2012",1.569263287,22.58938719,166
191,Skeletonema japonicum strain FDK158,"Thomas et al., 2012",1.677588904,20.68318172,167
192,Skeletonema japonicum strain FDK159,"Thomas et al., 2012",1.586730081,17.94394142,168
193,Skeletonema japonicum strain FDK161,"Thomas et al., 2012",1.596622991,23.05850603,169
194,Skeletonema marinoi�dohrnii complex strain FDK031,"Thomas et al., 2012",1.76231566,31.19262046,170
195,Skeletonema marinoi�dohrnii complex strain FDK032,"Thomas et al., 2012",1.742727854,25.46839766,171
196,Skeletonema marinoi�dohrnii complex strain FDK035,"Thomas et al., 2012",1.591258707,23.95700855,172
197,Skeletonema marinoi�dohrnii complex strain FDK039,"Thomas et al., 2012",1.751064659,29.42293104,173
198,Skeletonema menzelii strain DM08080630,"Thomas et al., 2012",2.220960151,21.89204729,174
199,Skeletonema menzelii strain DM08080730,"Thomas et al., 2012",2.582908098,19.04778458,175
200,Skeletonema menzelii strain FDK221,"Thomas et al., 2012",1.827292356,25.84991526,176
201,Skeletonema menzelii strain FDK222,"Thomas et al., 2012",1.753910171,29.82148605,177
202,Skeletonema pseudocostatum strain FDK225,"Thomas et al., 2012",1.82662283,19.28584675,178
203,Skeletonema tropicum clone 21-L,"Thomas et al., 2012",1.542571386,10.74169015,179
204,Skeletonema tropicum clone fall,"Thomas et al., 2012",1.979413816,14.80403979,180
205,Skeletonema tropicum clone S. trop.,"Thomas et al., 2012",1.995649806,15.69411696,181
