"population","phos","well.ID","µ"
"4",1,"D04_5",0.550001739966551
"2",1,"E04_5",1.61950677149486
"21",1,"F04_5",1.04394910776395
"cc1690",1,"B04_6",0.84684493652123
"5",1,"C04_6",0.699938774436297
"anc4",1,"D04_6",0.698301244109397
"16",1,"E04_6",0.595334862484524
"29",1,"F04_6",1.02162917184648
"14",2,"B04_7",1.04132122759823
"32",2,"C04_7",1.16960389581258
"19",2,"D04_7",1.0465991053343
"6",2,"F04_7",1.05847766250203
"31",2,"B04_8",0.72620735477567
"35",2,"C04_8",1.24445707558026
"4",2,"D04_8",0.979506603963278
"2",2,"E04_8",0.884896781144646
"21",2,"F04_8",1.03978446898195
"cc1690",2,"B04_9",0.88845659459631
"5",2,"C04_9",1.05621477876375
"anc4",2,"D04_9",1.07701986485712
"16",2,"E04_9",1.25789645530351
"29",2,"F04_9",1.03383484990508
"8",0.5,"B05_1",0.647100023753519
"25",0.5,"C05_1",0.433944905381129
"33",0.5,"D05_1",0.200771895064772
"23",0.5,"E05_1",0.320012616540632
"anc5",0.5,"F05_1",0.888892881268497
"8",4,"B05_10",1.23652778455329
"25",4,"C05_10",1.14013463061579
"33",4,"D05_10",1.0860077000753
"23",4,"E05_10",1.06093082223211
"anc5",4,"F05_10",1.31472659453707
"22",4,"B05_11",-0.0222630041864134
"28",4,"C05_11",1.28881498725531
"9",4,"D05_11",1.25607554178559
"anc2",4,"E05_11",1.02980577913519
"17",4,"F05_11",1.44661636828522
"16",4,"B05_12",1.253620640835
"cc1690",4,"C05_12",1.23858434638419
"10",4,"D05_12",1.28346857838562
"cc1690",4,"E05_12",1.20504941945332
"anc3",4,"F05_12",1.03214193221405
"8",6,"B05_13",1.39907012830491
"25",6,"C05_13",1.28544492788051
"33",6,"D05_13",1.32308595292958
"23",6,"E05_13",1.24167885592405
"anc5",6,"F05_13",1.24273300207447
"22",6,"B05_14",0.174954061671409
"28",6,"C05_14",1.48166951113098
"9",6,"D05_14",1.72582252074005
"anc2",6,"E05_14",1.27232487534914
"17",6,"F05_14",1.32946335479498
"16",6,"B05_15",1.24632306698114
"cc1690",6,"C05_15",1.26509749374446
"10",6,"D05_15",1.21289041660704
"cc1690",6,"E05_15",1.26874931876547
"anc3",6,"F05_15",0.991158719801121
"8",8,"B05_16",1.40677795970303
"25",8,"C05_16",1.48528700487522
"33",8,"D05_16",1.34582166544871
"23",8,"E05_16",1.18124116609298
"anc5",8,"F05_16",1.30258279205457
"22",8,"B05_17",1.37235624737672
"28",8,"C05_17",1.34672067648911
"9",8,"D05_17",1.00237722850767
"anc2",8,"E05_17",1.42685093341905
"17",8,"F05_17",1.3229835561924
"16",8,"B05_18",1.2782624447403
"cc1690",8,"C05_18",1.29809383329655
"10",8,"D05_18",1.39344004323506
"cc1690",8,"E05_18",1.44736605804178
"anc3",8,"F05_18",1.20046168681143
"8",10,"B05_19",1.45263134154756
"25",10,"C05_19",1.55654077260379
"33",10,"D05_19",1.27647059441212
"23",10,"E05_19",1.42968219425189
"anc5",10,"F05_19",1.59944219906333
"22",0.5,"B05_2",1.16708224384876
"28",0.5,"C05_2",0.780311234915346
"9",0.5,"D05_2",0.0855572338869637
"anc2",0.5,"E05_2",0.34065208804602
"17",0.5,"F05_2",0.330373830723869
"22",10,"B05_20",1.44310939689268
"28",10,"C05_20",1.28153239403125
"9",10,"D05_20",1.60809081316512
"anc2",10,"E05_20",1.38857825998159
"17",10,"F05_20",1.46006605972255
"16",10,"B05_21",1.19934574538211
"cc1690",10,"C05_21",1.22161692042425
"10",10,"D05_21",1.2459943727679
"cc1690",10,"E05_21",1.3377285141772
"anc3",10,"F05_21",0.970978929683976
"8",20,"B05_22",1.48548099645529
"25",20,"C05_22",1.62184229104936
"33",20,"D05_22",1.33893755645415
"23",20,"E05_22",1.37709034812217
"anc5",20,"F05_22",1.44506124438921
"anc2",20,"B05_23",1.56246477001275
"28",20,"C05_23",1.42320732851007
"9",20,"D05_23",1.45573841814702
"22",20,"E05_23",1.34065915925585
"17",20,"F05_23",1.39858475860669
"16",20,"B05_24",1.2816957905674
"cc1690",20,"C05_24",1.30186473650004
"10",20,"D05_24",1.37001070613838
"cc1690",20,"E05_24",1.33215765859707
"anc3",20,"F05_24",1.20180489629489
"8",35,"B05_25",1.7059409716566
"25",35,"C05_25",1.50949003498692
"33",35,"D05_25",1.50804170525778
"23",35,"E05_25",1.35931111550126
"anc5",35,"F05_25",1.66441194810311
"22",35,"B05_26",1.54983111026952
"28",35,"C05_26",1.33809909100153
"9",35,"D05_26",1.54636308625357
"anc2",35,"E05_26",1.37382862751287
"17",35,"F05_26",1.39196701865792
"16",35,"B05_27",1.39868391896315
"cc1690",35,"C05_27",1.49831717239284
"10",35,"D05_27",1.29467932096673
"cc1690",35,"E05_27",1.46481116318348
"anc3",35,"F05_27",1.14548237093448
"8",50,"B05_28",1.57138661796557
"25",50,"C05_28",1.49003314333284
"33",50,"D05_28",1.3631761928101
"23",50,"E05_28",1.47771096765282
"anc5",50,"F05_28",1.62891867501313
"22",50,"B05_29",1.34352744718134
"28",50,"C05_29",1.28497677609951
"9",50,"D05_29",1.0756657150136
"anc2",50,"E05_29",1.4215939371424
"17",50,"F05_29",1.28011983183634
"16",0.5,"B05_3",0.212548468523637
"cc1690",0.5,"C05_3",0.249606706221577
"10",0.5,"D05_3",0.166860573186285
"cc1690",0.5,"E05_3",0.403952558612004
"anc3",0.5,"F05_3",0.24730378065634
"16",50,"B05_30",1.40955505400719
"cc1690",50,"C05_30",1.62441803744744
"10",50,"D05_30",1.40114545381519
"cc1690",50,"E05_30",1.33569493718721
"anc3",50,"F05_30",1.23947230199259
"8",1,"B05_4",0.893676827466948
"25",1,"C05_4",1.05279697133
"33",1,"D05_4",0.314745426050782
"23",1,"E05_4",0.282961741839428
"anc5",1,"F05_4",0.953928863120424
"22",1,"B05_5",-0.141134831159542
"28",1,"C05_5",0.573591775033729
"9",1,"D05_5",0.498140651529883
"anc2",1,"E05_5",0.796311421147135
"17",1,"F05_5",0.875813881690541
"16",1,"B05_6",0.479202206881849
"cc1690",1,"C05_6",0.511802024967302
"10",1,"D05_6",0.600945895581817
"cc1690",1,"E05_6",0.485050634268389
"anc3",1,"F05_6",0.570876869751492
"8",2,"B05_7",1.02327829870742
"25",2,"C05_7",1.26791818807916
"33",2,"D05_7",1.11264365297933
"23",2,"E05_7",0.922613334695119
"anc5",2,"F05_7",1.31712963583992
"22",2,"B05_8",0.644193001131956
"28",2,"C05_8",1.05636100776872
"9",2,"D05_8",0.636024037611319
"anc2",2,"E05_8",1.08364357294858
"17",2,"F05_8",0.974512626851994
"16",2,"B05_9",0.847092562653372
"cc1690",2,"C05_9",0.905585502875356
"10",2,"D05_9",0.955051527653116
"cc1690",2,"E05_9",0.995223028059551
"anc3",2,"F05_9",0.718067063894408
"23",0.5,"B06_1",0.406866135753062
"1",0.5,"C06_1",-0.139958252254493
"14",0.5,"D06_1",0.400234176832823
"24",0.5,"E06_1",0.343947939397846
"8",0.5,"F06_1",0.57538432433655
"23",4,"B06_10",1.3061438591852
"1",4,"C06_10",1.24383387472329
"14",4,"D06_10",1.31709473968905
"24",4,"E06_10",1.34366867342209
"8",4,"F06_10",1.16534205293961
"anc2",4,"B06_11",1.25658273028967
"26",4,"C06_11",1.13031819270599
"31",4,"D06_11",1.07259989989422
"18",4,"E06_11",0.99415400107286
"22",4,"F06_11",-0.739822568869597
"20",4,"B06_12",1.16478826443522
"anc3",4,"C06_12",1.00891693857673
"5",4,"D06_12",1.02500291407551
"29",4,"E06_12",1.24780466468642
"anc4",4,"F06_12",1.05427327755332
"23",6,"B06_13",1.19754371922342
"1",6,"C06_13",1.2849676835634
"14",6,"D06_13",1.46794340452985
"24",6,"E06_13",1.1846388179147
"8",6,"F06_13",1.2287871818457
"anc2",6,"B06_14",1.31552355417364
"26",6,"C06_14",1.059645947298
"31",6,"D06_14",1.35120585976869
"18",6,"E06_14",1.28790044084436
"22",6,"F06_14",-0.419722297596805
"20",6,"B06_15",1.28815117872053
"anc3",6,"C06_15",1.20376008382295
"5",6,"D06_15",1.10559255834147
"29",6,"E06_15",1.32581571096769
"anc4",6,"F06_15",1.1458427611987
"23",8,"B06_16",1.40357857341386
"1",8,"C06_16",1.35175194202482
"14",8,"D06_16",1.31319345119494
"24",8,"E06_16",1.48112399723269
"8",8,"F06_16",1.33907014201849
"anc2",8,"B06_17",1.27410345040982
"26",8,"C06_17",1.22021562437088
"31",8,"D06_17",1.34089548194288
"18",8,"E06_17",1.43745172991213
"22",8,"F06_17",1.41979158699625
"20",8,"B06_18",1.23119315554693
"anc3",8,"C06_18",1.20645158894297
"5",8,"D06_18",1.28142103131075
"29",8,"E06_18",1.30675799729236
