"well_plate","slope","n_pts","phos","population","well","rep"
"B07_12",1.24565868956253,6,4,"anc3","B07",1
"B07_13",1.41989492190674,6,6,"11","B07",1
"B07_14",1.45080791083055,5,6,"27","B07",1
"B07_15",1.30384794966695,7,6,"anc3","B07",1
"B07_16",1.4141136481668,7,8,"11","B07",1
"B07_17",1.44398592538374,7,8,"27","B07",1
"B07_18",1.39833352944944,6,8,"anc3","B07",1
"B07_19",1.70551405786322,5,10,"11","B07",1
"B07_2",0.271071500717551,4,0.5,"27","B07",1
"B07_20",1.58348876163073,7,10,"27","B07",1
"B07_21",1.29238575258874,5,10,"anc3","B07",1
"B07_22",1.59769176793977,5,20,"11","B07",1
"B07_23",1.50475338388001,7,20,"27","B07",1
"B07_24",1.42816996778796,6,20,"anc3","B07",1
"B07_25",1.47189475990524,6,35,"11","B07",1
"B07_26",1.67711835559793,5,35,"27","B07",1
"B07_27",1.37060151413687,5,35,"anc3","B07",1
"B07_28",1.59182041938736,6,50,"11","B07",1
"B07_29",1.5971525220672,5,50,"27","B07",1
"B07_3",0.496277107991521,5,0.5,"anc3","B07",1
"B07_30",1.37338694670273,5,50,"anc3","B07",1
"B07_4",1.02821320429654,5,1,"11","B07",1
"B07_5",0.716840472963042,5,1,"27","B07",1
"B07_6",0.783278098056395,5,1,"anc3","B07",1
"B07_7",0.966226022530701,7,2,"11","B07",1
"B07_8",1.32661384202877,5,2,"27","B07",1
"B07_9",1.04354086247317,7,2,"anc3","B07",1
"B08_1",0.634848844057998,6,0.5,"anc5","B08",1
"B08_10",1.34999697128257,7,4,"anc5","B08",1
"B08_11",1.55746202610099,6,4,"17","B08",1
"B08_12",1.27403700810732,5,4,"7","B08",1
"B08_13",1.49448386696459,7,6,"anc5","B08",1
"B08_14",1.64800467333202,5,6,"17","B08",1
"B08_15",1.53300621857099,5,6,"7","B08",1
"B08_16",1.59094322031268,5,8,"anc5","B08",1
"B08_17",1.46129529370405,6,8,"17","B08",1
"B08_18",1.47005592213737,7,8,"7","B08",1
"B08_19",1.67190961485488,5,10,"anc5","B08",1
"B08_2",0.814251853026881,4,0.5,"17","B08",1
"B08_20",1.55098604604873,6,10,"17","B08",1
"B08_21",1.435359415367,6,10,"7","B08",1
"B08_22",1.55903092500354,5,20,"anc5","B08",1
"B08_23",1.57594676616259,6,20,"17","B08",1
"B08_24",1.4752929475434,6,20,"7","B08",1
"B08_25",1.59487228975192,5,35,"anc5","B08",1
"B08_26",1.60786547658389,6,35,"17","B08",1
"B08_27",1.4545098685816,6,35,"7","B08",1
"B08_28",1.67974237913637,5,50,"anc5","B08",1
"B08_29",1.51650458056673,6,50,"17","B08",1
"B08_3",0.465189752396736,5,0.5,"7","B08",1
"B08_30",1.62145657780705,6,50,"7","B08",1
"B08_4",0.968189849245131,5,1,"anc5","B08",1
"B08_5",1.22983503823933,5,1,"17","B08",1
"B08_6",0.629872088326646,4,1,"7","B08",1
"B08_7",1.34743298657127,7,2,"anc5","B08",1
"B08_8",1.27892916956706,5,2,"17","B08",1
"B08_9",0.981435006917155,4,2,"7","B08",1
"B09_1",0.587842352244004,5,0.5,"1","B09",1
"B09_10",1.38259817454152,5,4,"1","B09",1
"B09_11",1.25087653720376,4,4,"26","B09",1
"B09_12",1.19585020569737,6,4,"5","B09",1
"B09_13",1.34832673789554,5,6,"1","B09",1
"B09_14",2.16063280319232,3,6,"26","B09",1
"B09_15",1.43692775835977,6,6,"5","B09",1
"B09_16",1.59921325716774,7,8,"1","B09",1
"B09_17",1.50519034187576,5,8,"26","B09",1
"B09_18",1.47221338280823,6,8,"5","B09",1
"B09_19",1.55469824717907,6,10,"1","B09",1
"B09_2",0.409059201724347,4,0.5,"26","B09",1
"B09_20",1.41574065368946,5,10,"26","B09",1
"B09_21",1.40947263020157,5,10,"5","B09",1
"B09_22",1.46564706110685,6,20,"1","B09",1
"B09_23",1.52732041613423,5,20,"26","B09",1
"B09_24",1.4784251459021,6,20,"5","B09",1
"B09_25",1.52702292206611,7,35,"1","B09",1
"B09_26",1.49920646191449,6,35,"26","B09",1
"B09_27",1.55935888919272,6,35,"5","B09",1
"B09_28",1.51510190756605,6,50,"1","B09",1
"B09_29",1.39764343914764,6,50,"26","B09",1
"B09_3",0.450900662504758,5,0.5,"5","B09",1
"B09_30",1.52802686744134,5,50,"5","B09",1
"B09_4",0.674338290339885,5,1,"1","B09",1
"B09_5",0.594354400011492,5,1,"26","B09",1
"B09_6",0.656766844684413,6,1,"5","B09",1
"B09_7",1.2475764134174,5,2,"1","B09",1
"B09_8",0.832104880618915,5,2,"26","B09",1
"B09_9",0.949030931346205,6,2,"5","B09",1
"B10_11",1.25259346478529,6,4,"2","B10",1
"B10_12",1.58578995465857,7,4,"29","B10",1
"B10_14",1.52834646930307,5,6,"2","B10",1
"B10_15",1.53903741839243,7,6,"29","B10",1
"B10_17",1.4490060404538,6,8,"2","B10",1
"B10_18",1.40013752157398,6,8,"29","B10",1
"B10_2",0.401836741616184,5,0.5,"2","B10",1
"B10_20",1.47335234873653,6,10,"2","B10",1
"B10_21",1.57071666758627,6,10,"29","B10",1
"B10_23",1.44691552010865,6,20,"2","B10",1
"B10_24",1.42937808037979,7,20,"29","B10",1
"B10_26",1.50810852568552,6,35,"2","B10",1
"B10_27",1.44993280984133,6,35,"29","B10",1
"B10_29",1.54085000409549,5,50,"2","B10",1
"B10_3",0.487404898899004,6,0.5,"29","B10",1
"B10_30",1.49980007804691,6,50,"29","B10",1
"B10_5",0.870246681263687,5,1,"2","B10",1
"B10_6",0.955125354805719,4,1,"29","B10",1
"B10_8",1.12145188813709,5,2,"2","B10",1
"B10_9",1.39659836579525,4,2,"29","B10",1
"B11_1",0.400926568838924,4,0.5,"24","B11",1
"B11_10",1.33160609290198,6,4,"24","B11",1
"B11_11",1.23704735761271,6,4,"18","B11",1
"B11_12",1.30473237617922,6,4,"anc4","B11",1
"B11_13",1.55231594627766,5,6,"24","B11",1
"B11_14",1.45602988295466,5,6,"18","B11",1
"B11_15",1.3493338752904,7,6,"anc4","B11",1
"B11_16",1.60870892946705,6,8,"24","B11",1
"B11_17",1.47422763786331,5,8,"18","B11",1
"B11_18",1.52232869465052,5,8,"anc4","B11",1
"B11_19",1.53446071872754,7,10,"24","B11",1
"B11_2",0.382642239683424,5,0.5,"18","B11",1
"B11_20",1.43570060579854,5,10,"18","B11",1
"B11_21",1.43785362829848,5,10,"anc4","B11",1
"B11_22",1.66978915319297,6,20,"24","B11",1
"B11_23",1.50977615738975,5,20,"18","B11",1
"B11_24",1.3060038173382,6,20,"anc4","B11",1
"B11_25",1.6072004769498,7,35,"24","B11",1
"B11_26",1.54603749842956,6,35,"18","B11",1
"B11_27",1.34672762028441,6,35,"anc4","B11",1
"B11_28",1.6800561511662,6,50,"24","B11",1
"B11_29",1.4540672447924,7,50,"18","B11",1
"B11_3",0.567824495814611,5,0.5,"anc4","B11",1
"B11_30",1.55223209212405,5,50,"anc4","B11",1
"B11_4",0.833670766284072,5,1,"24","B11",1
"B11_5",0.779391362509621,5,1,"18","B11",1
"B11_6",0.715720233181144,5,1,"anc4","B11",1
"B11_7",1.07853469383029,6,2,"24","B11",1
"B11_8",1.02023027148764,5,2,"18","B11",1
"B11_9",0.999341484882216,5,2,"anc4","B11",1
"C02_1",0.634921066679499,5,0.5,"6","C02",1
"C02_10",1.3495254103227,6,4,"6","C02",1
"C02_11",1.49235304861764,7,4,"21","C02",1
"C02_12",1.3990594024915,6,4,"10","C02",1
"C02_13",1.51489426475677,6,6,"6","C02",1
"C02_14",1.54230450392882,6,6,"21","C02",1
"C02_15",1.49095866967145,5,6,"10","C02",1
"C02_16",1.58115579596166,7,8,"6","C02",1
"C02_17",1.66127968637144,7,8,"21","C02",1
"C02_18",1.51004788006685,5,8,"10","C02",1
"C02_19",1.60476588570876,6,10,"6","C02",1
"C02_2",0.83941691429603,5,0.5,"21","C02",1
"C02_20",1.64136508887504,7,10,"21","C02",1
"C02_21",1.39349710761716,5,10,"10","C02",1
"C02_22",1.68862120165736,6,20,"6","C02",1
