"","Sp.id","Sp.name","Study","RSE","RSE.mu","RSE.range","RSE.sd","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"11",45,"Phaeodactylum tricornutum",10,0.0450397495697009,0.0298477828895224,0.0879277718567214,0.241827573240425,-7.51748229818635,-18.5919156098717,0.282817075064973,0,28.0178119981831,26.6974725691215,29.6460092558886,0,22.4914692963618,21.9574888333139,23.0122710277101,1.50352534828123,1.47374308252738,1.55113456614475,9.86265053067962,7.62802185488406,11.2709657515256,0,26.8582476608922,25.969630123468,27.9689031669611,0,0.0404852342036108,-0.737096637812099,28.7451534337404,2.42627648968615,0.0400997122260218,-0.722066611383901,28.7076449679075,2.40070502313366
"12",8,"Chaetoceros deflandrei",11,0.130152393771942,0.216920656286569,0.216920656286569,0.604603075479826,-29.4859575761248,-83.9016493161565,-5.19631904849262,0.175175175175175,15.9999706184752,15.8277293240732,16.1914168599839,0,13.9030675144682,11.9911398149927,15.4759003398682,0.589017859532198,0.475483251046989,0.697632738004813,-2.23742736162026,-9.16583874499639,3.73302901376261,0.4004004004004,15.7122812909821,15.3214670127022,15.9663779912879,0,0.0136516617484911,-0.617273204851234,16.3052148080448,0.465321720083309,0.0124743837903046,-0.606725564055254,16.3213407760962,0.46478797189452
"13",14,"Corethron criophilum",11,0.0690585614374885,0.265609851682648,0.265609851682648,0.679465431629751,-8.22032463624042,-22.2126937213424,-3.3892345187428,0,7.92595381130898,7.53700748466349,8.56309151722064,0,2.48309764082516,-0.596078471064741,3.94365507636343,0.225726964346155,0.18657388228777,0.261963555652946,-3.68796628946717,-8.77289008199604,-1.17529030898109,0.107107107107107,6.54841954838417,5.93035857042118,7.21915420762136,0,0.0780492811817616,-0.473730126925474,10.6057713704371,5.51050272892405,0.0739662925405859,-0.473312503862182,10.8948020820303,5.65457367399887
"14",38,"Nitzschia cylindrus",11,0.0779557284772284,0.132128353351235,0.132128353351235,0.375761173039373,-58.7803209296496,-95.0122443060327,-24.5635388260693,0.686686686686687,10.0000319033684,9.93264687371493,10.1182039323851,0,7.15865637388028,5.9991475735491,9.40573679230224,0.515032029733123,0.466379841199457,0.573306290789294,-8.47154107250795,-9.96267435548508,-5.12970599314358,0.960960960960961,9.69344555795094,9.48983634353128,9.95055781214935,0,0.00185090446052285,-0.516107706747483,10.2986117439613,0.448657632110919,0.00100348458109689,-0.503447524597813,10.2895974417111,0.419455199903723
"15",39,"Nitzschia kerguelensis",11,0.0708684389497299,0.131237849906907,0.131237849906907,0.334002810421449,-9.50542175517779,-38.1001819321898,-5.24028723125336,0,7.97729446128659,7.83084170313578,8.17048219729524,0,3.7001762274197,2.98722528755335,4.2878053806899,0.493344799191631,0.45700699703248,0.536807656617401,-2.73707592694576,-4.94620376753497,-0.772775739956623,0,6.96871574477232,6.76949880638881,7.14119175702964,0,0.156841719661179,-0.194031448237338,8.54182046638038,3.6878086386584,0.163005957512724,-0.178885902812761,8.49851680487684,3.87111343831089
"16",40,"Nitzschia turgiduloides",11,0.0531206071677706,0.108409402383205,0.108409402383205,0.300015890375151,-5.35552129832673,-8.3126307118387,-3.61268590889239,0,8.97369410251396,8.84371358249181,9.20374665091101,0,4.79169610169937,4.1869803967717,5.24909539488702,0.466617837515101,0.436403586301991,0.507364423341582,-0.874178101357424,-2.45657096281268,0.331889020441154,0,7.98094166781754,7.8072637420546,8.16151950985548,0,0.111032158194198,-0.523124052803619,10.3545665099644,3.6972989282519,0.115238761549971,-0.508059371846695,10.3168959481421,3.77512624365158
"17",60,"Synura sphagnicola",13,0.0349692360961957,0.0516990480428677,0.067534252792962,0.174887699376977,1.92374817775769,0.175068037028225,2.76834042219054,0,23.1346906830241,22.466948183305,23.8756230567808,0,16.5355407270992,16.1992313369399,16.8714080833313,0.711049313666788,0.683709822592058,0.740397429709335,8.13270499551693,7.64224914140548,8.64632836513261,0,21.5121125386306,21.0181412823202,22.091827427764,0,0.074289826057261,-0.954998298056219,25.6346685040088,6.78104666038311,0.0732661031473547,-0.965139110105634,25.912246042222,6.81454693796281
"18",21,"Dactyliosolen fragilissimus",15,0.248523447683576,0.303850462325717,0.303850462325717,0.802691549333074,0.675646963500113,-6.9538952192339,6.30510509908062,0,33.1816601864283,30.9651146309612,35.8317293879255,0,23.8764341636687,22.0771160034621,25.7346474936222,0.938918715357632,0.741245152971336,1.15751277516824,11.1883593813498,7.18049306537413,14.6207771071982,0,30.9590608995055,29.0134750778347,33.1976360417306,0,0.0566135143795274,-0.893759094424025,35.8121380600219,8.31428503782699,0.0557911330512937,-0.932851537057642,36.0851148081302,8.99567923316593
"19",18,"Cryptomonas sp. 1",18,0.0267506920056749,0.0477264799387599,0.0477264799387599,0.139581484409116,9.18661591430681,8.68635370832168,9.60992922302966,0.0740740740740741,25.9673128661566,25.7887403912682,26.1369433516987,0.0740740740740741,19.9904517794329,19.7657072329892,20.2152699177702,0.548508315211687,0.531287208035442,0.566895052327281,13.2952713878316,13.0239111783083,13.5756081326854,0.0740740740740741,24.475836172457,24.2957926273569,24.6366525234053,0.0740740740740741,0.0717876784486988,-1.45362743248786,29.7709052690048,7.30061363908252,0.0732213074984573,-1.42088031109811,29.8194298934563,7.40057252886237
"20",37,"Nannochloropsis oceanica",21,0.159855914679373,0.099465902476007,0.099465902476007,0.289996460721351,6.47266327619528,3.99777939448114,10.2320322120179,0,35.5650969624672,35.0635610466311,35.8009188747345,0,27.2453415563832,26.5460726337078,27.8965764348641,1.54056363815431,1.3996227398126,1.63474401653821,16.0407943843274,14.2426240176941,17.583789941332,0,33.5516041105864,33.1596495508918,33.8443824383832,0,0.0726460410436274,-1.20315801686666,37.5900257978837,8.34012905739408,0.0721794899399827,-1.32300065535168,37.7148683718038,8.26843759154131
"21",48,"Pseudochattonella farcimen",22,0.0868761390765399,0.145727717198255,0.145727717198255,0.449088278228827,-0.282083654386914,-3.58430972229945,2.13638424478367,0,20.0251844049645,19.5549445295426,20.5739559992233,0,13.6473644699333,12.720810828462,14.3840477005551,0.540391249785783,0.484532796150681,0.598043379290206,5.48035315297068,3.64540722442584,6.94472152383236,0,18.4746431042162,17.9558774904091,19.0009161144334,0,0.0656217069243819,-0.884401374409406,22.6692779099435,6.2776254113492,0.0609086816891291,-0.916376241092375,22.9383048164421,5.91130305288249
"22",11,"Closterium parvulum",24,0.022027763447355,0.0667507983253181,0.0667507983253181,0.172463531204798,-1.68828816436085,-4.34626344712994,1.07341451866303,0,30.0009061238425,29.8609156206805,30.1243185717002,0,24.0019929623864,22.6797621948362,25.408264313193,0.333638969201439,0.314928510461761,0.352983521771322,10.817972283732,9.42297913968318,11.8884835470298,0,28.7808488806839,28.3735118722983,29.1476525763543,0,0.0126861052003453,-0.979029966205202,32.82139409682,2.46924098682771,0.0126169293878049,-0.978598729680661,32.8216702713734,2.46421915520164
"23",35,"Monoraphidium contortum",24,0.0524999730682525,0.0855048421307045,0.0880872031346519,0.248996403753885,-9.8301523613025,-14.1387513350182,-5.881871055468,0,30.0875972113089,29.7198403956472,30.4958955946671,0,18.3737456339731,17.5287104577903,19.1387038041566,0.588332099952738,0.547843784729975,0.618193674120292,2.58125739913869,0.0969377790441907,4.61052058817033,0,27.315467171898,26.8956885816632,27.7279346825196,0,0.0404998742061094,-0.645081448127289,33.7577943251151,10.2614858856219,0.0394024531914032,-0.64056989448234,33.8443894639815,10.2123566561176
"24",42,"Oocystella mongolica",24,0.0607750204479028,0.250102964806184,0.440398698897846,0.933271589641595,-25.9345159280542,-40.0438133548056,-5.57433476405586,0.002002002002002,33.0876749465938,30.1767037516059,35.4738656219171,0,15.2980756101185,12.738617118172,19.4052927995922,0.22584779297095,0.189170587855322,0.255346338003474,-4.72032736778712,-9.99146686936535,2.73654874990479,0.335335335335335,28.8922716292403,26.2059358619613,31.0636336888785,0,0.0384143256441341,-0.213203656948773,38,20.1517005160987,0.0377522058358059,-0.202612607550854,38,20.1164412400859
"25",49,"Pseudodidymocystis planctonica",24,0.0055974084844568,0.0117346089820897,0.0117346089820897,0.032515241085291,-7.42569192180293,-8.26662813722678,-6.61391573620454,0,29.9998011983541,29.9828387605246,30.0121339090247,0,25.5557570291007,24.9914200615464,26.0889396439557,0.479374162300163,0.470809394028413,0.487516407838146,10.0318214578406,9.61031968885953,10.3829135754437,0,29.1842641370269,29.0593668895242,29.3164980091101,0,0.013490833138679,-0.90507801041761,31.3636973670303,1.44528293828869,0.0134903947787486,-0.905178802525926,31.3678192523034,1.44810831388152
"26",7,"Chaetoceros calcitrans",28,0.233091822580099,0.152947390144422,0.275196957001297,0.764668116736462,10.3315625875851,5.53101963976268,13.3763449818116,0,31.0066319775838,29.9574309721719,32.1507345074246,0,24.4750626807759,23.583818261456,25.2358697778453,1.36988370139899,1.22000967663583,1.51445755539547,16.2807310054647,13.7946193555733,18.1273320209832,0,29.3923631276125,28.5474281489652,30.3788249084948,0,0.0849450623931156,-1.53569182371897,33.2682731333396,6.98777548747873,0.0847327368442696,-1.78910132269888,33.4651284876462,7.10034787225799
"27",20,"Cylindrotheca closterium",28,0.0375798836197112,0.0701117231711029,0.248873401455041,0.610932539768127,-47.9625395990009,-61.4116461258449,-36.2794993404952,0,34.8690922823062,33.0894778107021,36.9936463922666,0,26.1337038237158,25.2999915821314,27.3763569384768,0.526107007529228,0.501361793364727,0.552388450276923,11.6856646357124,8.65747496893555,13.9949306918409,0,32.8185667019601,31.3031977255002,34.7848070148267,0,0.113506500992007,-0.001,34.8756518808366,8.57358971309841,0.113690558514443,-0.001,34.8073317683945,8.55854557644057
"28",22,"Diacronema lutheri",28,0.0752959522705389,0.178004615296782,0.178004615296782,0.435845376425878,6.76296869347042,0.280479695251428,12.3716301448122,0,28.7895348939544,28.181593738371,29.1901887193508,0,21.0570403999414,19.1681054742779,22.4915626245396,0.406782715392993,0.360727901721072,0.443786147519308,12.2909164253362,7.63617258970752,15.8536896005613,0,26.8171064922695,26.2550186054711,27.3123747246461,0,0.0572366688228728,-1.00983783581112,33.7386294730331,9.31510480460293,0.0562387068866368,-1.10156817501024,33.8708130908479,9.58193856228276
"29",61,"Tetraselmis sp.",28,0.0344637914903943,0.0670501779968762,0.307712424021378,0.837571226207509,-60.4624909219525,-77.2904761020034,-44.7804192648028,0,34.3301255542946,32.4154317589922,36.2399650524411,0,24.3477517724741,23.2515106251695,25.193750671038,0.485343207826188,0.464092493643654,0.508477358603032,7.5208552136731,3.73223867954045,11.3754717534787,0,31.9981360442325,30.560610836844,33.6031799150527,0,0.0974244875436262,-0.001,34.337653280037,9.79156111649827,0.0978930778198751,-0.001,34.321589124078,9.75762430335161
